f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
m,e,m,a,&,d,d,m,a,#,d,d,m,a,$,COPY	m,e,m,a
m,e,m,a,&,m,e,f,a,#,n,g,i,m,e,f,a,$,V,SG,1,PRS	n,g,i,m,e,m,a
m,e,m,a,&,d,e,m,a,#,n,g,a,d,e,m,a,$,V,SG,1,PST+RMT	n,g,a,m,e,m,a
m,e,m,a,&,m,e,m,z,#,n,g,i,z,o,m,e,m,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
m,e,m,a,&,w,b,m,a,#,n,g,i,w,b,m,e,$,V,SG,1,PST+RCT	n,g,i,m,e,m,e
m,e,m,a,&,o,e,m,a,#,n,g,i,y,o,o,e,m,a,$,V,SG,1,FUT	n,g,i,y,o,m,e,m,a
n,q,o,b,a,&,s,q,o,b,a,#,s,q,o,b,a,$,COPY	n,q,o,b,a
n,q,o,b,a,&,n,z,u,b,a,#,n,g,i,y,a,n,z,u,b,a,$,V,SG,1,PRS	n,g,i,y,a,n,q,o,b,a
n,q,o,b,a,&,n,q,o,b,b,#,n,g,a,n,q,o,b,b,$,V,SG,1,PST+RMT	n,g,a,n,q,o,b,a
n,q,o,b,a,&,n,q,y,b,a,#,n,g,i,y,o,n,q,y,b,a,$,V,SG,1,FUT	n,g,i,y,o,n,q,o,b,a
n,q,o,b,a,&,n,q,o,s,a,#,n,g,i,n,q,o,s,e,$,V,SG,1,PST+RCT	n,g,i,n,q,o,b,e
n,q,o,b,a,&,j,q,f,u,i,#,n,g,i,z,o,j,q,f,u,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,q,o,b,a
s,h,o,&,s,l,o,#,s,l,o,$,COPY	s,h,o
s,h,o,&,c,h,o,#,n,g,i,z,o,c,h,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,o
s,h,o,&,g,h,o,a,#,n,g,i,g,h,o,e,$,V,SG,1,PST+RCT	n,g,i,s,h,l,o
s,h,o,&,f,h,o,#,n,g,i,y,a,f,h,o,$,V,SG,1,PRS	n,g,i,y,a,s,h,o
s,h,o,&,h,h,o,#,n,g,i,y,o,h,h,o,$,V,SG,1,FUT	n,g,i,y,o,s,h,o
s,h,o,&,p,h,o,#,n,g,a,p,h,o,$,V,SG,1,PST+RMT	n,g,a,s,h,o
t,h,a,t,h,a,&,t,c,a,c,h,a,#,t,c,a,c,h,a,$,COPY	t,h,a,t,h,a
t,h,a,t,h,a,&,t,h,a,l,h,a,#,n,g,i,t,h,a,l,h,a,$,V,SG,1,PRS	n,g,i,t,h,a,t,h,a
t,h,a,t,h,a,&,t,p,a,o,h,a,#,n,g,i,t,p,a,o,h,e,$,V,SG,1,PST+RCT	n,g,i,t,h,a,t,h,e
t,h,a,t,h,a,&,t,h,o,a,h,a,#,n,g,a,t,h,o,a,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,t,h,a
t,h,a,t,h,a,&,t,h,t,t,h,a,#,n,g,i,z,o,t,h,t,t,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,h,a
t,h,a,t,h,a,&,t,h,a,v,h,a,#,n,g,i,y,o,t,h,a,v,h,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,t,h,a
l,i,n,d,a,&,l,i,o,d,a,#,l,i,o,d,a,$,COPY	l,i,n,d,a
l,i,n,d,a,&,l,i,n,f,a,#,n,g,i,l,i,n,f,e,$,V,SG,1,PST+RCT	n,g,i,l,i,n,d,e
l,i,n,d,a,&,l,d,n,y,a,#,n,g,i,y,a,l,d,n,y,a,$,V,SG,1,PRS	n,g,i,y,a,l,i,n,d,a
l,i,n,d,a,&,w,f,n,a,a,#,n,g,a,w,f,n,a,a,$,V,SG,1,PST+RMT	n,g,a,l,i,n,d,a
l,i,n,d,a,&,l,w,n,t,a,#,n,g,i,z,o,l,w,n,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,n,d,a
l,i,n,d,a,&,l,i,q,d,a,#,n,g,i,y,o,l,i,q,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,i,n,d,a
d,l,a,l,a,&,d,p,a,l,q,#,d,p,a,l,q,$,COPY	d,l,a,l,a
d,l,a,l,a,&,d,l,a,a,a,#,n,g,a,d,l,a,a,a,$,V,SG,1,PST+RMT	n,g,a,d,l,a,l,a
d,l,a,l,a,&,d,d,a,l,a,#,n,g,i,d,d,a,l,e,$,V,SG,1,PST+RCT	n,g,i,d,l,a,l,e
d,l,a,l,a,&,d,l,a,y,i,#,n,g,i,y,o,d,l,a,y,i,$,V,SG,1,FUT	n,g,i,y,o,d,l,a,l,a
d,l,a,l,a,&,y,l,a,l,l,#,n,g,i,z,o,y,l,a,l,l,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,l,a,l,a
d,l,a,l,a,&,d,l,f,l,a,#,n,g,i,d,l,f,l,a,$,V,SG,1,PRS	n,g,i,d,l,a,l,a
c,u,l,a,&,c,u,l,o,#,c,u,l,o,$,COPY	c,u,l,a
c,u,l,a,&,c,u,l,e,#,n,g,i,z,o,c,u,l,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,u,l,a
c,u,l,a,&,c,l,l,a,#,n,g,a,c,l,l,a,$,V,SG,1,PST+RMT	n,g,a,c,u,l,a
c,u,l,a,&,c,u,h,a,#,n,g,i,c,u,h,a,$,V,SG,1,PRS	n,g,i,c,u,l,a
c,u,l,a,&,c,s,f,a,#,n,g,i,y,o,c,s,f,a,$,V,SG,1,FUT	n,g,i,y,o,c,u,l,a
c,u,l,a,&,g,u,v,a,#,n,g,i,g,u,v,e,$,V,SG,1,PST+RCT	n,g,i,c,u,l,e
k,h,a,l,a,&,k,h,a,l,e,#,k,h,a,l,e,$,COPY	k,h,a,l,a
k,h,a,l,a,&,n,h,a,l,a,#,n,g,i,y,a,n,h,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,a,l,a
k,h,a,l,a,&,t,h,a,s,a,#,n,g,a,t,h,a,s,a,$,V,SG,1,PST+RMT	n,g,a,k,h,a,l,a
k,h,a,l,a,&,k,h,a,l,k,#,n,g,i,z,o,k,h,a,l,k,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,a,l,a
k,h,a,l,a,&,k,z,q,l,a,#,n,g,i,k,z,q,l,e,$,V,SG,1,PST+RCT	n,g,i,k,h,a,l,e
k,h,a,l,a,&,k,h,c,l,k,#,n,g,i,y,o,k,h,c,l,k,$,V,SG,1,FUT	n,g,i,y,o,k,h,a,l,a
f,u,n,a,&,f,y,n,d,#,f,y,n,d,$,COPY	f,u,n,a
f,u,n,a,&,f,u,y,a,#,n,g,i,f,u,y,e,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
f,u,n,a,&,f,u,n,u,#,n,g,i,f,u,n,u,$,V,SG,1,PRS	n,g,i,f,u,n,a
f,u,n,a,&,f,p,n,d,#,n,g,i,z,o,f,p,n,d,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,a
f,u,n,a,&,f,u,n,p,#,n,g,i,y,o,f,u,n,p,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,a
f,u,n,a,&,u,u,n,a,#,n,g,a,u,u,n,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,a
n,z,a,&,n,j,a,#,n,j,a,$,COPY	n,z,a
n,z,a,&,n,d,a,#,n,g,i,n,d,a,$,V,SG,1,PRS	n,g,e,n,z,a
n,z,a,&,n,d,a,#,n,g,i,y,o,k,w,a,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,a
n,z,a,&,n,d,a,#,n,g,i,z,o,k,w,a,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,a
n,z,a,&,n,d,a,#,n,g,a,n,d,a,$,V,SG,1,PST+RMT	n,g,e,n,z,a
n,z,a,&,n,d,a,#,n,g,i,y,a,n,d,e,$,V,SG,1,PST+RCT	n,g,e,n,z,e
c,a,b,a,n,g,a,&,c,a,b,p,n,z,a,#,c,a,b,p,n,z,a,$,COPY	c,a,b,a,n,g,a
c,a,b,a,n,g,a,&,c,k,b,a,n,g,a,#,n,g,i,c,k,b,a,n,g,a,$,V,SG,1,PRS	n,g,i,c,a,b,a,n,g,a
c,a,b,a,n,g,a,&,c,a,c,k,n,g,a,#,n,g,i,z,o,c,a,c,k,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,a,n,g,a
c,a,b,a,n,g,a,&,c,v,b,a,n,g,a,#,n,g,i,c,v,b,a,n,g,e,$,V,SG,1,PST+RCT	n,g,i,c,a,b,a,n,g,e
c,a,b,a,n,g,a,&,c,a,b,a,e,g,a,#,n,g,a,c,a,b,a,e,g,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,a,n,g,a
c,a,b,a,n,g,a,&,c,a,l,a,n,g,a,#,n,g,i,y,o,c,a,l,a,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,a,n,g,a
h,l,a,l,a, ,p,h,a,n,s,i,&,h,n,a,l,a, ,p,h,a,n,s,i,#,h,n,a,l,a, ,p,h,a,n,s,i,$,COPY	h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,&,h,d,a,z,a, ,p,h,a,n,s,i,#,n,g,i,h,d,a,z,e, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,h,l,a,l,e, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,&,h,n,a,l,a, ,p,h,a,n,s,i,#,n,g,i,y,o,h,n,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,&,b,l,a,l,a, ,p,h,a,n,s,i,#,n,g,i,b,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,&,a,l,a,l,o, ,p,h,a,n,s,i,#,n,g,i,z,o,a,l,a,l,o, ,p,h,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,l,a, ,p,h,a,n,s,i
h,l,a,l,a, ,p,h,a,n,s,i,&,h,l,a,y,a, ,p,h,a,n,s,i,#,n,g,a,h,l,a,y,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,h,l,a,l,a, ,p,h,a,n,s,i
t,h,o,l,a,&,t,c,o,u,a,#,t,c,o,u,a,$,COPY	t,h,o,l,a
t,h,o,l,a,&,t,u,l,l,a,#,n,g,i,y,o,t,u,l,l,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,o,l,a
t,h,o,l,a,&,t,h,o,l,m,#,n,g,i,z,o,t,h,o,l,m,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,o,l,a
t,h,o,l,a,&,t,h,o,l,s,#,n,g,a,t,h,o,l,s,$,V,SG,1,PST+RMT	n,g,a,t,h,o,l,a
t,h,o,l,a,&,t,h,o,e,i,#,n,g,i,t,h,o,e,i,$,V,SG,1,PRS	n,g,i,t,h,o,l,a
t,h,o,l,a,&,t,z,o,l,a,#,n,g,i,t,z,o,l,e,$,V,SG,1,PST+RCT	n,g,i,t,h,o,l,e
l,a,l,e,l,a,&,l,a,l,e,k,a,#,l,a,l,e,k,a,$,COPY	l,a,l,e,l,a
l,a,l,e,l,a,&,l,a,j,g,l,a,#,n,g,a,l,a,j,g,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,e,l,a
l,a,l,e,l,a,&,l,a,l,e,w,a,#,n,g,i,z,o,l,a,l,e,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,e,l,a
l,a,l,e,l,a,&,l,a,l,k,v,a,#,n,g,i,l,a,l,k,v,a,$,V,SG,1,PRS	n,g,i,l,a,l,e,l,a
l,a,l,e,l,a,&,l,a,l,k,l,a,#,n,g,i,y,o,l,a,l,k,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,e,l,a
l,a,l,e,l,a,&,l,a,a,e,l,a,#,n,g,i,l,a,a,e,l,e,$,V,SG,1,PST+RCT	n,g,i,l,a,l,e,l,e
t,h,u,m,a,&,t,l,u,c,v,#,t,l,u,c,v,$,COPY	t,h,u,m,a
t,h,u,m,a,&,t,y,k,q,a,#,n,g,i,y,o,t,y,k,q,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,u,m,a
t,h,u,m,a,&,t,s,u,m,a,#,n,g,i,t,s,u,m,e,$,V,SG,1,PST+RCT	n,g,i,t,h,u,m,e
t,h,u,m,a,&,e,h,u,b,a,#,n,g,a,e,h,u,b,a,$,V,SG,1,PST+RMT	n,g,a,t,h,u,m,a
t,h,u,m,a,&,t,h,u,q,a,#,n,g,i,t,h,u,q,a,$,V,SG,1,PRS	n,g,i,t,h,u,m,a
t,h,u,m,a,&,i,h,u,m,a,#,n,g,i,z,o,i,h,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,u,m,a
n,g,e,n,a,&,n,m,e,n,a,#,n,m,e,n,a,$,COPY	n,g,e,n,a
n,g,e,n,a,&,n,z,e,p,a,#,n,g,i,n,z,e,p,e,$,V,SG,1,PST+RCT	n,g,i,n,g,e,n,e
n,g,e,n,a,&,n,g,f,n,a,#,n,g,i,z,o,n,g,f,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,e,n,a
n,g,e,n,a,&,n,g,e,q,a,#,n,g,a,n,g,e,q,a,$,V,SG,1,PST+RMT	n,g,a,n,g,e,n,a
n,g,e,n,a,&,n,q,t,n,a,#,n,g,i,y,o,n,q,t,n,a,$,V,SG,1,FUT	n,g,i,y,o,n,g,e,n,a
n,g,e,n,a,&,n,y,e,g,a,#,n,g,i,n,y,e,g,a,$,V,SG,1,PRS	n,g,i,n,g,e,n,a
b,h,e,k,a,&,n,k,e,k,a,#,n,k,e,k,a,$,COPY	b,h,e,k,a
b,h,e,k,a,&,b,h,e,e,a,#,n,g,i,z,o,b,h,e,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,e,k,a
b,h,e,k,a,&,b,h,v,f,a,#,n,g,i,b,h,v,f,e,$,V,SG,1,PST+RCT	n,g,i,b,h,e,k,e
b,h,e,k,a,&,b,h,z,k,a,#,n,g,i,b,h,z,k,a,$,V,SG,1,PRS	n,g,i,b,h,e,k,a
b,h,e,k,a,&,b,s,e,k,a,#,n,g,a,b,s,e,k,a,$,V,SG,1,PST+RMT	n,g,a,b,h,e,k,a
b,h,e,k,a,&,a,h,e,k,k,#,n,g,i,y,o,a,h,e,k,k,$,V,SG,1,FUT	n,g,i,y,o,b,h,e,k,a
t,h,e,n,g,i,s,a,&,t,v,e,n,g,b,f,a,#,t,v,e,n,g,b,f,a,$,COPY	t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,&,t,o,e,n,p,i,i,a,#,n,g,i,z,o,t,o,e,n,p,i,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,&,t,h,e,n,g,i,m,a,#,n,g,i,t,h,e,n,g,i,m,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,&,t,f,e,n,g,i,s,a,#,n,g,i,y,o,t,f,e,n,g,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,n,g,i,s,a
t,h,e,n,g,i,s,a,&,t,h,e,n,w,i,s,a,#,n,g,i,t,h,e,n,w,i,s,e,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,g,i,s,e
t,h,e,n,g,i,s,a,&,t,b,e,n,g,l,s,a,#,n,g,a,t,b,e,n,g,l,s,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,n,g,i,s,a
f,a,&,b,a,#,b,a,$,COPY	f,a
f,a,&,b,a,#,n,g,i,b,a,$,V,SG,1,PRS	n,g,i,f,a
f,a,&,b,a,#,n,g,a,b,a,$,V,SG,1,PST+RMT	n,g,a,f,a
f,a,&,b,a,#,n,g,i,z,o,k,u,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,f,a
f,a,&,b,a,#,n,g,i,b,e,$,V,SG,1,PST+RCT	n,g,i,f,e
f,a,&,b,a,#,n,g,i,y,o,k,u,b,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,f,a
s,a,l,a,&,s,z,l,a,#,s,z,l,a,$,COPY	s,a,l,a
s,a,l,a,&,s,s,l,a,#,n,g,i,y,o,s,s,l,a,$,V,SG,1,FUT	n,g,i,y,o,s,a,l,a
s,a,l,a,&,s,a,l,h,#,n,g,a,s,a,l,h,$,V,SG,1,PST+RMT	n,g,a,s,a,l,a
s,a,l,a,&,s,h,l,a,#,n,g,i,z,o,s,h,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,l,a
s,a,l,a,&,q,a,l,a,#,n,g,i,q,a,l,a,$,V,SG,1,PRS	n,g,i,s,a,l,a
s,a,l,a,&,s,f,y,a,#,n,g,i,s,f,y,e,$,V,SG,1,PST+RCT	n,g,i,s,a,l,e
n,d,a,&,n,p,a,#,n,p,a,$,COPY	n,d,a
n,d,a,&,n,z,a,#,n,g,e,n,z,a,$,V,SG,1,PST+RMT	n,g,a,n,d,a
n,d,a,&,n,z,a,#,n,g,e,n,z,e,$,V,SG,1,PST+RCT	n,g,i,y,a,n,d,e
n,d,a,&,n,m,j,#,n,g,i,z,o,k,w,a,n,m,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,n,d,a
n,d,a,&,n,z,a,#,n,g,e,n,z,a,$,V,SG,1,PRS	n,g,i,n,d,a
n,d,a,&,n,z,a,#,n,g,i,y,o,k,w,e,n,z,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,n,d,a
s,e,b,e,n,z,a,&,s,e,b,p,n,z,a,#,s,e,b,p,n,z,a,$,COPY	s,e,b,e,n,z,a
s,e,b,e,n,z,a,&,s,e,b,e,f,z,a,#,n,g,i,y,o,s,e,b,e,f,z,a,$,V,SG,1,FUT	n,g,i,y,o,s,e,b,e,n,z,a
s,e,b,e,n,z,a,&,s,e,b,e,t,z,a,#,n,g,i,z,o,s,e,b,e,t,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,e,b,e,n,z,a
s,e,b,e,n,z,a,&,s,e,s,e,n,z,a,#,n,g,a,s,e,s,e,n,z,a,$,V,SG,1,PST+RMT	n,g,a,s,e,b,e,n,z,a
s,e,b,e,n,z,a,&,s,e,b,m,n,z,a,#,n,g,i,s,e,b,m,n,z,a,$,V,SG,1,PRS	n,g,i,s,e,b,e,n,z,a
s,e,b,e,n,z,a,&,s,a,b,e,n,z,a,#,n,g,i,s,a,b,e,n,z,e,$,V,SG,1,PST+RCT	n,g,i,s,e,b,e,n,z,e
z,i,s,a,&,w,z,p,a,#,w,z,p,a,$,COPY	z,i,s,a
z,i,s,a,&,z,i,s,d,#,n,g,i,z,i,s,d,$,V,SG,1,PRS	n,g,i,z,i,s,a
z,i,s,a,&,z,i,s,p,#,n,g,i,y,o,k,w,a,z,i,s,p,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,a
z,i,s,a,&,o,i,s,a,#,n,g,i,z,o,k,w,a,o,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,z,i,s,a
z,i,s,a,&,h,h,s,a,#,n,g,a,h,h,s,a,$,V,SG,1,PST+RMT	n,g,a,z,i,s,a
z,i,s,a,&,j,i,s,a,#,n,g,i,y,a,j,i,s,e,$,V,SG,1,PST+RCT	n,g,i,y,a,z,i,s,e
n,z,e,k,a,&,n,g,e,k,a,#,n,g,e,k,a,$,COPY	n,z,e,k,a
n,z,e,k,a,&,n,z,e,k,y,#,n,g,e,n,z,e,k,y,$,V,SG,1,PRS	n,g,e,n,z,e,k,a
n,z,e,k,a,&,n,z,e,k,d,#,n,g,i,y,o,k,w,e,n,z,e,k,d,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,k,a
n,z,e,k,a,&,n,y,e,b,a,#,n,g,e,n,y,e,b,e,$,V,SG,1,PST+RCT	n,g,e,n,z,e,k,e
n,z,e,k,a,&,n,w,e,k,a,#,n,g,i,z,o,k,w,e,n,w,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,e,k,a
n,z,e,k,a,&,n,s,e,k,a,#,n,g,a,n,s,e,k,a,$,V,SG,1,PST+RMT	n,g,a,n,z,e,k,a
k,h,u,l,u,m,a,&,k,h,u,l,u,h,a,#,k,h,u,l,u,h,a,$,COPY	k,h,u,l,u,m,a
k,h,u,l,u,m,a,&,k,h,s,l,u,m,a,#,n,g,i,z,o,k,h,s,l,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,l,u,m,a
k,h,u,l,u,m,a,&,k,h,u,u,j,m,a,#,n,g,i,k,h,u,u,j,m,e,$,V,SG,1,PST+RCT	n,g,i,k,h,u,l,u,m,e
k,h,u,l,u,m,a,&,k,h,u,l,o,m,a,#,n,g,i,y,o,k,h,u,l,o,m,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,l,u,m,a
k,h,u,l,u,m,a,&,k,h,u,z,f,m,a,#,n,g,i,k,h,u,z,f,m,a,$,V,SG,1,PRS	n,g,i,k,h,u,l,u,m,a
k,h,u,l,u,m,a,&,k,h,u,l,d,m,a,#,n,g,a,k,h,u,l,d,m,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,l,u,m,a
m,u,k,e,l,a,&,m,k,k,e,l,a,#,m,k,k,e,l,a,$,COPY	m,u,k,e,l,a
m,u,k,e,l,a,&,m,u,z,e,l,a,#,n,g,i,z,o,k,w,a,m,u,z,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,k,e,l,a
m,u,k,e,l,a,&,m,z,k,e,l,a,#,n,g,i,m,z,k,e,l,a,$,V,SG,1,PRS	n,g,i,m,u,k,e,l,a
m,u,k,e,l,a,&,m,u,y,e,l,a,#,n,g,i,y,o,k,w,a,m,u,y,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,u,k,e,l,a
m,u,k,e,l,a,&,m,u,k,d,l,a,#,n,g,i,y,a,m,u,k,d,l,e,$,V,SG,1,PST+RCT	n,g,i,y,a,m,u,k,e,l,e
m,u,k,e,l,a,&,m,d,k,e,l,a,#,n,g,a,m,d,k,e,l,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,l,a
s,h,a,y,e,l,a,&,s,h,s,y,z,l,a,#,s,h,s,y,z,l,a,$,COPY	s,h,a,y,e,l,a
s,h,a,y,e,l,a,&,s,h,a,q,e,m,a,#,n,g,i,y,o,s,h,a,q,e,m,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,a,y,e,l,a
