s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
s,e,k,a,&,s,a,n,a,#,m,a,k,a,s,a,n,a,$,V,PL,2,PST	m,a,k,a,s,e,k,a
s,e,k,a,&,s,e,s,a,#,m,u,r,i,k,u,s,e,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,e,k,a
s,e,k,a,&,z,e,h,h,#,v,a,z,e,h,h,$,V,PL,3,HOD	v,a,s,e,k,a
s,e,k,a,&,o,e,k,a,#,t,a,o,e,k,a,$,V,PL,1,HOD	t,a,s,e,k,a
d,o,n,h,a,&,h,o,n,h,a,#,h,o,n,h,a,$,COPY	d,o,n,h,a
d,o,n,h,a,&,w,o,n,h,g,#,v,a,k,a,w,o,n,h,g,$,V,PL,3,PST	v,a,k,a,d,o,n,h,a
d,o,n,h,a,&,v,o,c,h,a,#,v,a,n,o,v,o,c,h,a,$,V,PL,3,PRS	v,a,n,o,d,o,n,h,a
d,o,n,h,a,&,d,o,n,z,a,#,m,u,c,h,a,d,o,n,z,a,$,V,PL,2,FUT	m,u,c,h,a,d,o,n,h,a
d,o,n,h,a,&,i,o,n,h,a,#,a,n,o,i,o,n,h,a,$,V,SG,3,PRS	a,n,o,d,o,n,h,a
d,o,n,h,a,&,w,t,n,h,a,#,t,a,k,a,w,t,n,h,a,$,V,PL,1,PST	t,a,k,a,d,o,n,h,a
d,o,n,h,a,&,d,o,v,h,s,#,n,d,a,d,o,v,h,s,$,V,SG,1,HOD	n,d,a,d,o,n,h,a
d,o,n,h,a,&,d,o,n,h,i,#,v,a,d,o,n,h,i,$,V,PL,3,HOD	v,a,d,o,n,h,a
d,o,n,h,a,&,m,o,n,h,a,#,n,d,i,n,o,m,o,n,h,a,$,V,SG,1,PRS	n,d,i,n,o,d,o,n,h,a
d,o,n,h,a,&,d,o,o,t,r,#,t,a,d,o,o,t,r,$,V,PL,1,HOD	t,a,d,o,n,h,a
d,o,n,h,a,&,d,u,o,h,g,#,t,i,c,h,a,d,u,o,h,g,$,V,PL,1,FUT	t,i,c,h,a,d,o,n,h,a
d,o,n,h,a,&,d,o,n,h,p,#,m,a,k,a,d,o,n,h,p,$,V,PL,2,PST	m,a,k,a,d,o,n,h,a
d,o,n,h,a,&,d,o,p,h,a,#,m,u,r,i,k,u,d,o,p,h,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,o,n,h,a
d,o,n,h,a,&,c,o,n,a,a,#,t,i,n,o,c,o,n,a,a,$,V,PL,1,PRS	t,i,n,o,d,o,n,h,a
d,o,n,h,a,&,a,o,n,h,u,#,a,c,h,a,a,o,n,h,u,$,V,SG,3,FUT	a,c,h,a,d,o,n,h,a
d,o,n,h,a,&,d,o,c,h,k,#,u,n,o,d,o,c,h,k,$,V,SG,2,PRS	u,n,o,d,o,n,h,a
d,o,n,h,a,&,d,o,e,h,a,#,n,d,a,k,a,d,o,e,h,a,$,V,SG,1,PST	n,d,a,k,a,d,o,n,h,a
d,o,n,h,a,&,d,z,n,h,a,#,v,a,r,i,k,u,d,z,n,h,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,o,n,h,a
d,o,n,h,a,&,d,o,n,k,a,#,m,a,d,o,n,k,a,$,V,PL,2,HOD	m,a,d,o,n,h,a
d,o,n,h,a,&,d,o,n,b,a,#,w,a,d,o,n,b,a,$,V,SG,2,HOD	w,a,d,o,n,h,a
d,o,n,h,a,&,d,o,t,h,a,#,n,d,i,c,h,a,d,o,t,h,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,o,n,h,a
d,o,n,h,a,&,d,o,n,o,a,#,u,r,i,k,u,d,o,n,o,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,o,n,h,a
d,o,n,h,a,&,h,o,s,h,a,#,a,r,i,k,u,h,o,s,h,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,o,n,h,a
d,o,n,h,a,&,d,o,n,h,g,#,a,d,o,n,h,g,$,V,SG,3,HOD	a,d,o,n,h,a
d,o,n,h,a,&,o,o,z,h,a,#,a,k,a,o,o,z,h,a,$,V,SG,3,PST	a,k,a,d,o,n,h,a
d,o,n,h,a,&,g,o,k,h,a,#,w,a,k,a,g,o,k,h,a,$,V,SG,2,PST	w,a,k,a,d,o,n,h,a
d,o,n,h,a,&,d,n,n,h,a,#,v,a,c,h,a,d,n,n,h,a,$,V,PL,3,FUT	v,a,c,h,a,d,o,n,h,a
d,o,n,h,a,&,c,o,n,n,a,#,u,c,h,a,c,o,n,n,a,$,V,SG,2,FUT	u,c,h,a,d,o,n,h,a
d,o,n,h,a,&,d,o,z,h,a,#,n,d,i,r,i,k,u,d,o,z,h,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,o,n,h,a
d,o,n,h,a,&,d,o,n,h,h,#,m,u,n,o,d,o,n,h,h,$,V,PL,2,PRS	m,u,n,o,d,o,n,h,a
d,o,n,h,a,&,s,r,s,h,a,#,t,i,r,i,k,u,s,r,s,h,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,o,n,h,a
u,r,a,y,a,&,u,u,a,y,o,#,u,u,a,y,o,$,COPY	u,r,a,y,a
u,r,a,y,a,&,t,v,c,y,a,#,n,d,a,t,v,c,y,a,$,V,SG,1,HOD	n,d,a,u,r,a,y,a
u,r,a,y,a,&,u,r,y,y,u,#,u,n,o,u,r,y,y,u,$,V,SG,2,PRS	u,n,o,u,r,a,y,a
u,r,a,y,a,&,u,r,a,y,p,#,v,a,c,h,a,u,r,a,y,p,$,V,PL,3,FUT	v,a,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,r,i,o,a,#,t,i,c,h,a,u,r,i,o,a,$,V,PL,1,FUT	t,i,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,r,t,y,g,#,t,a,u,r,t,y,g,$,V,PL,1,HOD	t,a,u,r,a,y,a
u,r,a,y,a,&,t,g,a,s,a,#,v,a,r,i,k,u,t,g,a,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,y,m,a,y,a,#,m,u,c,h,a,y,m,a,y,a,$,V,PL,2,FUT	m,u,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,k,a,y,i,#,n,d,i,c,h,a,u,k,a,y,i,$,V,SG,1,FUT	n,d,i,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,r,f,y,w,#,t,i,r,i,k,u,u,r,f,y,w,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,n,r,a,y,a,#,u,r,i,k,u,n,r,a,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,u,f,a,s,a,#,a,u,f,a,s,a,$,V,SG,3,HOD	a,u,r,a,y,a
u,r,a,y,a,&,h,r,a,s,a,#,a,k,a,h,r,a,s,a,$,V,SG,3,PST	a,k,a,u,r,a,y,a
u,r,a,y,a,&,u,r,t,y,a,#,a,c,h,a,u,r,t,y,a,$,V,SG,3,FUT	a,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,r,a,c,a,#,m,u,n,o,u,r,a,c,a,$,V,PL,2,PRS	m,u,n,o,u,r,a,y,a
u,r,a,y,a,&,h,r,a,y,a,#,n,d,a,k,a,h,r,a,y,a,$,V,SG,1,PST	n,d,a,k,a,u,r,a,y,a
u,r,a,y,a,&,u,c,a,y,a,#,m,a,k,a,u,c,a,y,a,$,V,PL,2,PST	m,a,k,a,u,r,a,y,a
u,r,a,y,a,&,t,r,a,y,a,#,m,u,r,i,k,u,t,r,a,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,d,r,a,y,a,#,w,a,k,a,d,r,a,y,a,$,V,SG,2,PST	w,a,k,a,u,r,a,y,a
u,r,a,y,a,&,u,r,a,y,c,#,w,a,u,r,a,y,c,$,V,SG,2,HOD	w,a,u,r,a,y,a
u,r,a,y,a,&,u,w,f,y,a,#,u,c,h,a,u,w,f,y,a,$,V,SG,2,FUT	u,c,h,a,u,r,a,y,a
u,r,a,y,a,&,u,r,a,a,f,#,v,a,u,r,a,a,f,$,V,PL,3,HOD	v,a,u,r,a,y,a
u,r,a,y,a,&,u,b,a,y,a,#,v,a,n,o,u,b,a,y,a,$,V,PL,3,PRS	v,a,n,o,u,r,a,y,a
u,r,a,y,a,&,u,u,a,y,a,#,v,a,k,a,u,u,a,y,a,$,V,PL,3,PST	v,a,k,a,u,r,a,y,a
u,r,a,y,a,&,u,m,a,y,a,#,a,n,o,u,m,a,y,a,$,V,SG,3,PRS	a,n,o,u,r,a,y,a
u,r,a,y,a,&,u,r,a,y,h,#,n,d,i,r,i,k,u,u,r,a,y,h,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,u,w,a,m,a,#,m,a,u,w,a,m,a,$,V,PL,2,HOD	m,a,u,r,a,y,a
u,r,a,y,a,&,u,r,v,y,a,#,a,r,i,k,u,u,r,v,y,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,u,r,a,y,a
u,r,a,y,a,&,u,r,z,y,a,#,t,a,k,a,u,r,z,y,a,$,V,PL,1,PST	t,a,k,a,u,r,a,y,a
u,r,a,y,a,&,u,e,a,y,a,#,t,i,n,o,u,e,a,y,a,$,V,PL,1,PRS	t,i,n,o,u,r,a,y,a
u,r,a,y,a,&,u,s,k,s,a,#,n,d,i,n,o,u,s,k,s,a,$,V,SG,1,PRS	n,d,i,n,o,u,r,a,y,a
p,e,d,z,a,&,f,e,d,z,u,#,f,e,d,z,u,$,COPY	p,e,d,z,a
p,e,d,z,a,&,p,i,d,z,a,#,u,n,o,p,i,d,z,a,$,V,SG,2,PRS	u,n,o,p,e,d,z,a
p,e,d,z,a,&,y,r,d,z,a,#,u,c,h,a,y,r,d,z,a,$,V,SG,2,FUT	u,c,h,a,p,e,d,z,a
p,e,d,z,a,&,p,e,w,z,a,#,t,a,p,e,w,z,a,$,V,PL,1,HOD	t,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,f,a,#,t,i,c,h,a,p,e,d,f,a,$,V,PL,1,FUT	t,i,c,h,a,p,e,d,z,a
p,e,d,z,a,&,d,t,d,z,a,#,n,d,a,d,t,d,z,a,$,V,SG,1,HOD	n,d,a,p,e,d,z,a
p,e,d,z,a,&,p,g,d,z,f,#,n,d,i,n,o,p,g,d,z,f,$,V,SG,1,PRS	n,d,i,n,o,p,e,d,z,a
p,e,d,z,a,&,b,e,d,f,a,#,t,i,n,o,b,e,d,f,a,$,V,PL,1,PRS	t,i,n,o,p,e,d,z,a
p,e,d,z,a,&,p,e,z,z,a,#,n,d,i,r,i,k,u,p,e,z,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,p,u,d,a,b,#,t,a,k,a,p,u,d,a,b,$,V,PL,1,PST	t,a,k,a,p,e,d,z,a
p,e,d,z,a,&,p,s,f,n,a,#,v,a,c,h,a,p,s,f,n,a,$,V,PL,3,FUT	v,a,c,h,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,z,i,#,u,r,i,k,u,p,e,d,z,i,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,p,e,y,z,a,#,a,p,e,y,z,a,$,V,SG,3,HOD	a,p,e,d,z,a
p,e,d,z,a,&,v,e,d,z,a,#,v,a,v,e,d,z,a,$,V,PL,3,HOD	v,a,p,e,d,z,a
p,e,d,z,a,&,n,e,r,z,a,#,w,a,k,a,n,e,r,z,a,$,V,SG,2,PST	w,a,k,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,e,a,#,a,r,i,k,u,p,e,d,e,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,w,e,c,z,a,#,a,k,a,w,e,c,z,a,$,V,SG,3,PST	a,k,a,p,e,d,z,a
p,e,d,z,a,&,p,o,d,z,a,#,t,i,r,i,k,u,p,o,d,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,p,n,d,z,a,#,m,u,n,o,p,n,d,z,a,$,V,PL,2,PRS	m,u,n,o,p,e,d,z,a
p,e,d,z,a,&,p,e,d,n,k,#,w,a,p,e,d,n,k,$,V,SG,2,HOD	w,a,p,e,d,z,a
p,e,d,z,a,&,p,e,s,z,a,#,m,a,p,e,s,z,a,$,V,PL,2,HOD	m,a,p,e,d,z,a
p,e,d,z,a,&,p,e,f,z,a,#,v,a,k,a,p,e,f,z,a,$,V,PL,3,PST	v,a,k,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,z,y,#,v,a,n,o,p,e,d,z,y,$,V,PL,3,PRS	v,a,n,o,p,e,d,z,a
p,e,d,z,a,&,p,e,b,o,a,#,m,u,r,i,k,u,p,e,b,o,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,p,w,d,z,a,#,v,a,r,i,k,u,p,w,d,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,e,d,z,a
p,e,d,z,a,&,i,e,d,z,a,#,m,a,k,a,i,e,d,z,a,$,V,PL,2,PST	m,a,k,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,z,z,#,m,u,c,h,a,p,e,d,z,z,$,V,PL,2,FUT	m,u,c,h,a,p,e,d,z,a
p,e,d,z,a,&,p,e,d,f,b,#,a,n,o,p,e,d,f,b,$,V,SG,3,PRS	a,n,o,p,e,d,z,a
p,e,d,z,a,&,p,e,d,v,o,#,n,d,i,c,h,a,p,e,d,v,o,$,V,SG,1,FUT	n,d,i,c,h,a,p,e,d,z,a
p,e,d,z,a,&,k,c,d,r,a,#,n,d,a,k,a,k,c,d,r,a,$,V,SG,1,PST	n,d,a,k,a,p,e,d,z,a
p,e,d,z,a,&,e,o,d,z,a,#,a,c,h,a,e,o,d,z,a,$,V,SG,3,FUT	a,c,h,a,p,e,d,z,a
t,a,r,i,s,a,&,t,a,g,i,v,a,#,t,a,g,i,v,a,$,COPY	t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,c,s,a,#,v,a,n,o,t,a,r,c,s,a,$,V,PL,3,PRS	v,a,n,o,t,a,r,i,s,a
t,a,r,i,s,a,&,t,p,r,p,s,a,#,n,d,i,r,i,k,u,t,p,r,p,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,n,i,s,a,#,v,a,r,i,k,u,t,a,n,i,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,i,o,s,a,#,v,a,t,a,i,o,s,a,$,V,PL,3,HOD	v,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,c,i,s,a,#,t,i,c,h,a,t,a,c,i,s,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,e,d,i,v,a,#,a,r,i,k,u,t,e,d,i,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,c,r,i,s,a,#,n,d,i,n,o,t,c,r,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,o,s,a,#,v,a,c,h,a,t,a,r,o,s,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,k,i,s,a,#,t,i,r,i,k,u,t,a,k,i,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,i,y,i,s,a,#,w,a,k,a,t,i,y,i,s,a,$,V,SG,2,PST	w,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,e,s,a,#,t,a,t,a,r,e,s,a,$,V,PL,1,HOD	t,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,z,i,s,a,#,w,a,t,a,z,i,s,a,$,V,SG,2,HOD	w,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,g,w,c,a,#,m,u,r,i,k,u,t,a,g,w,c,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,h,r,i,s,a,#,m,a,t,h,r,i,s,a,$,V,PL,2,HOD	m,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,c,r,i,s,a,#,a,c,h,a,t,c,r,i,s,a,$,V,SG,3,FUT	a,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,i,d,s,a,#,u,c,h,a,t,a,i,d,s,a,$,V,SG,2,FUT	u,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,p,p,i,s,a,#,u,n,o,t,p,p,i,s,a,$,V,SG,2,PRS	u,n,o,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,i,d,a,#,a,k,a,t,a,r,i,d,a,$,V,SG,3,PST	a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,i,a,a,#,n,d,i,c,h,a,t,a,r,i,a,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,e,s,a,#,a,t,a,r,e,s,a,$,V,SG,3,HOD	a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,h,i,s,a,#,u,r,i,k,u,t,a,h,i,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,s,i,v,a,#,t,a,k,a,t,a,s,i,v,a,$,V,PL,1,PST	t,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,i,g,a,#,m,u,c,h,a,t,a,r,i,g,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,i,i,a,#,m,a,k,a,t,a,r,i,i,a,$,V,PL,2,PST	m,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,p,r,i,s,a,#,v,a,k,a,t,p,r,i,s,a,$,V,PL,3,PST	v,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,t,d,i,s,a,#,m,u,n,o,t,t,d,i,s,a,$,V,PL,2,PRS	m,u,n,o,t,a,r,i,s,a
t,a,r,i,s,a,&,t,a,r,e,s,a,#,n,d,a,t,a,r,e,s,a,$,V,SG,1,HOD	n,d,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,h,r,i,s,a,#,n,d,a,k,a,t,h,r,i,s,a,$,V,SG,1,PST	n,d,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,&,t,p,r,w,o,a,#,a,n,o,t,p,r,w,o,a,$,V,SG,3,PRS	a,n,o,t,a,r,i,s,a
t,a,r,i,s,a,&,t,h,r,f,s,a,#,t,i,n,o,t,h,r,f,s,a,$,V,PL,1,PRS	t,i,n,o,t,a,r,i,s,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,w,r,i,w,a,#,r,a,n,g,w,r,i,w,a,$,COPY	r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,s,i,r,a,#,a,c,h,a,r,a,n,g,a,s,i,r,a,$,V,SG,3,FUT	a,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,h,r,h,r,a,#,t,i,c,h,a,r,a,n,g,h,r,h,r,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,i,r,w,r,a,#,m,a,k,a,r,a,n,g,i,r,w,r,a,$,V,PL,2,PST	m,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,n,a,e,h,r,a,#,w,a,k,a,r,a,n,n,a,e,h,r,a,$,V,SG,2,PST	w,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,w,i,r,a,#,a,k,a,r,a,n,g,a,w,i,r,a,$,V,SG,3,PST	a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,d,e,r,a,#,a,r,i,k,u,r,a,n,g,a,d,e,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,b,k,a,r,b,r,a,#,v,a,c,h,a,r,a,b,k,a,r,b,r,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,k,h,r,a,#,n,d,a,k,a,r,a,n,g,a,k,h,r,a,$,V,SG,1,PST	n,d,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,r,f,r,a,#,n,d,i,c,h,a,r,a,n,g,a,r,f,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,v,n,g,a,r,i,r,a,#,m,a,r,v,n,g,a,r,i,r,a,$,V,PL,2,HOD	m,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,d,g,a,r,d,t,a,#,w,a,r,a,d,g,a,r,d,t,a,$,V,SG,2,HOD	w,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,d,i,r,a,#,t,i,n,o,r,a,n,g,a,d,i,r,a,$,V,PL,1,PRS	t,i,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,f,m,i,n,a,#,t,a,r,a,n,g,f,m,i,n,a,$,V,PL,1,HOD	t,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,m,v,i,a,#,v,a,r,a,n,g,a,m,v,i,a,$,V,PL,3,HOD	v,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,c,z,b,r,i,r,a,#,m,u,r,i,k,u,r,a,c,z,b,r,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,h,o,p,u,i,r,a,#,u,c,h,a,r,a,h,o,p,u,i,r,a,$,V,SG,2,FUT	u,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,p,g,a,r,i,r,a,#,m,u,c,h,a,r,a,p,g,a,r,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,f,a,r,i,r,a,#,a,r,a,n,f,a,r,i,r,a,$,V,SG,3,HOD	a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,c,d,i,r,a,#,u,n,o,r,a,n,g,c,d,i,r,a,$,V,SG,2,PRS	u,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,n,i,f,a,#,m,u,n,o,r,a,n,g,a,n,i,f,a,$,V,PL,2,PRS	m,u,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,h,c,r,a,#,t,a,k,a,r,a,n,g,a,h,c,r,a,$,V,PL,1,PST	t,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,c,n,i,a,a,i,r,a,#,u,r,i,k,u,r,c,n,i,a,a,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,&,r,a,n,g,a,r,v,r,a,#,t,i,r,i,k,u,r,a,n,g,a,r,v,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,n,g,a,r,i,r,a
