হ,ও,য,়,া,&,হ,ৃ,য,়,া,#,হ,ৃ,য,়,া,$,COPY	হ,ও,য,়,া
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	হ,চ,্,ছ,ি,ল,ি
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ো,$,V,PRF,3,INFM,PRS	হ,য,়,ে,ছ,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ব,ে,$,V,2,POL,FUT	হ,ব,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,ল,ে,ন,$,V,PRF,3,POL,PST	হ,য,়,ে,ছ,ি,ল,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,া,ম,$,V,HAB,1,PST	হ,ত,া,ম
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	হ,চ,্,ছ,ি,ল,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ব,ে,ন,$,V,3,POL,FUT	হ,ব,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,ে,$,V,NFIN	হ,ত,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ল,ি,$,V,2,PST,LGSPEC1	হ,ল,ি
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ও,$,V,3,INFM,PRS	হ,ও
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ই,$,V,1,PRS	হ,ই
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ব,ি,$,V,2,FUT,LGSPEC1	হ,ব,ি
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ল,া,ম,$,V,1,PST	হ,ল,া,ম
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,$,V,PROG,1,PRS	হ,চ,্,ছ,ি
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	হ,চ,্,ছ,ি,ল,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,ল,া,ম,$,V,PRF,1,PST	হ,য,়,ে,ছ,ি,ল,া,ম
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ল,ে,ন,$,V,3,POL,PST	হ,ল,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ব,ো,$,V,1,FUT	হ,ব,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ে,ন,$,V,PROG,3,POL,PRS	হ,চ,্,ছ,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,ো,$,V,HAB,2,POL,PST	হ,ত,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	হ,চ,্,ছ,ি,ল,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,ল,ো,$,V,PRF,2,POL,PST	হ,য,়,ে,ছ,ি,ল,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ে,$,V,PRF,2,POL,PRS	হ,য,়,ে,ছ,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,স,$,V,PRF,2,PRS,LGSPEC1	হ,য,়,ে,ছ,ি,স
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	হ,চ,্,ছ,ি,স
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,য,়,$,V,2,POL,PRS	হ,য,়
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,$,V,PRF,1,PRS	হ,য,়,ে,ছ,ি
ছ,া,ত,া,&,আ,া,ত,া,#,আ,া,ত,া,$,COPY	ছ,া,ত,া
ছ,া,ত,া,&,গ,া,ত,া,#,গ,া,ত,া,গ,ু,ল,া,$,N,NOM,DEF,PL	ছ,া,ত,া,গ,ু,ল,া
ছ,া,ত,া,&,ৃ,া,ঠ,া,#,ৃ,া,ঠ,া,ট,া,ত,ে,$,N,LOC,DEF,SG	ছ,া,ত,া,ট,া,ত,ে
ছ,া,ত,া,&,ই,া,ত,া,#,ই,া,ত,া,$,N,ACC,NDEF	ছ,া,ত,া
ছ,া,ত,া,&,ছ,া,ী,া,#,ছ,া,ী,া,ট,া,$,N,NOM,DEF,SG	ছ,া,ত,া,ট,া
ছ,া,ত,া,&,ছ,া,ধ,া,#,ছ,া,ধ,া,$,N,NOM,NDEF	ছ,া,ত,া
ছ,া,ত,া,&,ছ,এ,ত,া,#,ছ,এ,ত,া,গ,ু,ল,া,$,N,ACC,DEF,PL	ছ,া,ত,া,গ,ু,ল,া
ছ,া,ত,া,&,ছ,চ,ত,া,#,ছ,চ,ত,া,গ,ু,ল,া,র,$,N,GEN,DEF,PL	ছ,া,ত,া,গ,ু,ল,া,র
ছ,া,ত,া,&,ছ,া,ঢ,া,#,ছ,া,ঢ,া,ট,া,$,N,ACC,DEF,SG	ছ,া,ত,া,ট,া
ছ,া,ত,া,&,ল,া,ত,া,#,ল,া,ত,া,ত,ে,$,N,LOC,NDEF	ছ,া,ত,া,ত,ে
ছ,া,ত,া,&,ছ,া,য,া,#,ছ,া,য,া,গ,ু,ল,া,ত,ে,$,N,LOC,DEF,PL	ছ,া,ত,া,গ,ু,ল,া,ত,ে
ছ,া,ত,া,&,ত,া,ত,া,#,ত,া,ত,া,ট,া,র,$,N,GEN,DEF,SG	ছ,া,ত,া,ট,া,র
ছ,া,ত,া,&,ছ,া,হ,স,#,ছ,া,হ,স,র,$,N,GEN,NDEF	ছ,া,ত,া,র
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,ত,ফ,ষ,্,ো,ঝ,অ,া,#,প,্,র,ত,ফ,ষ,্,ো,ঝ,অ,া,$,COPY	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,়,ি,ষ,্,ঠ,া,ো,া,#,প,্,র,়,ি,ষ,্,ঠ,া,ো,া,$,N,NOM,NDEF	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,ল,র,আ,ি,য,ো,ধ,া,ত,া,#,প,ল,র,আ,ি,য,ো,ধ,া,ত,া,ট,া,$,N,NOM,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,ী,ত,ভ,ষ,্,ঠ,া,ত,া,#,প,্,ী,ত,ভ,ষ,্,ঠ,া,ত,া,র,া,$,N,NOM,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,র,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,ত,ি,ষ,গ,ঠ,া,ত,া,#,প,্,র,ত,ি,ষ,গ,ঠ,া,ত,া,দ,ে,র,ক,ে,$,N,ACC,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,দ,ে,র,ক,ে
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,খ,ি,ষ,্,ঠ,া,ত,া,#,প,্,র,খ,ি,ষ,্,ঠ,া,ত,া,$,N,ACC,NDEF	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,এ,ি,প,্,ঠ,প,ত,া,#,প,্,র,এ,ি,প,্,ঠ,প,ত,া,দ,ে,র,$,N,GEN,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,দ,ে,র
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,ত,ি,ষ,ভ,শ,া,ত,া,#,প,্,র,ত,ি,ষ,ভ,শ,া,ত,া,ট,া,ক,ে,$,N,ACC,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া,ক,ে
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,ত,ি,ি,্,ঠ,া,ত,া,#,প,্,র,ত,ি,ি,্,ঠ,া,ত,া,ট,া,র,$,N,GEN,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া,র
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,&,প,্,র,ত,হ,ঢ,্,ঠ,া,ষ,া,#,প,্,র,ত,হ,ঢ,্,ঠ,া,ষ,া,র,$,N,GEN,NDEF	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,র
চ,ো,ষ,া,&,চ,ো,ষ,ে,#,চ,ো,ষ,ে,$,COPY	চ,ো,ষ,া
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,স,$,V,PRF,2,PRS,LGSPEC1	চ,ু,ষ,ে,ছ,ি,স
চ,ো,ষ,া,&,চ,ো,ঝ,া,#,চ,ো,ঝ,ে,$,V,2,POL,PRS	চ,ো,ষ,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ল,া,ম,$,V,1,PST	চ,ু,ষ,ল,া,ম
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ব,ে,$,V,2,POL,FUT	চ,ু,ষ,ব,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	চ,ু,ষ,ত,ি,স
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	চ,ু,ষ,ছ,ি,স
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	চ,ু,ষ,ছ,ি,ল,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ল,ি,$,V,2,PST,LGSPEC1	চ,ু,ষ,ল,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ে,ন,$,V,PRF,3,POL,PRS	চ,ু,ষ,ে,ছ,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ল,ে,$,V,3,INFM,PST	চ,ু,ষ,ল,ে
চ,ো,ষ,া,&,চ,ৃ,ঁ,া,#,চ,ৃ,ঁ,ে,ন,$,V,3,POL,PRS	চ,ো,ষ,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ত,া,ম,$,V,HAB,1,PST	চ,ু,ষ,ত,া,ম
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ব,ো,$,V,1,FUT	চ,ু,ষ,ব,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,ল,ো,$,V,PRF,2,POL,PST	চ,ু,ষ,ে,ছ,ি,ল,ো
চ,ো,ষ,া,&,চ,া,ষ,া,#,চ,া,ষ,ছ,ে,ন,$,V,PROG,3,POL,PRS	চ,ু,ষ,ছ,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ব,ে,ন,$,V,3,POL,FUT	চ,ু,ষ,ব,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,ল,ি,$,V,PRF,2,PST,LGSPEC1	চ,ু,ষ,ে,ছ,ি,ল,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,ল,ে,ন,$,V,PRF,3,POL,PST	চ,ু,ষ,ে,ছ,ি,ল,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ো,$,V,PROG,3,INFM,PRS	চ,ু,ষ,ছ,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ি,$,V,1,PRS	চ,ু,ষ,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	চ,ু,ষ,ছ,ি,ল,ে,ন
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ি,স,$,V,2,PRS,LGSPEC1	চ,ু,ষ,ি,স
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,$,V,PRF,1,PRS	চ,ু,ষ,ে,ছ,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,$,V,PROG,1,PRS	চ,ু,ষ,ছ,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ত,ে,$,V,HAB,3,INFM,PST	চ,ু,ষ,ত,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,ল,া,ম,$,V,PRF,1,PST	চ,ু,ষ,ে,ছ,ি,ল,া,ম
চ,ো,ষ,া,&,চ,ো,ভ,া,#,চ,ো,ভ,ছ,ে,$,V,PROG,2,POL,PRS	চ,ু,ষ,ছ,ে
চ,ো,ষ,া,&,চ,ড,ষ,া,#,চ,ড,ষ,ত,ে,$,V,NFIN	চ,ু,ষ,ত,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ব,ে,$,V,3,INFM,FUT	চ,ু,ষ,ব,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	চ,ু,ষ,ছ,ি,ল,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ে,$,V,PRF,2,POL,PRS	চ,ু,ষ,ে,ছ,ে
চ,ো,ষ,া,&,চ,ি,ষ,া,#,চ,ি,ষ,ো,$,V,3,INFM,PRS	চ,ো,ষ,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ল,ো,$,V,2,POL,PST	চ,ু,ষ,ল,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ো,$,V,PRF,3,INFM,PRS	চ,ু,ষ,ে,ছ,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ব,ি,$,V,2,FUT,LGSPEC1	চ,ু,ষ,ব,ি
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,ে,ট,ে,ছ,ি,ল,ে,$,V,PRF,3,INFM,PST	চ,ু,ষ,ে,ছ,ি,ল,ে
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	চ,ু,ষ,ছ,ি,ল,ি
চ,ো,ষ,া,&,চ,প,ষ,া,#,চ,প,ষ,ত,ো,$,V,HAB,2,POL,PST	চ,ু,ষ,ত,ো
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ছ,ি,ল,া,ম,$,V,PROG,1,PST	চ,ু,ষ,ছ,ি,ল,া,ম
চ,ো,ষ,া,&,চ,া,ট,া,#,চ,া,ট,ত,ে,ন,$,V,HAB,3,POL,PST	চ,ু,ষ,ত,ে,ন
চ,ো,ষ,া,&,চ,া,ষ,া,#,চ,া,ষ,ল,ে,ন,$,V,3,POL,PST	চ,ু,ষ,ল,ে,ন
র,া,খ,া,&,ঁ,া,খ,া,#,ঁ,া,খ,া,$,COPY	র,া,খ,া
র,া,খ,া,&,র,া,ী,া,#,র,া,ী,ত,ো,$,V,HAB,2,POL,PST	র,া,খ,ত,ো
র,া,খ,া,&,প,ল,খ,া,#,প,ল,খ,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	র,া,খ,ছ,ি,ল,ো
র,া,খ,া,&,শ,া,খ,া,#,শ,া,খ,ল,া,ম,$,V,1,PST	র,া,খ,ল,া,ম
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,ল,ে,ন,$,V,PRF,3,POL,PST	র,ে,খ,ে,ছ,ি,ল,ে,ন
র,া,খ,া,&,ফ,া,এ,া,#,ফ,া,এ,ল,ো,$,V,2,POL,PST	র,া,খ,ল,ো
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ো,$,V,PRF,3,INFM,PRS	র,ে,খ,ে,ছ,ো
র,া,খ,া,&,র,ণ,আ,া,#,র,ণ,আ,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	র,া,খ,ছ,ি,ল,ে
র,া,খ,া,&,র,া,উ,া,#,র,া,উ,ে,$,V,2,POL,PRS	র,া,খ,ে
র,া,খ,া,&,র,ে,খ,া,#,র,ে,খ,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	র,া,খ,ত,ি,স
র,া,খ,া,&,ক,ু,খ,া,#,ক,ু,খ,ে,ন,$,V,3,POL,PRS	র,া,খ,ে,ন
র,া,খ,া,&,ঠ,া,ি,া,#,ঠ,া,ি,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	র,া,খ,ছ,ি,ল,ি
র,া,খ,া,&,স,র,খ,া,#,স,র,খ,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	র,া,খ,ছ,ি,ল,ে,ন
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,ল,ি,$,V,PRF,2,PST,LGSPEC1	র,ে,খ,ে,ছ,ি,ল,ি
র,া,খ,া,&,ড,ি,খ,া,#,ড,ি,খ,ত,ে,$,V,NFIN	র,া,খ,ত,ে
র,া,খ,া,&,প,া,খ,া,#,প,া,খ,ি,স,$,V,2,PRS,LGSPEC1	র,া,খ,ি,স
র,া,খ,া,&,র,া,জ,া,#,র,া,জ,ব,ে,$,V,2,POL,FUT	র,া,খ,ব,ে
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,$,V,PRF,1,PRS	র,ে,খ,ে,ছ,ি
র,া,খ,া,&,র,দ,খ,া,#,র,দ,খ,ত,ে,$,V,HAB,3,INFM,PST	র,া,খ,ত,ে
র,া,খ,া,&,র,জ,খ,া,#,র,জ,খ,ল,ে,ন,$,V,3,POL,PST	র,া,খ,ল,ে,ন
র,া,খ,া,&,র,ো,খ,া,#,র,ো,খ,ল,ি,$,V,2,PST,LGSPEC1	র,া,খ,ল,ি
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,ল,া,ম,$,V,PRF,1,PST	র,ে,খ,ে,ছ,ি,ল,া,ম
র,া,খ,া,&,র,হ,খ,া,#,র,হ,খ,ছ,ি,ল,া,ম,$,V,PROG,1,PST	র,া,খ,ছ,ি,ল,া,ম
র,া,খ,া,&,হ,া,খ,া,#,হ,া,খ,ছ,ি,$,V,PROG,1,PRS	র,া,খ,ছ,ি
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ে,$,V,PRF,2,POL,PRS	র,ে,খ,ে,ছ,ে
র,া,খ,া,&,র,য,খ,া,#,র,য,খ,ব,ে,ন,$,V,3,POL,FUT	র,া,খ,ব,ে,ন
র,া,খ,া,&,ো,া,ষ,া,#,ো,া,ষ,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	র,া,খ,ছ,ি,স
র,া,খ,া,&,র,া,গ,া,#,র,া,গ,ব,ে,$,V,3,INFM,FUT	র,া,খ,ব,ে
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,স,$,V,PRF,2,PRS,LGSPEC1	র,ে,খ,ে,ছ,ি,স
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,ল,ে,$,V,PRF,3,INFM,PST	র,ে,খ,ে,ছ,ি,ল,ে
র,া,খ,া,&,ফ,া,খ,া,#,ফ,া,খ,ত,ে,ন,$,V,HAB,3,POL,PST	র,া,খ,ত,ে,ন
র,া,খ,া,&,র,ত,খ,া,#,র,ত,খ,ল,ে,$,V,3,INFM,PST	র,া,খ,ল,ে
র,া,খ,া,&,়,া,খ,া,#,়,া,খ,ো,$,V,3,INFM,PRS	র,া,খ,ো
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ি,ল,ো,$,V,PRF,2,POL,PST	র,ে,খ,ে,ছ,ি,ল,ো
র,া,খ,া,&,আ,া,খ,া,#,আ,া,খ,ব,ি,$,V,2,FUT,LGSPEC1	র,া,খ,ব,ি
র,া,খ,া,&,ি,া,খ,া,#,ি,া,খ,ি,$,V,1,PRS	র,া,খ,ি
র,া,খ,া,&,র,ঁ,খ,া,#,র,ঁ,খ,ত,া,ম,$,V,HAB,1,PST	র,া,খ,ত,া,ম
র,া,খ,া,&,খ,া,খ,া,#,খ,া,খ,ছ,ো,$,V,PROG,3,INFM,PRS	র,া,খ,ছ,ো
র,া,খ,া,&,র,প,দ,া,#,র,প,দ,ছ,ে,ন,$,V,PROG,3,POL,PRS	র,া,খ,ছ,ে,ন
র,া,খ,া,&,র,ঝ,খ,া,#,র,ঝ,খ,ছ,ে,$,V,PROG,2,POL,PRS	র,া,খ,ছ,ে
র,া,খ,া,&,চ,া,খ,া,#,চ,ে,খ,ে,ছ,ে,ন,$,V,PRF,3,POL,PRS	র,ে,খ,ে,ছ,ে,ন
র,া,খ,া,&,র,ব,খ,া,#,র,ব,খ,ব,ো,$,V,1,FUT	র,া,খ,ব,ো
ছ,ে,ল,ে,&,ষ,ে,ল,ে,#,ষ,ে,ল,ে,$,COPY	ছ,ে,ল,ে
ছ,ে,ল,ে,&,ভ,ে,ল,ে,#,ভ,ে,ল,ে,ট,া,র,$,N,GEN,DEF,SG	ছ,ে,ল,ে,ট,া,র
ছ,ে,ল,ে,&,শ,ে,ল,ভ,#,শ,ে,ল,ভ,র,া,$,N,NOM,DEF,PL	ছ,ে,ল,ে,র,া
ছ,ে,ল,ে,&,ছ,ে,ল,ঝ,#,ছ,ে,ল,ঝ,$,N,ACC,NDEF	ছ,ে,ল,ে
ছ,ে,ল,ে,&,ছ,ে,ৃ,ে,#,ছ,ে,ৃ,ে,$,N,NOM,NDEF	ছ,ে,ল,ে
ছ,ে,ল,ে,&,ে,র,খ,ে,#,ে,র,খ,ে,দ,ে,র,$,N,GEN,DEF,PL	ছ,ে,ল,ে,দ,ে,র
ছ,ে,ল,ে,&,ছ,ে,ল,ড,#,ছ,ে,ল,ড,র,$,N,GEN,NDEF	ছ,ে,ল,ে,র
ছ,ে,ল,ে,&,ছ,ে,দ,ে,#,ছ,ে,দ,ে,দ,ে,র,ক,ে,$,N,ACC,DEF,PL	ছ,ে,ল,ে,দ,ে,র,ক,ে
ছ,ে,ল,ে,&,ছ,ে,আ,ে,#,ছ,ে,আ,ে,ট,া,ক,ে,$,N,ACC,DEF,SG	ছ,ে,ল,ে,ট,া,ক,ে
ছ,ে,ল,ে,&,ল,ো,ল,ে,#,ল,ো,ল,ে,ট,া,$,N,NOM,DEF,SG	ছ,ে,ল,ে,ট,া
ব,ো,ন,&,ট,ো,ড,#,ট,ো,ড,$,COPY	ব,ো,ন
ব,ো,ন,&,ব,জ,ন,#,ব,জ,ন,ট,া,ক,ে,$,N,ACC,DEF,SG	ব,ো,ন,ট,া,ক,ে
ব,ো,ন,&,ব,ক,ি,#,ব,ক,ি,$,N,NOM,NDEF	ব,ো,ন
ব,ো,ন,&,ব,ো,আ,#,ব,ো,আ,ট,া,$,N,NOM,DEF,SG	ব,ো,ন,ট,া
ব,ো,ন,&,ব,চ,ন,#,ব,চ,ন,ে,র,$,N,GEN,NDEF	ব,ো,ন,ে,র
ব,ো,ন,&,়,ো,ন,#,়,ো,ন,$,N,ACC,NDEF	ব,ো,ন
ব,ো,ন,&,ব,ো,ঘ,#,ব,ো,ঘ,দ,ে,র,$,N,GEN,DEF,PL	ব,ো,ন,দ,ে,র
ব,ো,ন,&,ম,ো,ন,#,ম,ো,ন,ে,র,া,$,N,NOM,DEF,PL	ব,ো,ন,ে,র,া
ব,ো,ন,&,ব,ো,ত,#,ব,ো,ত,দ,ে,র,ক,ে,$,N,ACC,DEF,PL	ব,ো,ন,দ,ে,র,ক,ে
ব,ো,ন,&,ব,ো,ক,#,ব,ো,ক,ট,া,র,$,N,GEN,DEF,SG	ব,ো,ন,ট,া,র
ল,ি,ঙ,্,গ,&,ছ,ি,ণ,ঢ,গ,#,ছ,ি,ণ,ঢ,গ,$,COPY	ল,ি,ঙ,্,গ
ল,ি,ঙ,্,গ,&,ল,ি,্,্,গ,#,ল,ি,্,্,গ,গ,ু,ল,া,ত,ে,$,N,LOC,DEF,PL	ল,ি,ঙ,্,গ,গ,ু,ল,া,ত,ে
ল,ি,ঙ,্,গ,&,ন,ি,ে,্,ৃ,#,ন,ি,ে,্,ৃ,ট,া,$,N,ACC,DEF,SG	ল,ি,ঙ,্,গ,ট,া
ল,ি,ঙ,্,গ,&,ল,ি,খ,্,গ,#,ল,ি,খ,্,গ,ট,া,র,$,N,GEN,DEF,SG	ল,ি,ঙ,্,গ,ট,া,র
ল,ি,ঙ,্,গ,&,ল,স,ঙ,্,গ,#,ল,স,ঙ,্,গ,ট,া,ত,ে,$,N,LOC,DEF,SG	ল,ি,ঙ,্,গ,ট,া,ত,ে
