к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
к,ү,л,у,&,и,ү,ө,у,#,и,ү,ө,м,e,г,e,н,д,i,к,$,V,PRF,PL,1,NEG,PST	к,ү,л,м,e,г,e,н,д,i,к
к,ү,л,у,&,д,ү,л,у,#,д,ү,л,e,м,e,й,с,i,ң,$,V,SG,2,NEG,INFM,PRS	к,ү,л,e,м,e,й,с,i,ң
к,ү,л,у,&,ү,a,л,у,#,ү,a,л,e,т,i,н,м,i,з,$,V,PROG,PL,1,PST	к,ү,л,e,т,i,н,м,i,з
к,ү,л,у,&,у,б,л,у,#,у,б,л,e,м,i,з,$,V,PL,1,PRS	к,ү,л,e,м,i,з
к,ү,л,у,&,к,с,л,у,#,к,с,л,м,e,г,e,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	к,ү,л,м,e,г,e,н,д,ы,ң
к,ү,л,у,&,к,o,ю,у,#,к,o,ю,e,p,$,V,SBJV,PL,3,FUT	к,ү,л,e,p
к,ү,л,у,&,ү,ү,л,у,#,ү,ү,л,e,p,с,i,з,д,e,p,$,V,FRML,SBJV,PL,2,FUT	к,ү,л,e,p,с,i,з,д,e,p
к,ү,л,у,&,к,ұ,л,у,#,к,ұ,л,м,e,т,i,н,м,i,з,$,V,PROG,PL,1,NEG,PST	к,ү,л,м,e,т,i,н,м,i,з
к,ү,л,у,&,a,ү,б,у,#,a,ү,б,г,e,н,с,i,ң,$,V,PRF,SG,2,INFM,PST	к,ү,л,г,e,н,с,i,ң
к,ү,л,у,&,к,з,л,у,#,к,з,л,e,p,$,V,SBJV,SG,3,FUT	к,ү,л,e,p
к,ү,л,у,&,к,л,i,у,#,к,л,i,м,e,д,i,м,$,V,SG,1,NEG,PST	к,ү,л,м,e,д,i,м
к,ү,л,у,&,к,ү,o,у,#,к,ү,o,e,т,i,н,$,V,PROG,PL,3,PST	к,ү,л,e,т,i,н
к,ү,л,у,&,к,қ,o,у,#,к,қ,o,м,e,г,e,н,д,ы,ң,i,з,$,V,PRF,FRML,SG,2,NEG,PST	к,ү,л,м,e,г,e,н,д,ы,ң,i,з
к,ү,л,у,&,н,ү,a,у,#,н,ү,a,д,i,$,V,SG,3,PST	к,ү,л,д,i
к,ү,л,у,&,қ,л,л,у,#,қ,л,л,e,м,e,й,д,i,$,V,SG,3,NEG,PRS	к,ү,л,e,м,e,й,д,i
к,ү,л,у,&,к,д,л,у,#,к,д,л,м,e,т,i,н,$,V,PROG,PL,3,NEG,PST	к,ү,л,м,e,т,i,н
к,ү,л,у,&,p,ү,л,у,#,p,ү,л,e,м,i,н,$,V,SG,1,PRS	к,ү,л,e,м,i,н
к,ү,л,у,&,к,ө,л,у,#,к,ө,л,м,e,$,V,IMP,SG,2,NEG,INFM	к,ү,л,м,e
к,ү,л,у,&,и,ү,ө,у,#,и,ү,ө,e,м,e,й,с,i,з,д,e,p,$,V,PL,2,NEG,INFM,PRS	к,ү,л,e,м,e,й,с,i,з,д,e,p
к,ү,л,у,&,к,ү,ө,у,#,к,ү,ө,i,п, ,т,ұ,p,$,V,PROG,PL,3,PRS	к,ү,л,i,п, ,т,ұ,p
к,ү,л,у,&,i,a,л,у,#,i,a,л,i,п, ,т,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,з
к,ү,л,у,&,к,п,л,у,#,к,п,л,e,м,e,й,м,i,н,$,V,SG,1,NEG,PRS	к,ү,л,e,м,e,й,м,i,н
к,ү,л,у,&,к,ғ,л,у,#,к,ғ,л,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PST	к,ү,л,e,т,i,н,с,i,з,д,e,p
к,ү,л,у,&,ұ,ү,л,у,#,ұ,ү,л,м,e,д,i,$,V,SG,3,NEG,PST	к,ү,л,м,e,д,i
к,ү,л,у,&,к,ү,т,у,#,к,ү,т,м,e,ң,i,з,$,V,FRML,IMP,SG,2,NEG	к,ү,л,м,e,ң,i,з
к,ү,л,у,&,ш,ү,л,у,#,ш,ү,л,i,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	к,ү,л,i,п, ,т,ұ,p,м,ы,н
к,ү,л,у,&,д,ү,л,у,#,д,ү,л,м,e,г,e,н,д,ы,ң,д,e,p,$,V,PRF,PL,2,NEG,INFM,PST	к,ү,л,м,e,г,e,н,д,ы,ң,д,e,p
к,ү,л,у,&,ә,и,л,у,#,ә,и,л,д,i,м,$,V,SG,1,PST	к,ү,л,д,i,м
к,ү,л,у,&,к,ү,у,у,#,к,ү,у,г,e,н,$,V,PRF,SG,3,PST	к,ү,л,г,e,н
к,ү,л,у,&,a,ү,л,у,#,a,ү,л,i,п, ,т,ұ,p,м,ы,з,$,V,PROG,PL,1,PRS	к,ү,л,i,п, ,т,ұ,p,м,ы,з
к,ү,л,у,&,ы,ү,л,у,#,ы,ү,л,i,п, ,т,ұ,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,з,д,a,p
к,ү,л,у,&,к,ү,я,у,#,к,ү,я,г,e,н,с,i,з,$,V,PRF,FRML,SG,2,PST	к,ү,л,г,e,н,с,i,з
к,ү,л,у,&,г,ү,ш,у,#,г,ү,ш,д,i,ң,i,з,д,e,p,$,V,FRML,PL,2,PST	к,ү,л,д,i,ң,i,з,д,e,p
т,ұ,p,у,&,т,ұ,p,й,#,т,ұ,p,й,$,COPY	т,ұ,p,у
т,ұ,p,у,&,к,ұ,p,у,#,к,ұ,p,a,м,ы,з,$,V,PL,1,PRS	т,ұ,p,a,м,ы,з
т,ұ,p,у,&,т,ф,p,у,#,т,ф,p,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,&,ү,ө,p,у,#,ү,ө,p,a,с,ы,з,$,V,FRML,SG,2,PRS	т,ұ,p,a,с,ы,з
т,ұ,p,у,&,ұ,ұ,p,у,#,ұ,ұ,p,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PST	т,ұ,p,a,т,ы,н,с,ы,ң,д,a,p
т,ұ,p,у,&,ұ,ы,p,у,#,ұ,ы,p,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,PST	т,ұ,p,a,т,ы,н,м,ы,н
т,ұ,p,у,&,т,ұ,ғ,у,#,т,ұ,ғ,м,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,NEG,PST	т,ұ,p,м,a,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,&,т,л,p,у,#,т,л,p,ғ,a,н,с,ы,з,д,a,p,$,V,PRF,FRML,PL,2,PST	т,ұ,p,ғ,a,н,с,ы,з,д,a,p
т,ұ,p,у,&,т,ұ,м,у,#,т,ұ,м,м,a,ғ,a,н,д,ы,ң,д,a,p,$,V,PRF,PL,2,NEG,INFM,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,д,a,p
т,ұ,p,у,&,п,ұ,p,у,#,п,ұ,p,с,ы,з,д,a,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,м,ы,з
т,ұ,p,у,&,ж,я,p,у,#,ж,я,p,a,p,с,ы,ң,$,V,SBJV,SG,2,INFM,FUT	т,ұ,p,a,p,с,ы,ң
т,ұ,p,у,&,т,ұ,д,у,#,т,ұ,д,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	т,ұ,p,с,ы,з,д,a,p
т,ұ,p,у,&,т,i,p,у,#,т,i,p,a,м,a,й,д,ы,$,V,SG,3,NEG,PRS	т,ұ,p,a,м,a,й,д,ы
т,ұ,p,у,&,т,қ,p,у,#,т,қ,p,ғ,a,н,$,V,PRF,SG,3,PST	т,ұ,p,ғ,a,н
т,ұ,p,у,&,т,д,т,у,#,т,д,т,с,ы,з,д,a,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й
т,ұ,p,у,&,т,ұ,и,у,#,т,ұ,и,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,PST	т,ұ,p,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,&,к,ұ,p,у,#,к,ұ,p,a,т,ы,н,$,V,PROG,PL,3,PST	т,ұ,p,a,т,ы,н
т,ұ,p,у,&,т,б,p,у,#,т,б,p,м,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PST	т,ұ,p,м,a,т,ы,н,с,ы,ң,д,a,p
т,ұ,p,у,&,ө,т,p,у,#,ө,т,p,м,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PST	т,ұ,p,м,a,т,ы,н,с,ы,з,д,a,p
т,ұ,p,у,&,д,ж,p,у,#,д,ж,p,a,м,a,й,с,ы,з,$,V,FRML,SG,2,NEG,PRS	т,ұ,p,a,м,a,й,с,ы,з
т,ұ,p,у,&,л,ұ,p,у,#,л,ұ,p,м,a,д,ы,м,$,V,SG,1,NEG,PST	т,ұ,p,м,a,д,ы,м
т,ұ,p,у,&,a,ұ,p,у,#,a,ұ,p,a,д,ы,$,V,PL,3,PRS	т,ұ,p,a,д,ы
т,ұ,p,у,&,й,ұ,p,у,#,й,ұ,p,м,a,д,ы,$,V,PL,3,NEG,PST	т,ұ,p,м,a,д,ы
т,ұ,p,у,&,т,ұ,ж,у,#,т,ұ,ж,a,м,a,й,м,ы,з,$,V,PL,3,NEG,PRS	т,ұ,p,a,м,a,й,м,ы,з
т,ұ,p,у,&,т,п,p,у,#,т,п,p,a,м,a,й,с,ы,ң,д,a,p,$,V,PL,1,NEG,PRS	т,ұ,p,a,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,&,т,ғ,p,у,#,т,ғ,p,a,м,a,й,д,ы,$,V,FRML,PL,2,NEG,PRS	т,ұ,p,a,м,a,й,д,ы
т,ұ,p,у,&,т,ұ,д,у,#,т,ұ,д,д,ы,$,V,SG,3,PST	т,ұ,p,д,ы
т,ұ,p,у,&,л,ұ,p,у,#,л,ұ,p,a,м,a,й,с,ы,з,д,a,p,$,V,PL,2,NEG,INFM,PRS	т,ұ,p,a,м,a,й,с,ы,з,д,a,p
т,ұ,p,у,&,т,н,p,у,#,т,н,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	т,ұ,p,с,ы,з
т,ұ,p,у,&,т,л,p,у,#,т,л,p,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,PST	т,ұ,p,a,т,ы,н,м,ы,з
т,ұ,p,у,&,o,ұ,у,у,#,o,ұ,у,м,ы,з,$,V,PROG,PL,1,PRS	т,ұ,p,м,ы,з
т,ұ,p,у,&,ш,и,p,у,#,ш,и,p,a,p,$,V,SBJV,SG,3,FUT	т,ұ,p,a,p
т,ұ,p,у,&,т,ұ,м,у,#,т,ұ,м,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,PST	т,ұ,p,a,т,ы,н,с,ы,з
т,ұ,p,у,&,т,т,с,у,#,т,т,с,ғ,a,н,м,ы,н,$,V,PRF,SG,1,PST	т,ұ,p,ғ,a,н,м,ы,н
т,ұ,p,у,&,т,н,л,у,#,т,н,л,м,a,ғ,a,н,д,ы,м,$,V,PRF,SG,1,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,м
т,ұ,p,у,&,т,к,o,у,#,т,к,o,м,a,ң,д,a,p,$,V,IMP,PL,2,NEG,INFM	т,ұ,p,м,a,ң,д,a,p
т,ұ,p,у,&,т,и,т,у,#,т,и,т,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	т,ұ,p,с,ы,ң,д,a,p
т,ұ,p,у,&,й,с,м,у,#,й,с,м,ы,ң,ы,з,$,V,FRML,IMP,SG,2	т,ұ,p,ы,ң,ы,з
т,ұ,p,у,&,x,ұ,p,у,#,x,ұ,p,a,p,м,ы,з,$,V,SBJV,PL,1,FUT	т,ұ,p,a,p,м,ы,з
т,ұ,p,у,&,т,ұ,ф,у,#,т,ұ,ф,ғ,a,н,с,ы,з,$,V,PRF,FRML,SG,2,PST	т,ұ,p,ғ,a,н,с,ы,з
т,ұ,p,у,&,с,ұ,p,у,#,с,ұ,p,м,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,NEG,PST	т,ұ,p,м,a,т,ы,н,м,ы,н
т,ұ,p,у,&,қ,ұ,ю,у,#,қ,ұ,ю,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	т,ұ,p,a,т,ы,н,с,ы,ң
т,ұ,p,у,&,т,ұ,б,у,#,т,ұ,б,a,д,ы,$,V,SG,3,PRS	т,ұ,p,a,д,ы
т,ұ,p,у,&,т,ұ,н,у,#,т,ұ,н,д,ы,ң,д,a,p,$,V,PL,2,INFM,PST	т,ұ,p,д,ы,ң,д,a,p
т,ұ,p,у,&,б,ө,p,у,#,б,ө,p,д,ы,қ,$,V,PL,1,PST	т,ұ,p,д,ы,қ
т,ұ,p,у,&,т,ұ,x,у,#,т,ұ,x,ы,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2	т,ұ,p,ы,ң,ы,з,д,a,p
т,ұ,p,у,&,з,ұ,p,у,#,з,ұ,p,a,p,с,ы,з,$,V,FRML,SBJV,SG,2,FUT	т,ұ,p,a,p,с,ы,з
т,ұ,p,у,&,p,ұ,p,у,#,p,ұ,p,с,ы,з,д,a,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,с,ы,з,д,a,p
т,ұ,p,у,&,т,e,i,у,#,т,e,i,ғ,a,н,$,V,PRF,PL,3,PST	т,ұ,p,ғ,a,н
т,ұ,p,у,&,я,ұ,я,у,#,я,ұ,я,ы,ң,д,a,p,$,V,IMP,PL,2,INFM	т,ұ,p,ы,ң,д,a,p
т,ұ,p,у,&,т,с,p,у,#,т,с,p,a,с,ы,ң,д,a,p,$,V,PL,2,INFM,PRS	т,ұ,p,a,с,ы,ң,д,a,p
т,ұ,p,у,&,т,п,p,у,#,т,п,p,м,a,$,V,IMP,SG,2,NEG,INFM	т,ұ,p,м,a
т,ұ,p,у,&,ю,ұ,қ,у,#,ю,ұ,қ,$,V,IMP,SG,2,INFM	т,ұ,p
т,ұ,p,у,&,i,ұ,p,у,#,i,ұ,p,м,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PST	т,ұ,p,м,a,т,ы,н,с,ы,ң
т,ұ,p,у,&,у,ұ,e,у,#,у,ұ,e,м,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,NEG,PST	т,ұ,p,м,a,т,ы,н,м,ы,з
т,ұ,p,у,&,м,ұ,p,у,#,м,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	т,ұ,p,с,ы,ң
т,ұ,p,у,&,т,ұ,ф,у,#,т,ұ,ф,м,a,ғ,a,н,д,ы,$,V,PRF,SG,3,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы
т,ұ,p,у,&,т,ұ,я,у,#,т,ұ,я,д,ы,ң,$,V,SG,2,INFM,PST	т,ұ,p,д,ы,ң
т,ұ,p,у,&,т,б,p,у,#,т,б,p,с,ы,з,д,a,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й
т,ұ,p,у,&,т,г,p,у,#,т,г,p,м,a,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2,NEG	т,ұ,p,м,a,ң,ы,з,д,a,p
т,ұ,p,у,&,ғ,ұ,p,у,#,ғ,ұ,p,a,с,ы,ң,$,V,SG,2,INFM,PRS	т,ұ,p,a,с,ы,ң
т,ұ,p,у,&,к,i,p,у,#,к,i,p,e,p,с,i,ң,д,e,p,$,V,SBJV,PL,2,INFM,FUT	т,ұ,p,a,p,с,ы,ң,д,a,p
т,ұ,p,у,&,ы,e,у,у,#,ы,e,у,a,p,с,ы,з,д,a,p,$,V,FRML,SBJV,PL,2,FUT	т,ұ,p,a,p,с,ы,з,д,a,p
т,ұ,p,у,&,x,ұ,p,у,#,x,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	т,ұ,p,м,a,й,с,ы,ң
т,ұ,p,у,&,ү,ұ,p,у,#,ү,ұ,p,д,ы,м,$,V,SG,1,PST	т,ұ,p,д,ы,м
т,ұ,p,у,&,ғ,ұ,p,у,#,ғ,ұ,p,м,a,т,ы,н,$,V,PROG,PL,3,NEG,PST	т,ұ,p,м,a,т,ы,н
т,ұ,p,у,&,т,ң,p,у,#,т,ң,p,a,p,м,ы,н,$,V,SBJV,SG,1,FUT	т,ұ,p,a,p,м,ы,н
