l,i,a,&,s,i,a,#,s,i,a,$,COPY	l,i,a
n,g,o,j,a,&,n,g,o,j,m,#,a,n,a,n,g,o,j,m,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,n,g,o,j,a
n,g,o,j,a,&,n,g,m,j,a,#,n,i,h,u,n,g,m,j,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,n,g,o,j,a
n,g,o,j,a,&,n,n,o,j,a,#,u,n,g,e,n,n,o,j,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,n,g,o,j,a
n,g,o,j,a,&,n,g,o,g,a,#,u,n,g,a,l,i,n,g,o,g,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,d,g,o,k,a,#,w,a,n,g,e,d,g,o,k,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,n,g,o,j,a
n,g,o,j,a,&,n,g,z,j,a,#,m,l,i,n,g,z,j,a,$,V,FIN,IND,PL,2,PST	m,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,d,#,m,m,e,n,g,o,j,d,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,n,g,o,j,a
n,g,o,j,a,&,n,r,o,j,a,#,n,i,a,n,r,o,j,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,n,g,o,j,a
n,g,o,j,a,&,c,g,o,j,a,#,m,n,a,c,g,o,j,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,n,g,o,j,a
n,g,o,j,a,&,n,i,o,j,a,#,m,t,a,n,i,o,j,a,$,V,FIN,IND,PL,2,FUT	m,t,a,n,g,o,j,a
n,g,o,j,a,&,n,g,o,s,a,#,u,l,i,n,g,o,s,a,$,V,FIN,IND,SG,2,PST	u,l,i,n,g,o,j,a
n,g,o,j,a,&,n,j,o,j,a,#,m,n,g,a,l,i,n,j,o,j,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,o,#,t,u,n,g,e,n,g,o,j,o,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,n,g,o,j,a
n,g,o,j,a,&,n,i,o,z,a,#,n,i,n,a,n,i,o,z,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,n,g,o,j,a
n,g,o,j,a,&,n,o,o,d,a,#,t,u,m,e,n,o,o,d,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,n,g,o,j,a
n,g,o,j,a,&,n,g,e,j,a,#,n,i,n,g,e,n,g,e,j,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,e,#,u,t,a,n,g,o,j,e,$,V,FIN,IND,SG,2,FUT	u,t,a,n,g,o,j,a
n,g,o,j,a,&,n,g,o,z,a,#,t,u,l,i,n,g,o,z,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,n,g,o,j,a
n,g,o,j,a,&,s,g,o,j,a,#,u,m,e,s,g,o,j,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,n,g,o,j,a
n,g,o,j,a,&,n,j,w,j,a,#,w,a,m,e,n,j,w,j,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,n,g,o,j,a
n,g,o,j,a,&,n,g,n,j,a,#,w,a,a,n,g,n,j,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,n,g,o,j,a
n,g,o,j,a,&,n,i,o,j,a,#,t,u,n,g,a,l,i,n,i,o,j,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,o,c,p,#,m,n,g,e,n,g,o,c,p,$,V,FIN,COND,PL,2,PRS	m,n,g,e,n,g,o,j,a
n,g,o,j,a,&,g,g,o,j,a,#,w,a,t,a,g,g,o,j,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,n,g,o,j,a
n,g,o,j,a,&,n,g,l,j,n,#,u,a,n,g,l,j,n,$,V,INDF,FIN,IND,SG,2,PRS	u,a,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,h,#,t,u,h,u,n,g,o,j,h,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,n,g,o,j,a
n,g,o,j,a,&,n,g,f,i,a,#,u,h,u,n,g,f,i,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,c,#,u,n,a,n,g,o,j,c,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,n,g,o,j,a
n,g,o,j,a,&,n,b,o,r,a,#,k,u,n,b,o,r,a,$,V,FIN	k,u,n,g,o,j,a
n,g,o,j,a,&,n,g,o,l,y,#,m,h,u,n,g,o,l,y,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,d,#,m,a,n,g,o,j,d,$,V,INDF,FIN,IND,PL,2,PRS	m,a,n,g,o,j,a
n,g,o,j,a,&,n,g,f,j,a,#,a,l,i,n,g,f,j,a,$,V,FIN,IND,SG,3,PST	a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,o,a,a,#,a,h,u,n,g,o,a,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,n,g,o,j,a
n,g,o,j,a,&,u,e,o,j,a,#,a,a,u,e,o,j,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,n,g,o,j,a
n,g,o,j,a,&,m,g,a,j,j,#,a,t,a,m,g,a,j,j,$,V,FIN,IND,SG,3,FUT	a,t,a,n,g,o,j,a
n,g,o,j,a,&,n,s,o,j,j,#,w,a,l,i,n,s,o,j,j,$,V,FIN,IND,PL,3,PST	w,a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,o,c,a,#,a,m,e,n,g,o,c,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,n,g,o,j,a
n,g,o,j,a,&,n,g,o,g,a,#,w,a,n,g,a,l,i,n,g,o,g,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,s,g,o,j,a,#,n,i,l,i,s,g,o,j,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,n,g,o,j,a
n,g,o,j,a,&,c,g,o,j,a,#,w,a,h,u,c,g,o,j,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,n,g,o,j,a
n,g,o,j,a,&,t,g,o,j,a,#,n,i,m,e,t,g,o,j,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,n,g,o,j,a
n,g,o,j,a,&,n,g,o,u,a,#,n,i,t,a,n,g,o,u,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,n,g,o,j,a
n,g,o,j,a,&,m,a,o,j,a,#,t,u,t,a,m,a,o,j,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,n,g,o,j,a
n,g,o,j,a,&,n,g,o,r,a,#,a,n,g,e,n,g,o,r,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,n,g,o,j,a
n,g,o,j,a,&,n,g,o,j,l,#,a,n,g,a,l,i,n,g,o,j,l,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,g,n,j,a,#,t,u,a,n,g,n,j,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,n,g,o,j,a
f,i,k,a,&,f,i,y,a,#,f,i,y,a,$,COPY	f,i,k,a
f,i,k,a,&,f,i,k,s,#,t,u,t,a,f,i,k,s,$,V,FIN,IND,PL,1,FUT	t,u,t,a,f,i,k,a
f,i,k,a,&,f,u,k,y,#,u,n,a,f,u,k,y,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,f,i,k,a
f,i,k,a,&,f,i,k,p,#,a,m,e,f,i,k,p,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,f,i,k,a
f,i,k,a,&,f,z,k,a,#,n,i,m,e,f,z,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,f,i,k,a
f,i,k,a,&,f,k,k,a,#,w,a,n,a,f,k,k,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,f,i,k,a
f,i,k,a,&,f,i,j,d,#,m,m,e,f,i,j,d,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,f,i,k,a
f,i,k,a,&,j,i,a,a,#,a,t,a,j,i,a,a,$,V,FIN,IND,SG,3,FUT	a,t,a,f,i,k,a
f,i,k,a,&,f,i,n,a,#,u,m,e,f,i,n,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,f,i,k,a
f,i,k,a,&,f,k,k,a,#,t,u,n,g,e,f,k,k,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,f,i,k,a
f,i,k,a,&,f,i,f,a,#,w,a,n,g,a,l,i,f,i,f,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,f,i,k,a
f,i,k,a,&,f,i,l,w,#,m,n,g,a,l,i,f,i,l,w,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,f,i,k,a
f,i,k,a,&,f,u,k,a,#,m,t,a,f,u,k,a,$,V,FIN,IND,PL,2,FUT	m,t,a,f,i,k,a
f,i,k,a,&,f,t,b,a,#,t,u,n,a,f,t,b,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,f,i,k,a
f,i,k,a,&,f,i,k,o,#,t,u,h,u,f,i,k,o,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,f,i,k,a
f,i,k,a,&,f,i,a,r,#,u,a,f,i,a,r,$,V,INDF,FIN,IND,SG,2,PRS	u,a,f,i,k,a
f,i,k,a,&,f,i,a,a,#,m,n,g,e,f,i,a,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,f,i,k,a
f,i,k,a,&,f,i,z,a,#,n,i,h,u,f,i,z,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,f,i,k,a
f,i,k,a,&,f,i,n,a,#,a,n,g,a,l,i,f,i,n,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,f,i,k,a
f,i,k,a,&,m,r,k,j,#,t,u,l,i,m,r,k,j,$,V,FIN,IND,PL,1,PST	t,u,l,i,f,i,k,a
f,i,k,a,&,a,e,k,a,#,u,n,g,a,l,i,a,e,k,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,f,i,k,a
f,i,k,a,&,f,i,k,l,#,u,l,i,f,i,k,l,$,V,FIN,IND,SG,2,PST	u,l,i,f,i,k,a
f,i,k,a,&,f,i,p,a,#,a,h,u,f,i,p,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,f,i,k,a
f,i,k,a,&,f,i,k,e,#,k,u,f,i,k,e,$,V,FIN	k,u,f,i,k,a
f,i,k,a,&,f,w,k,a,#,w,a,h,u,f,w,k,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,f,i,k,a
f,i,k,a,&,f,i,k,k,#,u,n,g,e,f,i,k,k,$,V,FIN,COND,SG,2,PRS	u,n,g,e,f,i,k,a
f,i,k,a,&,f,i,u,a,#,n,i,l,i,f,i,u,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,f,i,k,a
f,i,k,a,&,g,i,k,a,#,m,a,g,i,k,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,f,i,k,a
f,i,k,a,&,i,i,k,a,#,m,h,u,i,i,k,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,f,i,k,a
f,i,k,a,&,f,e,k,a,#,w,a,l,i,f,e,k,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,f,i,k,a
f,i,k,a,&,f,i,k,e,#,n,i,n,g,e,f,i,k,e,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,f,i,k,a
f,i,k,a,&,d,i,k,j,#,w,a,n,g,e,d,i,k,j,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,f,i,k,a
f,i,k,a,&,f,b,k,y,#,t,u,m,e,f,b,k,y,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,f,i,k,a
f,i,k,a,&,a,i,k,a,#,a,l,i,a,i,k,a,$,V,FIN,IND,SG,3,PST	a,l,i,f,i,k,a
f,i,k,a,&,f,i,k,l,#,m,n,a,f,i,k,l,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,f,i,k,a
f,i,k,a,&,f,i,k,r,#,w,a,m,e,f,i,k,r,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,f,i,k,a
f,i,k,a,&,i,i,k,a,#,n,i,t,a,i,i,k,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,f,i,k,a
f,i,k,a,&,u,i,k,a,#,n,i,a,u,i,k,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,f,i,k,a
f,i,k,a,&,f,z,k,a,#,n,i,n,g,a,l,i,f,z,k,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,f,i,k,a
f,i,k,a,&,f,a,r,a,#,m,l,i,f,a,r,a,$,V,FIN,IND,PL,2,PST	m,l,i,f,i,k,a
f,i,k,a,&,f,i,p,i,#,a,n,a,f,i,p,i,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,f,i,k,a
f,i,k,a,&,d,g,k,w,#,t,u,n,g,a,l,i,d,g,k,w,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,f,i,k,a
f,i,k,a,&,f,i,k,k,#,n,i,n,a,f,i,k,k,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,f,i,k,a
f,i,k,a,&,i,i,k,a,#,a,n,g,e,i,i,k,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,f,i,k,a
f,i,k,a,&,f,o,k,p,#,u,t,a,f,o,k,p,$,V,FIN,IND,SG,2,FUT	u,t,a,f,i,k,a
f,i,k,a,&,f,i,b,n,#,w,a,t,a,f,i,b,n,$,V,FIN,IND,PL,3,FUT	w,a,t,a,f,i,k,a
f,i,k,a,&,f,i,u,a,#,u,h,u,f,i,u,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,f,i,k,a
f,i,k,a,&,f,i,f,a,#,a,a,f,i,f,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,f,i,k,a
f,i,k,a,&,h,i,h,a,#,w,a,a,h,i,h,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,f,i,k,a
f,i,k,a,&,f,e,k,a,#,t,u,a,f,e,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,f,i,k,a
c,h,e,k,a,&,c,f,i,j,a,#,c,f,i,j,a,$,COPY	c,h,e,k,a
c,h,e,k,a,&,g,h,e,k,t,#,m,n,a,g,h,e,k,t,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,c,h,e,k,a
c,h,e,k,a,&,c,p,g,k,a,#,t,u,n,g,a,l,i,c,p,g,k,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,&,c,h,e,i,a,#,m,h,u,c,h,e,i,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,c,h,e,k,a
c,h,e,k,a,&,c,h,e,d,a,#,w,a,n,g,e,c,h,e,d,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,c,h,e,k,a
c,h,e,k,a,&,c,f,l,k,a,#,u,n,a,c,f,l,k,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,c,h,e,k,a
c,h,e,k,a,&,c,h,k,k,a,#,w,a,a,c,h,k,k,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,c,h,e,k,a
c,h,e,k,a,&,c,h,e,k,z,#,u,a,c,h,e,k,z,$,V,INDF,FIN,IND,SG,2,PRS	u,a,c,h,e,k,a
c,h,e,k,a,&,c,h,e,o,u,#,w,a,t,a,c,h,e,o,u,$,V,FIN,IND,PL,3,FUT	w,a,t,a,c,h,e,k,a
c,h,e,k,a,&,g,h,e,k,a,#,w,a,h,u,g,h,e,k,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,c,h,e,k,a
c,h,e,k,a,&,c,h,e,s,a,#,w,a,n,a,c,h,e,s,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,h,e,k,a
c,h,e,k,a,&,c,g,e,k,a,#,u,l,i,c,g,e,k,a,$,V,FIN,IND,SG,2,PST	u,l,i,c,h,e,k,a
c,h,e,k,a,&,c,f,t,k,a,#,t,u,h,u,c,f,t,k,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,c,h,e,k,a
c,h,e,k,a,&,c,h,e,h,h,#,m,l,i,c,h,e,h,h,$,V,FIN,IND,PL,2,PST	m,l,i,c,h,e,k,a
c,h,e,k,a,&,t,h,e,k,b,#,t,u,a,t,h,e,k,b,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,c,h,e,k,a
c,h,e,k,a,&,c,j,e,k,a,#,w,a,n,g,a,l,i,c,j,e,k,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,&,s,h,e,k,a,#,a,h,u,s,h,e,k,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,c,h,e,k,a
c,h,e,k,a,&,c,h,j,k,p,#,t,u,n,g,e,c,h,j,k,p,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,c,h,e,k,a
c,h,e,k,a,&,c,h,e,o,a,#,t,u,m,e,c,h,e,o,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,c,h,e,k,a
c,h,e,k,a,&,c,f,e,k,a,#,n,i,m,e,c,f,e,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,c,h,e,k,a
c,h,e,k,a,&,c,h,e,k,h,#,w,a,l,i,c,h,e,k,h,$,V,FIN,IND,PL,3,PST	w,a,l,i,c,h,e,k,a
c,h,e,k,a,&,c,f,e,k,a,#,n,i,l,i,c,f,e,k,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,c,h,e,k,a
c,h,e,k,a,&,c,c,t,k,a,#,u,n,g,e,c,c,t,k,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,c,h,e,k,a
c,h,e,k,a,&,c,k,e,s,a,#,m,n,g,e,c,k,e,s,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,c,h,e,k,a
c,h,e,k,a,&,c,h,h,k,u,#,t,u,l,i,c,h,h,k,u,$,V,FIN,IND,PL,1,PST	t,u,l,i,c,h,e,k,a
c,h,e,k,a,&,i,h,e,k,a,#,a,m,e,i,h,e,k,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,c,h,e,k,a
c,h,e,k,a,&,s,h,a,k,a,#,a,n,g,e,s,h,a,k,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,c,h,e,k,a
c,h,e,k,a,&,c,h,u,k,a,#,a,n,g,a,l,i,c,h,u,k,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,&,u,h,e,k,a,#,n,i,n,g,e,u,h,e,k,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,c,h,e,k,a
c,h,e,k,a,&,j,h,e,k,a,#,u,n,g,a,l,i,j,h,e,k,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,&,c,s,e,s,a,#,u,m,e,c,s,e,s,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,c,h,e,k,a
c,h,e,k,a,&,c,h,e,f,a,#,a,l,i,c,h,e,f,a,$,V,FIN,IND,SG,3,PST	a,l,i,c,h,e,k,a
c,h,e,k,a,&,u,h,e,k,e,#,m,a,u,h,e,k,e,$,V,INDF,FIN,IND,PL,2,PRS	m,a,c,h,e,k,a
c,h,e,k,a,&,c,k,s,k,a,#,u,t,a,c,k,s,k,a,$,V,FIN,IND,SG,2,FUT	u,t,a,c,h,e,k,a
c,h,e,k,a,&,u,h,e,k,a,#,k,u,u,h,e,k,a,$,V,FIN	k,u,c,h,e,k,a
c,h,e,k,a,&,c,t,k,k,a,#,t,u,t,a,c,t,k,k,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,c,h,e,k,a
c,h,e,k,a,&,r,b,e,k,a,#,a,t,a,r,b,e,k,a,$,V,FIN,IND,SG,3,FUT	a,t,a,c,h,e,k,a
c,h,e,k,a,&,c,d,s,k,a,#,a,a,c,d,s,k,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,c,h,e,k,a
c,h,e,k,a,&,c,p,e,o,a,#,m,m,e,c,p,e,o,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,c,h,e,k,a
