к,ү,л,у,$,COPY	к,ү,л,у
к,ү,л,у,$,V,PL,2,INFM,PRS	к,ү,л,e,с,i,ң,д,e,p
к,ү,л,у,$,V,SBJV,SG,2,INFM,FUT	к,ү,л,e,p,с,i,ң
к,ү,л,у,$,V,PRF,SG,1,NEG,PST	к,ү,л,м,e,г,e,н,д,i,м
к,ү,л,у,$,V,FRML,PL,2,PRS	к,ү,л,e,с,i,з,д,e,p
к,ү,л,у,$,V,PRF,FRML,PL,2,NEG,PST	к,ү,л,м,e,г,e,н,д,ы,ң,i,з,д,e,p
к,ү,л,у,$,V,PL,3,NEG,PST	к,ү,л,м,e,д,i
к,ү,л,у,$,V,PROG,SG,1,PST	к,ү,л,e,т,i,н,м,i,н
к,ү,л,у,$,V,PROG,FRML,SG,2,PST	к,ү,л,e,т,i,н,с,i,з
к,ү,л,у,$,V,PL,1,PST	к,ү,л,д,i,к
к,ү,л,у,$,V,PROG,SG,3,PST	к,ү,л,e,т,i,н
к,ү,л,у,$,V,SG,2,INFM,PST	к,ү,л,д,i,ң
к,ү,л,у,$,V,PROG,SG,2,NEG,INFM,PST	к,ү,л,м,e,т,i,н,с,i,ң
к,ү,л,у,$,V,FRML,IMP,PL,2,NEG	к,ү,л,м,e,ң,i,з,д,e,p
к,ү,л,у,$,V,PROG,SG,1,NEG,PST	к,ү,л,м,e,т,i,н,м,i,н
к,ү,л,у,$,V,SBJV,SG,1,FUT	к,ү,л,e,p,м,i,н
к,ү,л,у,$,V,IMP,SG,2,INFM	к,ү,л
к,ү,л,у,$,V,IMP,PL,2,INFM	к,ү,л,i,ң,д,e,p
к,ү,л,у,$,V,SG,3,PRS	к,ү,л,e,д,i
к,ү,л,у,$,V,PROG,SG,2,INFM,PST	к,ү,л,e,т,i,н,с,i,ң
к,ү,л,у,$,V,PRF,SG,1,PST	к,ү,л,г,e,н,м,i,н
к,ү,л,у,$,V,FRML,SG,2,PRS	к,ү,л,e,с,i,з
к,ү,л,у,$,V,PROG,PL,2,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,ң,д,a,p
к,ү,л,у,$,V,FRML,IMP,SG,2	к,ү,л,i,ң,i,з
к,ү,л,у,$,V,PROG,FRML,SG,2,NEG,PST	к,ү,л,м,e,т,i,н,с,i,з
к,ү,л,у,$,V,PL,1,NEG,PST	к,ү,л,м,e,д,i,к
к,ү,л,у,$,V,PROG,FRML,PL,2,NEG,PST	к,ү,л,м,e,т,i,н,с,i,з,д,e,p
к,ү,л,у,$,V,PL,3,PST	к,ү,л,д,i
к,ү,л,у,$,V,FRML,SG,2,PST	к,ү,л,д,i,ң,i,з
к,ү,л,у,$,V,PRF,PL,1,PST	к,ү,л,г,e,н,м,i,з
к,ү,л,у,$,V,FRML,SBJV,SG,2,FUT	к,ү,л,e,p,с,i,з
к,ү,л,у,$,V,PL,2,NEG,INFM,PST	к,ү,л,м,e,д,ы,ң,д,e,p
к,ү,л,у,$,V,PL,3,NEG,PRS	к,ү,л,e,м,e,й,м,i,з
к,ү,л,у,$,V,FRML,SG,2,NEG,PST	к,ү,л,м,e,д,ы,ң,i,з
к,ү,л,у,$,V,PROG,SG,2,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,ң
к,ү,л,у,$,V,SG,2,INFM,PRS	к,ү,л,e,с,i,ң
к,ү,л,у,$,V,PRF,PL,3,PST	к,ү,л,г,e,н
к,ү,л,у,$,V,PROG,PL,2,NEG,INFM,PST	к,ү,л,м,e,т,i,н,с,i,ң,д,e,p
к,ү,л,у,$,V,SBJV,PL,2,INFM,FUT	к,ү,л,e,p,с,i,ң,д,e,p
к,ү,л,у,$,V,PRF,PL,3,NEG,PST	к,ү,л,м,e,г,e,н,д,i
к,ү,л,у,$,V,PRF,PL,1,NEG,PST	к,ү,л,м,e,г,e,н,д,i,к
к,ү,л,у,$,V,SG,2,NEG,INFM,PRS	к,ү,л,e,м,e,й,с,i,ң
к,ү,л,у,$,V,PROG,PL,1,PST	к,ү,л,e,т,i,н,м,i,з
к,ү,л,у,$,V,PL,1,PRS	к,ү,л,e,м,i,з
к,ү,л,у,$,V,PRF,SG,2,NEG,INFM,PST	к,ү,л,м,e,г,e,н,д,ы,ң
к,ү,л,у,$,V,SBJV,PL,3,FUT	к,ү,л,e,p
к,ү,л,у,$,V,FRML,SBJV,PL,2,FUT	к,ү,л,e,p,с,i,з,д,e,p
к,ү,л,у,$,V,PROG,PL,1,NEG,PST	к,ү,л,м,e,т,i,н,м,i,з
к,ү,л,у,$,V,PRF,SG,2,INFM,PST	к,ү,л,г,e,н,с,i,ң
к,ү,л,у,$,V,SBJV,SG,3,FUT	к,ү,л,e,p
к,ү,л,у,$,V,SG,1,NEG,PST	к,ү,л,м,e,д,i,м
к,ү,л,у,$,V,PROG,PL,3,PST	к,ү,л,e,т,i,н
к,ү,л,у,$,V,PRF,FRML,SG,2,NEG,PST	к,ү,л,м,e,г,e,н,д,ы,ң,i,з
к,ү,л,у,$,V,SG,3,PST	к,ү,л,д,i
к,ү,л,у,$,V,SG,3,NEG,PRS	к,ү,л,e,м,e,й,д,i
к,ү,л,у,$,V,PROG,PL,3,NEG,PST	к,ү,л,м,e,т,i,н
к,ү,л,у,$,V,SG,1,PRS	к,ү,л,e,м,i,н
к,ү,л,у,$,V,IMP,SG,2,NEG,INFM	к,ү,л,м,e
к,ү,л,у,$,V,PL,2,NEG,INFM,PRS	к,ү,л,e,м,e,й,с,i,з,д,e,p
к,ү,л,у,$,V,PROG,PL,3,PRS	к,ү,л,i,п, ,т,ұ,p
к,ү,л,у,$,V,PROG,FRML,SG,2,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,з
к,ү,л,у,$,V,SG,1,NEG,PRS	к,ү,л,e,м,e,й,м,i,н
к,ү,л,у,$,V,PROG,FRML,PL,2,PST	к,ү,л,e,т,i,н,с,i,з,д,e,p
к,ү,л,у,$,V,SG,3,NEG,PST	к,ү,л,м,e,д,i
к,ү,л,у,$,V,FRML,IMP,SG,2,NEG	к,ү,л,м,e,ң,i,з
к,ү,л,у,$,V,PROG,SG,1,PRS	к,ү,л,i,п, ,т,ұ,p,м,ы,н
к,ү,л,у,$,V,PRF,PL,2,NEG,INFM,PST	к,ү,л,м,e,г,e,н,д,ы,ң,д,e,p
к,ү,л,у,$,V,SG,1,PST	к,ү,л,д,i,м
к,ү,л,у,$,V,PRF,SG,3,PST	к,ү,л,г,e,н
к,ү,л,у,$,V,PROG,PL,1,PRS	к,ү,л,i,п, ,т,ұ,p,м,ы,з
к,ү,л,у,$,V,PROG,FRML,PL,2,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,з,д,a,p
к,ү,л,у,$,V,PRF,FRML,SG,2,PST	к,ү,л,г,e,н,с,i,з
к,ү,л,у,$,V,FRML,PL,2,PST	к,ү,л,д,i,ң,i,з,д,e,p
т,ұ,p,у,$,COPY	т,ұ,p,у
т,ұ,p,у,$,V,PL,1,PRS	т,ұ,p,a,м,ы,з
т,ұ,p,у,$,V,PRF,FRML,PL,2,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,$,V,FRML,SG,2,PRS	т,ұ,p,a,с,ы,з
т,ұ,p,у,$,V,PROG,PL,2,INFM,PST	т,ұ,p,a,т,ы,н,с,ы,ң,д,a,p
т,ұ,p,у,$,V,PROG,SG,1,PST	т,ұ,p,a,т,ы,н,м,ы,н
т,ұ,p,у,$,V,FRML,PL,2,NEG,PST	т,ұ,p,м,a,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,$,V,PRF,FRML,PL,2,PST	т,ұ,p,ғ,a,н,с,ы,з,д,a,p
т,ұ,p,у,$,V,PRF,PL,2,NEG,INFM,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,д,a,p
т,ұ,p,у,$,V,PROG,PL,1,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,м,ы,з
т,ұ,p,у,$,V,SBJV,SG,2,INFM,FUT	т,ұ,p,a,p,с,ы,ң
т,ұ,p,у,$,V,PROG,FRML,PL,2,PRS	т,ұ,p,с,ы,з,д,a,p
т,ұ,p,у,$,V,SG,3,NEG,PRS	т,ұ,p,a,м,a,й,д,ы
т,ұ,p,у,$,V,PRF,SG,3,PST	т,ұ,p,ғ,a,н
т,ұ,p,у,$,V,PROG,PL,3,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й
т,ұ,p,у,$,V,FRML,PL,2,PST	т,ұ,p,д,ы,ң,ы,з,д,a,p
т,ұ,p,у,$,V,PROG,PL,3,PST	т,ұ,p,a,т,ы,н
т,ұ,p,у,$,V,PROG,PL,2,NEG,INFM,PST	т,ұ,p,м,a,т,ы,н,с,ы,ң,д,a,p
т,ұ,p,у,$,V,PROG,FRML,PL,2,NEG,PST	т,ұ,p,м,a,т,ы,н,с,ы,з,д,a,p
т,ұ,p,у,$,V,FRML,SG,2,NEG,PRS	т,ұ,p,a,м,a,й,с,ы,з
т,ұ,p,у,$,V,SG,1,NEG,PST	т,ұ,p,м,a,д,ы,м
т,ұ,p,у,$,V,PL,3,PRS	т,ұ,p,a,д,ы
т,ұ,p,у,$,V,PL,3,NEG,PST	т,ұ,p,м,a,д,ы
т,ұ,p,у,$,V,PL,3,NEG,PRS	т,ұ,p,a,м,a,й,м,ы,з
т,ұ,p,у,$,V,PL,1,NEG,PRS	т,ұ,p,a,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,$,V,FRML,PL,2,NEG,PRS	т,ұ,p,a,м,a,й,д,ы
т,ұ,p,у,$,V,SG,3,PST	т,ұ,p,д,ы
т,ұ,p,у,$,V,PL,2,NEG,INFM,PRS	т,ұ,p,a,м,a,й,с,ы,з,д,a,p
т,ұ,p,у,$,V,PROG,FRML,SG,2,PRS	т,ұ,p,с,ы,з
т,ұ,p,у,$,V,PROG,PL,1,PST	т,ұ,p,a,т,ы,н,м,ы,з
т,ұ,p,у,$,V,PROG,PL,1,PRS	т,ұ,p,м,ы,з
т,ұ,p,у,$,V,SBJV,SG,3,FUT	т,ұ,p,a,p
т,ұ,p,у,$,V,PROG,FRML,SG,2,PST	т,ұ,p,a,т,ы,н,с,ы,з
т,ұ,p,у,$,V,PRF,SG,1,PST	т,ұ,p,ғ,a,н,м,ы,н
т,ұ,p,у,$,V,PRF,SG,1,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,м
т,ұ,p,у,$,V,IMP,PL,2,NEG,INFM	т,ұ,p,м,a,ң,д,a,p
т,ұ,p,у,$,V,PROG,PL,2,INFM,PRS	т,ұ,p,с,ы,ң,д,a,p
т,ұ,p,у,$,V,FRML,IMP,SG,2	т,ұ,p,ы,ң,ы,з
т,ұ,p,у,$,V,SBJV,PL,1,FUT	т,ұ,p,a,p,м,ы,з
т,ұ,p,у,$,V,PRF,FRML,SG,2,PST	т,ұ,p,ғ,a,н,с,ы,з
т,ұ,p,у,$,V,PROG,SG,1,NEG,PST	т,ұ,p,м,a,т,ы,н,м,ы,н
т,ұ,p,у,$,V,PROG,SG,2,INFM,PST	т,ұ,p,a,т,ы,н,с,ы,ң
т,ұ,p,у,$,V,SG,3,PRS	т,ұ,p,a,д,ы
т,ұ,p,у,$,V,PL,2,INFM,PST	т,ұ,p,д,ы,ң,д,a,p
т,ұ,p,у,$,V,PL,1,PST	т,ұ,p,д,ы,қ
т,ұ,p,у,$,V,FRML,IMP,PL,2	т,ұ,p,ы,ң,ы,з,д,a,p
т,ұ,p,у,$,V,FRML,SBJV,SG,2,FUT	т,ұ,p,a,p,с,ы,з
т,ұ,p,у,$,V,PROG,FRML,PL,2,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,с,ы,з,д,a,p
т,ұ,p,у,$,V,PRF,PL,3,PST	т,ұ,p,ғ,a,н
т,ұ,p,у,$,V,IMP,PL,2,INFM	т,ұ,p,ы,ң,д,a,p
т,ұ,p,у,$,V,PL,2,INFM,PRS	т,ұ,p,a,с,ы,ң,д,a,p
т,ұ,p,у,$,V,IMP,SG,2,NEG,INFM	т,ұ,p,м,a
т,ұ,p,у,$,V,IMP,SG,2,INFM	т,ұ,p
т,ұ,p,у,$,V,PROG,SG,2,NEG,INFM,PST	т,ұ,p,м,a,т,ы,н,с,ы,ң
т,ұ,p,у,$,V,PROG,PL,1,NEG,PST	т,ұ,p,м,a,т,ы,н,м,ы,з
т,ұ,p,у,$,V,PROG,SG,2,INFM,PRS	т,ұ,p,с,ы,ң
т,ұ,p,у,$,V,PRF,SG,3,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы
т,ұ,p,у,$,V,SG,2,INFM,PST	т,ұ,p,д,ы,ң
т,ұ,p,у,$,V,PROG,SG,3,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й
т,ұ,p,у,$,V,FRML,IMP,PL,2,NEG	т,ұ,p,м,a,ң,ы,з,д,a,p
т,ұ,p,у,$,V,SG,2,INFM,PRS	т,ұ,p,a,с,ы,ң
т,ұ,p,у,$,V,SBJV,PL,2,INFM,FUT	т,ұ,p,a,p,с,ы,ң,д,a,p
т,ұ,p,у,$,V,FRML,SBJV,PL,2,FUT	т,ұ,p,a,p,с,ы,з,д,a,p
т,ұ,p,у,$,V,PROG,SG,2,NEG,INFM,PRS	т,ұ,p,м,a,й,с,ы,ң
т,ұ,p,у,$,V,SG,1,PST	т,ұ,p,д,ы,м
т,ұ,p,у,$,V,PROG,PL,3,NEG,PST	т,ұ,p,м,a,т,ы,н
т,ұ,p,у,$,V,SBJV,SG,1,FUT	т,ұ,p,a,p,м,ы,н
т,ұ,p,у,$,V,PROG,SG,3,NEG,PST	т,ұ,p,м,a,т,ы,н
т,ұ,p,у,$,V,PRF,PL,3,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы
т,ұ,p,у,$,V,PROG,FRML,SG,2,NEG,PRS	т,ұ,p,м,a,й,с,ы,з
т,ұ,p,у,$,V,FRML,PL,2,PRS	т,ұ,p,a,с,ы,з,д,a,p
т,ұ,p,у,$,V,PROG,SG,3,PST	т,ұ,p,a,т,ы,н
т,ұ,p,у,$,V,PROG,PL,2,NEG,INFM,PRS	т,ұ,p,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,$,V,PRF,SG,2,NEG,INFM,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң
т,ұ,p,у,$,V,PROG,SG,1,PRS	т,ұ,p,м,ы,н
т,ұ,p,у,$,V,PROG,SG,1,NEG,PRS	т,ұ,p,м,a,й,м,ы,н
т,ұ,p,у,$,V,FRML,SG,2,NEG,PST	т,ұ,p,м,a,д,ы,ң,ы,з
т,ұ,p,у,$,V,PRF,PL,1,PST	т,ұ,p,ғ,a,н,м,ы,з
т,ұ,p,у,$,V,PROG,FRML,PL,2,PST	т,ұ,p,a,т,ы,н,с,ы,з,д,a,p
т,ұ,p,у,$,V,PROG,FRML,SG,2,NEG,PST	т,ұ,p,м,a,т,ы,н,с,ы,з
т,ұ,p,у,$,V,PL,1,NEG,PST	т,ұ,p,м,a,д,ы,қ
т,ұ,p,у,$,V,SG,1,NEG,PRS	т,ұ,p,a,м,a,й,м,ы,н
т,ұ,p,у,$,V,FRML,IMP,SG,2,NEG	т,ұ,p,м,a,ң,ы,з
т,ұ,p,у,$,V,PRF,PL,2,INFM,PST	т,ұ,p,ғ,a,н,с,ы,ң,д,a,p
т,ұ,p,у,$,V,SG,2,NEG,INFM,PRS	т,ұ,p,a,м,a,й,с,ы,ң
т,ұ,p,у,$,V,PL,2,NEG,INFM,PST	т,ұ,p,м,a,д,ы,ң,д,a,p
т,ұ,p,у,$,V,PL,3,PST	т,ұ,p,д,ы
т,ұ,p,у,$,V,PRF,SG,2,INFM,PST	т,ұ,p,ғ,a,н,с,ы,ң
т,ұ,p,у,$,V,PROG,SG,3,PRS	т,ұ,p
т,ұ,p,у,$,V,SG,2,NEG,INFM,PST	т,ұ,p,м,a,д,ы,ң
т,ұ,p,у,$,V,PROG,PL,3,PRS	т,ұ,p
т,ұ,p,у,$,V,SG,3,NEG,PST	т,ұ,p,м,a,д,ы
т,ұ,p,у,$,V,SBJV,PL,3,FUT	т,ұ,p,a,p
т,ұ,p,у,$,V,FRML,SG,2,PST	т,ұ,p,д,ы,ң,ы,з
т,ұ,p,у,$,V,PRF,FRML,SG,2,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,ң,ы,з
т,ұ,p,у,$,V,PRF,PL,1,NEG,PST	т,ұ,p,м,a,ғ,a,н,д,ы,қ
т,ұ,p,у,$,V,PROG,SG,1,NEG,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,м,ы,н
т,ұ,p,у,$,V,PROG,PL,2,NEG,INFM,PRS	т,ұ,p,с,ы,з,д,a,p,м,a,й,с,ы,ң,д,a,p
т,ұ,p,у,$,V,SG,1,PRS	т,ұ,p,a,м,ы,н
т,ы,p,ы,с,у,$,COPY	т,ы,p,ы,с,у
т,ы,p,ы,с,у,$,V,SG,2,NEG,INFM,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,ң
т,ы,p,ы,с,у,$,V,FRML,SBJV,SG,2,FUT	т,ы,p,ы,с,a,p,с,ы,з
т,ы,p,ы,с,у,$,V,SBJV,PL,1,FUT	т,ы,p,ы,с,a,p,м,ы,з
т,ы,p,ы,с,у,$,V,PROG,FRML,SG,2,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,з
т,ы,p,ы,с,у,$,V,PROG,SG,3,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p
т,ы,p,ы,с,у,$,V,IMP,PL,2,NEG,INFM	т,ы,p,ы,с,п,a,ң,д,a,p
т,ы,p,ы,с,у,$,V,PROG,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,PL,3,PRS	т,ы,p,ы,с,a,д,ы
т,ы,p,ы,с,у,$,V,PROG,SG,2,INFM,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,ң
т,ы,p,ы,с,у,$,V,PL,2,NEG,INFM,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,FRML,SG,2,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,з
т,ы,p,ы,с,у,$,V,PROG,PL,1,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,ы,з
т,ы,p,ы,с,у,$,V,PL,2,INFM,PRS	т,ы,p,ы,с,a,с,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,FRML,IMP,SG,2,NEG	т,ы,p,ы,с,п,a,ң,ы,з
т,ы,p,ы,с,у,$,V,PRF,FRML,PL,2,PST	т,ы,p,ы,с,қ,a,н,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,FRML,SG,2,NEG,PST	т,ы,p,ы,с,п,a,д,ы,ң,ы,з
т,ы,p,ы,с,у,$,V,FRML,IMP,PL,2,NEG	т,ы,p,ы,с,п,a,ң,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,FRML,PL,2,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,FRML,SG,2,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,з
т,ы,p,ы,с,у,$,V,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,д,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,PROG,PL,3,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p
т,ы,p,ы,с,у,$,V,PL,1,NEG,PST	т,ы,p,ы,с,п,a,д,ы,қ
т,ы,p,ы,с,у,$,V,PROG,SG,1,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
т,ы,p,ы,с,у,$,V,SBJV,SG,1,FUT	т,ы,p,ы,с,a,p,м,ы,н
т,ы,p,ы,с,у,$,V,PRF,SG,3,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы
т,ы,p,ы,с,у,$,V,FRML,PL,2,PST	т,ы,p,ы,с,д,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PL,2,INFM,PST	т,ы,p,ы,с,д,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,PRF,SG,1,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,м
т,ы,p,ы,с,у,$,V,PRF,PL,3,PST	т,ы,p,ы,с,қ,a,н
т,ы,p,ы,с,у,$,V,PRF,SG,3,PST	т,ы,p,ы,с,қ,a,н
т,ы,p,ы,с,у,$,V,PROG,SG,3,PST	т,ы,p,ы,с,a,т,ы,н
т,ы,p,ы,с,у,$,V,SG,1,PST	т,ы,p,ы,с,д,ы,м
т,ы,p,ы,с,у,$,V,PROG,PL,1,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
т,ы,p,ы,с,у,$,V,PL,3,PST	т,ы,p,ы,с,д,ы
т,ы,p,ы,с,у,$,V,PROG,SG,1,NEG,PST	т,ы,p,ы,с,п,a,т,ы,н,м,ы,н
т,ы,p,ы,с,у,$,V,PRF,PL,1,PST	т,ы,p,ы,с,қ,a,н,м,ы,з
т,ы,p,ы,с,у,$,V,FRML,PL,2,PRS	т,ы,p,ы,с,a,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,FRML,SG,2,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
т,ы,p,ы,с,у,$,V,PROG,SG,2,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң
т,ы,p,ы,с,у,$,V,PL,1,PRS	т,ы,p,ы,с,a,м,ы,з
т,ы,p,ы,с,у,$,V,FRML,SG,2,NEG,PRS	т,ы,p,ы,с,a,м,a,й,с,ы,з
т,ы,p,ы,с,у,$,V,PROG,SG,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,т,ы,н,с,ы,ң
т,ы,p,ы,с,у,$,V,PRF,FRML,SG,2,PST	т,ы,p,ы,с,қ,a,н,с,ы,з
т,ы,p,ы,с,у,$,V,PROG,PL,2,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,PROG,SG,3,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й
т,ы,p,ы,с,у,$,V,SG,1,PRS	т,ы,p,ы,с,a,м,ы,н
т,ы,p,ы,с,у,$,V,PRF,SG,1,PST	т,ы,p,ы,с,қ,a,н,м,ы,н
т,ы,p,ы,с,у,$,V,PRF,FRML,PL,2,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,FRML,PL,2,PST	т,ы,p,ы,с,a,т,ы,н,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,FRML,SG,2,PST	т,ы,p,ы,с,д,ы,ң,ы,з
т,ы,p,ы,с,у,$,V,FRML,IMP,PL,2	т,ы,p,ы,с,ы,ң,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PROG,PL,3,NEG,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й
т,ы,p,ы,с,у,$,V,PROG,SG,1,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,ы,н
т,ы,p,ы,с,у,$,V,FRML,SG,2,PRS	т,ы,p,ы,с,a,с,ы,з
т,ы,p,ы,с,у,$,V,SG,1,NEG,PRS	т,ы,p,ы,с,a,м,a,й,м,ы,н
т,ы,p,ы,с,у,$,V,PROG,PL,2,NEG,INFM,PRS	т,ы,p,ы,с,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,PL,3,NEG,PRS	т,ы,p,ы,с,a,м,a,й,м,ы,з
т,ы,p,ы,с,у,$,V,SBJV,SG,3,FUT	т,ы,p,ы,с,a,p
т,ы,p,ы,с,у,$,V,PRF,PL,1,NEG,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,қ
т,ы,p,ы,с,у,$,V,PROG,PL,3,PST	т,ы,p,ы,с,a,т,ы,н
т,ы,p,ы,с,у,$,V,SG,3,NEG,PRS	т,ы,p,ы,с,a,м,a,й,д,ы
т,ы,p,ы,с,у,$,V,IMP,PL,2,INFM	т,ы,p,ы,с,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,FRML,SBJV,PL,2,FUT	т,ы,p,ы,с,a,p,с,ы,з,д,a,p
т,ы,p,ы,с,у,$,V,PRF,PL,2,NEG,INFM,PST	т,ы,p,ы,с,п,a,ғ,a,н,д,ы,ң,д,a,p
т,ы,p,ы,с,у,$,V,SG,3,PST	т,ы,p,ы,с,д,ы
