হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	হ,চ,্,ছ,ো
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,NOM,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,NOM,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,র,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,ACC,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,দ,ে,র,ক,ে
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,ACC,NDEF	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,GEN,DEF,PL	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,দ,ে,র
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,ACC,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া,ক,ে
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,GEN,DEF,SG	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,ট,া,র
প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,$,N,GEN,NDEF	প,্,র,ত,ি,ষ,্,ঠ,া,ত,া,র
চ,ো,ষ,া,$,V,PRF,2,PRS,LGSPEC1	চ,ু,ষ,ে,ছ,ি,স
চ,ো,ষ,া,$,V,2,POL,PRS	চ,ো,ষ,ে
চ,ো,ষ,া,$,V,1,PST	চ,ু,ষ,ল,া,ম
চ,ো,ষ,া,$,V,2,POL,FUT	চ,ু,ষ,ব,ে
চ,ো,ষ,া,$,V,HAB,2,PST,LGSPEC1	চ,ু,ষ,ত,ি,স
চ,ো,ষ,া,$,V,PROG,2,PRS,LGSPEC1	চ,ু,ষ,ছ,ি,স
চ,ো,ষ,া,$,V,PROG,3,INFM,PST	চ,ু,ষ,ছ,ি,ল,ে
চ,ো,ষ,া,$,V,2,PST,LGSPEC1	চ,ু,ষ,ল,ি
চ,ো,ষ,া,$,V,PRF,3,POL,PRS	চ,ু,ষ,ে,ছ,ে,ন
চ,ো,ষ,া,$,V,3,INFM,PST	চ,ু,ষ,ল,ে
চ,ো,ষ,া,$,V,3,POL,PRS	চ,ো,ষ,ে,ন
চ,ো,ষ,া,$,V,HAB,1,PST	চ,ু,ষ,ত,া,ম
চ,ো,ষ,া,$,V,1,FUT	চ,ু,ষ,ব,ো
চ,ো,ষ,া,$,V,PRF,2,POL,PST	চ,ু,ষ,ে,ছ,ি,ল,ো
চ,ো,ষ,া,$,V,PROG,3,POL,PRS	চ,ু,ষ,ছ,ে,ন
চ,ো,ষ,া,$,V,3,POL,FUT	চ,ু,ষ,ব,ে,ন
চ,ো,ষ,া,$,V,PRF,2,PST,LGSPEC1	চ,ু,ষ,ে,ছ,ি,ল,ি
চ,ো,ষ,া,$,V,PRF,3,POL,PST	চ,ু,ষ,ে,ছ,ি,ল,ে,ন
চ,ো,ষ,া,$,V,PROG,3,INFM,PRS	চ,ু,ষ,ছ,ো
চ,ো,ষ,া,$,V,1,PRS	চ,ু,ষ,ি
চ,ো,ষ,া,$,V,PROG,3,POL,PST	চ,ু,ষ,ছ,ি,ল,ে,ন
চ,ো,ষ,া,$,V,2,PRS,LGSPEC1	চ,ু,ষ,ি,স
চ,ো,ষ,া,$,V,PRF,1,PRS	চ,ু,ষ,ে,ছ,ি
চ,ো,ষ,া,$,V,PROG,1,PRS	চ,ু,ষ,ছ,ি
চ,ো,ষ,া,$,V,HAB,3,INFM,PST	চ,ু,ষ,ত,ে
চ,ো,ষ,া,$,V,PRF,1,PST	চ,ু,ষ,ে,ছ,ি,ল,া,ম
চ,ো,ষ,া,$,V,PROG,2,POL,PRS	চ,ু,ষ,ছ,ে
চ,ো,ষ,া,$,V,NFIN	চ,ু,ষ,ত,ে
চ,ো,ষ,া,$,V,3,INFM,FUT	চ,ু,ষ,ব,ে
চ,ো,ষ,া,$,V,PROG,2,POL,PST	চ,ু,ষ,ছ,ি,ল,ো
চ,ো,ষ,া,$,V,PRF,2,POL,PRS	চ,ু,ষ,ে,ছ,ে
চ,ো,ষ,া,$,V,3,INFM,PRS	চ,ো,ষ,ো
চ,ো,ষ,া,$,V,2,POL,PST	চ,ু,ষ,ল,ো
চ,ো,ষ,া,$,V,PRF,3,INFM,PRS	চ,ু,ষ,ে,ছ,ো
চ,ো,ষ,া,$,V,2,FUT,LGSPEC1	চ,ু,ষ,ব,ি
চ,ো,ষ,া,$,V,PRF,3,INFM,PST	চ,ু,ষ,ে,ছ,ি,ল,ে
চ,ো,ষ,া,$,V,PROG,2,PST,LGSPEC1	চ,ু,ষ,ছ,ি,ল,ি
চ,ো,ষ,া,$,V,HAB,2,POL,PST	চ,ু,ষ,ত,ো
চ,ো,ষ,া,$,V,PROG,1,PST	চ,ু,ষ,ছ,ি,ল,া,ম
চ,ো,ষ,া,$,V,HAB,3,POL,PST	চ,ু,ষ,ত,ে,ন
চ,ো,ষ,া,$,V,3,POL,PST	চ,ু,ষ,ল,ে,ন
র,া,খ,া,$,V,HAB,2,POL,PST	র,া,খ,ত,ো
র,া,খ,া,$,V,PROG,2,POL,PST	র,া,খ,ছ,ি,ল,ো
র,া,খ,া,$,V,1,PST	র,া,খ,ল,া,ম
র,া,খ,া,$,V,PRF,3,POL,PST	র,ে,খ,ে,ছ,ি,ল,ে,ন
র,া,খ,া,$,V,2,POL,PST	র,া,খ,ল,ো
র,া,খ,া,$,V,PRF,3,INFM,PRS	র,ে,খ,ে,ছ,ো
র,া,খ,া,$,V,PROG,3,INFM,PST	র,া,খ,ছ,ি,ল,ে
র,া,খ,া,$,V,2,POL,PRS	র,া,খ,ে
র,া,খ,া,$,V,HAB,2,PST,LGSPEC1	র,া,খ,ত,ি,স
র,া,খ,া,$,V,3,POL,PRS	র,া,খ,ে,ন
র,া,খ,া,$,V,PROG,2,PST,LGSPEC1	র,া,খ,ছ,ি,ল,ি
র,া,খ,া,$,V,PROG,3,POL,PST	র,া,খ,ছ,ি,ল,ে,ন
র,া,খ,া,$,V,PRF,2,PST,LGSPEC1	র,ে,খ,ে,ছ,ি,ল,ি
র,া,খ,া,$,V,NFIN	র,া,খ,ত,ে
র,া,খ,া,$,V,2,PRS,LGSPEC1	র,া,খ,ি,স
র,া,খ,া,$,V,2,POL,FUT	র,া,খ,ব,ে
র,া,খ,া,$,V,PRF,1,PRS	র,ে,খ,ে,ছ,ি
র,া,খ,া,$,V,HAB,3,INFM,PST	র,া,খ,ত,ে
র,া,খ,া,$,V,3,POL,PST	র,া,খ,ল,ে,ন
র,া,খ,া,$,V,2,PST,LGSPEC1	র,া,খ,ল,ি
র,া,খ,া,$,V,PRF,1,PST	র,ে,খ,ে,ছ,ি,ল,া,ম
র,া,খ,া,$,V,PROG,1,PST	র,া,খ,ছ,ি,ল,া,ম
র,া,খ,া,$,V,PROG,1,PRS	র,া,খ,ছ,ি
র,া,খ,া,$,V,PRF,2,POL,PRS	র,ে,খ,ে,ছ,ে
র,া,খ,া,$,V,3,POL,FUT	র,া,খ,ব,ে,ন
র,া,খ,া,$,V,PROG,2,PRS,LGSPEC1	র,া,খ,ছ,ি,স
র,া,খ,া,$,V,3,INFM,FUT	র,া,খ,ব,ে
র,া,খ,া,$,V,PRF,2,PRS,LGSPEC1	র,ে,খ,ে,ছ,ি,স
র,া,খ,া,$,V,PRF,3,INFM,PST	র,ে,খ,ে,ছ,ি,ল,ে
র,া,খ,া,$,V,HAB,3,POL,PST	র,া,খ,ত,ে,ন
র,া,খ,া,$,V,3,INFM,PST	র,া,খ,ল,ে
র,া,খ,া,$,V,3,INFM,PRS	র,া,খ,ো
র,া,খ,া,$,V,PRF,2,POL,PST	র,ে,খ,ে,ছ,ি,ল,ো
র,া,খ,া,$,V,2,FUT,LGSPEC1	র,া,খ,ব,ি
র,া,খ,া,$,V,1,PRS	র,া,খ,ি
র,া,খ,া,$,V,HAB,1,PST	র,া,খ,ত,া,ম
র,া,খ,া,$,V,PROG,3,INFM,PRS	র,া,খ,ছ,ো
র,া,খ,া,$,V,PROG,3,POL,PRS	র,া,খ,ছ,ে,ন
র,া,খ,া,$,V,PROG,2,POL,PRS	র,া,খ,ছ,ে
র,া,খ,া,$,V,PRF,3,POL,PRS	র,ে,খ,ে,ছ,ে,ন
র,া,খ,া,$,V,1,FUT	র,া,খ,ব,ো
ছ,ে,ল,ে,$,N,GEN,DEF,SG	ছ,ে,ল,ে,ট,া,র
ছ,ে,ল,ে,$,N,NOM,DEF,PL	ছ,ে,ল,ে,র,া
ছ,ে,ল,ে,$,N,ACC,NDEF	ছ,ে,ল,ে
ছ,ে,ল,ে,$,N,NOM,NDEF	ছ,ে,ল,ে
ছ,ে,ল,ে,$,N,GEN,DEF,PL	ছ,ে,ল,ে,দ,ে,র
ছ,ে,ল,ে,$,N,GEN,NDEF	ছ,ে,ল,ে,র
ছ,ে,ল,ে,$,N,ACC,DEF,PL	ছ,ে,ল,ে,দ,ে,র,ক,ে
ছ,ে,ল,ে,$,N,ACC,DEF,SG	ছ,ে,ল,ে,ট,া,ক,ে
ছ,ে,ল,ে,$,N,NOM,DEF,SG	ছ,ে,ল,ে,ট,া
ব,ো,ন,$,N,ACC,DEF,SG	ব,ো,ন,ট,া,ক,ে
ব,ো,ন,$,N,NOM,NDEF	ব,ো,ন
ব,ো,ন,$,N,NOM,DEF,SG	ব,ো,ন,ট,া
ব,ো,ন,$,N,GEN,NDEF	ব,ো,ন,ে,র
ব,ো,ন,$,N,ACC,NDEF	ব,ো,ন
ব,ো,ন,$,N,GEN,DEF,PL	ব,ো,ন,দ,ে,র
ব,ো,ন,$,N,NOM,DEF,PL	ব,ো,ন,ে,র,া
ব,ো,ন,$,N,ACC,DEF,PL	ব,ো,ন,দ,ে,র,ক,ে
ব,ো,ন,$,N,GEN,DEF,SG	ব,ো,ন,ট,া,র
ল,ি,ঙ,্,গ,$,N,LOC,DEF,PL	ল,ি,ঙ,্,গ,গ,ু,ল,া,ত,ে
ল,ি,ঙ,্,গ,$,N,ACC,DEF,SG	ল,ি,ঙ,্,গ,ট,া
ল,ি,ঙ,্,গ,$,N,GEN,DEF,SG	ল,ি,ঙ,্,গ,ট,া,র
ল,ি,ঙ,্,গ,$,N,LOC,DEF,SG	ল,ি,ঙ,্,গ,ট,া,ত,ে
ল,ি,ঙ,্,গ,$,N,NOM,DEF,PL	ল,ি,ঙ,্,গ,গ,ু,ল,া
ল,ি,ঙ,্,গ,$,N,ACC,NDEF	ল,ি,ঙ,্,গ
ল,ি,ঙ,্,গ,$,N,GEN,DEF,PL	ল,ি,ঙ,্,গ,গ,ু,ল,া,র
ল,ি,ঙ,্,গ,$,N,ACC,DEF,PL	ল,ি,ঙ,্,গ,গ,ু,ল,া
ল,ি,ঙ,্,গ,$,N,LOC,NDEF	ল,ি,ঙ,্,গ,ে
ল,ি,ঙ,্,গ,$,N,NOM,NDEF	ল,ি,ঙ,্,গ
ল,ি,ঙ,্,গ,$,N,GEN,NDEF	ল,ি,ঙ,্,গ,ে,র
ল,ি,ঙ,্,গ,$,N,NOM,DEF,SG	ল,ি,ঙ,্,গ,ট,া
গ,া,জ,র,$,N,NOM,DEF,PL	গ,া,জ,র,গ,ু,ল,া
গ,া,জ,র,$,N,LOC,DEF,SG	গ,া,জ,র,ট,া,ত,ে
গ,া,জ,র,$,N,LOC,NDEF	গ,া,জ,র,ে
গ,া,জ,র,$,N,GEN,DEF,SG	গ,া,জ,র,ট,া,র
গ,া,জ,র,$,N,ACC,DEF,SG	গ,া,জ,র,ট,া
গ,া,জ,র,$,N,GEN,NDEF	গ,া,জ,র,ে,র
গ,া,জ,র,$,N,LOC,DEF,PL	গ,া,জ,র,গ,ু,ল,া,ত,ে
গ,া,জ,র,$,N,GEN,DEF,PL	গ,া,জ,র,গ,ু,ল,া,র
গ,া,জ,র,$,N,ACC,DEF,PL	গ,া,জ,র,গ,ু,ল,া
গ,া,জ,র,$,N,NOM,NDEF	গ,া,জ,র
গ,া,জ,র,$,N,NOM,DEF,SG	গ,া,জ,র,ট,া
গ,া,জ,র,$,N,ACC,NDEF	গ,া,জ,র
ত,র,ঙ,্,গ,$,N,GEN,NDEF	ত,র,ঙ,্,গ,ে,র
ত,র,ঙ,্,গ,$,N,LOC,DEF,SG	ত,র,ঙ,্,গ,ট,া,ত,ে
ত,র,ঙ,্,গ,$,N,NOM,NDEF	ত,র,ঙ,্,গ
ত,র,ঙ,্,গ,$,N,ACC,DEF,PL	ত,র,ঙ,্,গ,গ,ু,ল,া
ত,র,ঙ,্,গ,$,N,NOM,DEF,SG	ত,র,ঙ,্,গ,ট,া
ত,র,ঙ,্,গ,$,N,GEN,DEF,PL	ত,র,ঙ,্,গ,গ,ু,ল,া,র
ত,র,ঙ,্,গ,$,N,GEN,DEF,SG	ত,র,ঙ,্,গ,ট,া,র
ত,র,ঙ,্,গ,$,N,NOM,DEF,PL	ত,র,ঙ,্,গ,গ,ু,ল,া
ত,র,ঙ,্,গ,$,N,LOC,DEF,PL	ত,র,ঙ,্,গ,গ,ু,ল,া,ত,ে
ত,র,ঙ,্,গ,$,N,ACC,NDEF	ত,র,ঙ,্,গ
ত,র,ঙ,্,গ,$,N,LOC,NDEF	ত,র,ঙ,্,গ,ে
ত,র,ঙ,্,গ,$,N,ACC,DEF,SG	ত,র,ঙ,্,গ,ট,া
এ,ল,া,ক,া,$,N,GEN,DEF,PL	এ,ল,া,ক,া,গ,ু,ল,া,র
এ,ল,া,ক,া,$,N,GEN,NDEF	এ,ল,া,ক,া,র
এ,ল,া,ক,া,$,N,ACC,DEF,PL	এ,ল,া,ক,া,গ,ু,ল,া
এ,ল,া,ক,া,$,N,NOM,DEF,SG	এ,ল,া,ক,া,ট,া
এ,ল,া,ক,া,$,N,LOC,DEF,PL	এ,ল,া,ক,া,গ,ু,ল,া,ত,ে
এ,ল,া,ক,া,$,N,NOM,NDEF	এ,ল,া,ক,া
এ,ল,া,ক,া,$,N,GEN,DEF,SG	এ,ল,া,ক,া,ট,া,র
এ,ল,া,ক,া,$,N,ACC,DEF,SG	এ,ল,া,ক,া,ট,া
এ,ল,া,ক,া,$,N,LOC,DEF,SG	এ,ল,া,ক,া,ট,া,ত,ে
এ,ল,া,ক,া,$,N,ACC,NDEF	এ,ল,া,ক,া
এ,ল,া,ক,া,$,N,LOC,NDEF	এ,ল,া,ক,া,ত,ে
এ,ল,া,ক,া,$,N,NOM,DEF,PL	এ,ল,া,ক,া,গ,ু,ল,া
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,1,PST	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,ল,া,ম
ভ,া,ল,ো,ব,া,স,া,$,V,2,FUT,LGSPEC1	ভ,া,ল,ো,ব,া,স,ব,ি
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,2,PRS,LGSPEC1	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,স
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,3,INFM,PST	ভ,া,ল,ো,ব,া,স,ছ,ি,ল,ে
ভ,া,ল,ো,ব,া,স,া,$,V,3,POL,PST	ভ,া,ল,ো,ব,া,স,ল,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,HAB,3,INFM,PST	ভ,া,ল,ো,ব,া,স,ত,ে
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,3,INFM,PST	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,ল,ে
ভ,া,ল,ো,ব,া,স,া,$,V,3,INFM,PST	ভ,া,ল,ো,ব,া,স,ল,ে
ভ,া,ল,ো,ব,া,স,া,$,V,HAB,2,PST,LGSPEC1	ভ,া,ল,ো,ব,া,স,ত,ি,স
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,3,POL,PRS	ভ,া,ল,ো,ব,া,স,ছ,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,3,INFM,PRS	ভ,া,ল,ো,ব,া,স,ো
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,3,INFM,PRS	ভ,া,ল,ো,ব,া,স,ছ,ো
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,1,PST	ভ,া,ল,ো,ব,া,স,ছ,ি,ল,া,ম
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,3,POL,PRS	ভ,া,ল,ো,ব,ে,স,ে,ছ,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,2,PST,LGSPEC1	ভ,া,ল,ো,ব,া,স,ল,ি
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,2,PST,LGSPEC1	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,ল,ি
ভ,া,ল,ো,ব,া,স,া,$,V,3,INFM,FUT	ভ,া,ল,ো,ব,া,স,ব,ে
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,2,POL,PST	ভ,া,ল,ো,ব,া,স,ছ,ি,ল,ো
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,3,POL,PST	ভ,া,ল,ো,ব,া,স,ছ,ি,ল,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,3,POL,FUT	ভ,া,ল,ো,ব,া,স,ব,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,NFIN	ভ,া,ল,ো,ব,া,স,ত,ে
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,2,PRS,LGSPEC1	ভ,া,ল,ো,ব,া,স,ছ,ি,স
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,1,PRS	ভ,া,ল,ো,ব,া,স,ছ,ি
ভ,া,ল,ো,ব,া,স,া,$,V,HAB,1,PST	ভ,া,ল,ো,ব,া,স,ত,া,ম
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,2,POL,PRS	ভ,া,ল,ো,ব,া,স,ছ,ে
ভ,া,ল,ো,ব,া,স,া,$,V,3,POL,PRS	ভ,া,ল,ো,ব,া,স,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,HAB,2,POL,PST	ভ,া,ল,ো,ব,া,স,ত,ো
ভ,া,ল,ো,ব,া,স,া,$,V,2,POL,PST	ভ,া,ল,ো,ব,া,স,ল,ো
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,3,INFM,PRS	ভ,া,ল,ো,ব,ে,স,ে,ছ,ো
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,2,POL,PST	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,ল,ো
ভ,া,ল,ো,ব,া,স,া,$,V,2,PRS,LGSPEC1	ভ,া,ল,ো,ব,া,স,ি,স
ভ,া,ল,ো,ব,া,স,া,$,V,2,POL,PRS	ভ,া,ল,ো,ব,া,স,ে
ভ,া,ল,ো,ব,া,স,া,$,V,1,PST	ভ,া,ল,ো,ব,া,স,ল,া,ম
ভ,া,ল,ো,ব,া,স,া,$,V,HAB,3,POL,PST	ভ,া,ল,ো,ব,া,স,ত,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,1,PRS	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,2,POL,PRS	ভ,া,ল,ো,ব,ে,স,ে,ছ,ে
ভ,া,ল,ো,ব,া,স,া,$,V,PRF,3,POL,PST	ভ,া,ল,ো,ব,ে,স,ে,ছ,ি,ল,ে,ন
ভ,া,ল,ো,ব,া,স,া,$,V,1,PRS	ভ,া,ল,ো,ব,া,স,ি
ভ,া,ল,ো,ব,া,স,া,$,V,PROG,2,PST,LGSPEC1	ভ,া,ল,ো,ব,া,স,ছ,ি,ল,ি
ভ,া,ল,ো,ব,া,স,া,$,V,2,POL,FUT	ভ,া,ল,ো,ব,া,স,ব,ে
ভ,া,ল,ো,ব,া,স,া,$,V,1,FUT	ভ,া,ল,ো,ব,া,স,ব,ো
ব,্,য,ক,্,ত,ি,$,N,ACC,DEF,PL	ব,্,য,ক,্,ত,ি,দ,ে,র,ক,ে
ব,্,য,ক,্,ত,ি,$,N,ACC,NDEF	ব,্,য,ক,্,ত,ি
ব,্,য,ক,্,ত,ি,$,N,NOM,NDEF	ব,্,য,ক,্,ত,ি
ব,্,য,ক,্,ত,ি,$,N,GEN,DEF,PL	ব,্,য,ক,্,ত,ি,দ,ে,র
ব,্,য,ক,্,ত,ি,$,N,GEN,DEF,SG	ব,্,য,ক,্,ত,ি,ট,া,র
ব,্,য,ক,্,ত,ি,$,N,NOM,DEF,SG	ব,্,য,ক,্,ত,ি,ট,া
ব,্,য,ক,্,ত,ি,$,N,ACC,DEF,SG	ব,্,য,ক,্,ত,ি,ট,া,ক,ে
ব,্,য,ক,্,ত,ি,$,N,NOM,DEF,PL	ব,্,য,ক,্,ত,ি,র,া
ব,্,য,ক,্,ত,ি,$,N,GEN,NDEF	ব,্,য,ক,্,ত,ি,র
আ,ঁ,ক,া,$,V,3,POL,PST	আ,ঁ,ক,ল,ে,ন
আ,ঁ,ক,া,$,V,HAB,3,INFM,PST	আ,ঁ,ক,ত,ে
আ,ঁ,ক,া,$,V,PRF,1,PRS	এ,ঁ,ক,ে,ছ,ি
আ,ঁ,ক,া,$,V,PROG,2,POL,PST	আ,ঁ,ক,ছ,ি,ল,ো
আ,ঁ,ক,া,$,V,2,FUT,LGSPEC1	আ,ঁ,ক,ব,ি
আ,ঁ,ক,া,$,V,1,PRS	আ,ঁ,ক,ি
আ,ঁ,ক,া,$,V,PROG,3,INFM,PST	আ,ঁ,ক,ছ,ি,ল,ে
আ,ঁ,ক,া,$,V,PRF,3,POL,PST	এ,ঁ,ক,ে,ছ,ি,ল,ে,ন
আ,ঁ,ক,া,$,V,PRF,2,PST,LGSPEC1	এ,ঁ,ক,ে,ছ,ি,ল,ি
আ,ঁ,ক,া,$,V,3,POL,FUT	আ,ঁ,ক,ব,ে,ন
আ,ঁ,ক,া,$,V,HAB,3,POL,PST	আ,ঁ,ক,ত,ে,ন
আ,ঁ,ক,া,$,V,PROG,3,INFM,PRS	আ,ঁ,ক,ছ,ো
আ,ঁ,ক,া,$,V,PRF,3,INFM,PRS	এ,ঁ,ক,ে,ছ,ো
আ,ঁ,ক,া,$,V,PROG,1,PRS	আ,ঁ,ক,ছ,ি
আ,ঁ,ক,া,$,V,2,POL,FUT	আ,ঁ,ক,ব,ে
আ,ঁ,ক,া,$,V,PROG,3,POL,PST	আ,ঁ,ক,ছ,ি,ল,ে,ন
আ,ঁ,ক,া,$,V,PROG,1,PST	আ,ঁ,ক,ছ,ি,ল,া,ম
আ,ঁ,ক,া,$,V,3,INFM,FUT	আ,ঁ,ক,ব,ে
আ,ঁ,ক,া,$,V,PRF,2,POL,PST	এ,ঁ,ক,ে,ছ,ি,ল,ো
আ,ঁ,ক,া,$,V,2,PRS,LGSPEC1	আ,ঁ,ক,ি,স
আ,ঁ,ক,া,$,V,PROG,2,POL,PRS	আ,ঁ,ক,ছ,ে
আ,ঁ,ক,া,$,V,PROG,3,POL,PRS	আ,ঁ,ক,ছ,ে,ন
