l,i,a,$,COPY	l,i,a
n,g,o,j,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,SG,2,FUT	u,t,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,n,g,o,j,a
n,g,o,j,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,n,g,o,j,a
n,g,o,j,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,n,g,o,j,a
n,g,o,j,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,n,g,o,j,a
n,g,o,j,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,n,g,o,j,a
n,g,o,j,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,n,g,o,j,a
n,g,o,j,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,n,g,o,j,a
n,g,o,j,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN	k,u,n,g,o,j,a
n,g,o,j,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,n,g,o,j,a
n,g,o,j,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,SG,3,PST	a,l,i,n,g,o,j,a
n,g,o,j,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,n,g,o,j,a
n,g,o,j,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,SG,3,FUT	a,t,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,n,g,o,j,a
n,g,o,j,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,n,g,o,j,a
n,g,o,j,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,n,g,o,j,a
n,g,o,j,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,n,g,o,j,a
n,g,o,j,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,n,g,o,j,a
f,i,k,a,$,COPY	f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,3,FUT	a,t,a,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,2,FUT	m,t,a,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,2,PST	u,l,i,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,f,i,k,a
f,i,k,a,$,V,FIN	k,u,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,3,PST	a,l,i,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,f,i,k,a
f,i,k,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,2,PST	m,l,i,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,f,i,k,a
f,i,k,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,f,i,k,a
f,i,k,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,f,i,k,a
f,i,k,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,f,i,k,a
f,i,k,a,$,V,FIN,IND,SG,2,FUT	u,t,a,f,i,k,a
f,i,k,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,f,i,k,a
f,i,k,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,f,i,k,a
f,i,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,f,i,k,a
c,h,e,k,a,$,COPY	c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,2,PST	u,l,i,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,2,PST	m,l,i,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,3,PST	a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,2,FUT	u,t,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN	k,u,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,3,FUT	a,t,a,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,c,h,e,k,a
c,h,e,k,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,c,h,e,k,a
c,h,e,k,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,c,h,e,k,a
c,h,e,k,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,c,h,e,k,a
c,h,e,k,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,PL,2,FUT	m,t,a,c,h,e,k,a
c,h,e,k,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,c,h,e,k,a
c,h,e,k,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,c,h,e,k,a
u,w,a,$,COPY	u,w,a
u,w,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,u,w,a
u,w,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,u,w,a
u,w,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,u,w,a
u,w,a,$,V,FIN,IND,SG,2,FUT	u,t,a,u,w,a
u,w,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,u,w,a
u,w,a,$,V,FIN,IND,PL,2,PST	m,l,i,u,w,a
u,w,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,u,w,a
u,w,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,u,w,a
u,w,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,u,w,a
u,w,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,u,w,a
u,w,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,u,w,a
u,w,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,u,w,a
u,w,a,$,V,FIN,IND,SG,2,PST	u,l,i,u,w,a
u,w,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,u,w,a
u,w,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,u,w,a
u,w,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,u,w,a
u,w,a,$,V,FIN,IND,SG,3,FUT	a,t,a,u,w,a
u,w,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,u,w,a
u,w,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,u,w,a
u,w,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,u,w,a
u,w,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,u,w,a
u,w,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,u,w,a
u,w,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,u,w,a
u,w,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,u,w,a
u,w,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,u,w,a
u,w,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,u,w,a
u,w,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,u,w,a
u,w,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,u,w,a
u,w,a,$,V,FIN	k,u,u,w,a
u,w,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,u,w,a
u,w,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,u,w,a
u,w,a,$,V,FIN,IND,PL,2,FUT	m,t,a,u,w,a
u,w,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,u,w,a
u,w,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,u,w,a
u,w,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,u,w,a
u,w,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,u,w,a
u,w,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,u,w,a
u,w,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,u,w,a
u,w,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,u,w,a
u,w,a,$,V,FIN,IND,SG,3,PST	a,l,i,u,w,a
u,w,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,u,w,a
u,w,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,u,w,a
u,w,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,u,w,a
u,w,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,u,w,a
u,w,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,u,w,a
u,w,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,u,w,a
u,w,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,u,w,a
u,w,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,u,w,a
u,w,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,u,w,a
o,n,g,e,a,$,COPY	o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,2,FUT	m,t,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,2,FUT	u,t,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,3,FUT	a,t,a,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,o,n,g,e,a
o,n,g,e,a,$,V,FIN	k,u,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,PL,2,PST	m,l,i,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,o,n,g,e,a
o,n,g,e,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,2,PST	u,l,i,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,o,n,g,e,a
o,n,g,e,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,o,n,g,e,a
o,n,g,e,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,o,n,g,e,a
o,n,g,e,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,o,n,g,e,a
o,n,g,e,a,$,V,FIN,IND,SG,3,PST	a,l,i,o,n,g,e,a
k,a,u,s,h,a,$,COPY	k,a,u,s,h,a
k,a,u,s,h,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,k,a,u,s,h,a
k,a,u,s,h,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,k,a,u,s,h,a
k,a,u,s,h,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,k,a,u,s,h,a
k,a,u,s,h,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,k,a,u,s,h,a
k,a,u,s,h,a,$,V,FIN,IND,PL,2,PST	m,l,i,k,a,u,s,h,a
k,a,u,s,h,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,k,a,u,s,h,a
k,a,u,s,h,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,k,a,u,s,h,a
