n,y,a,a,$,V,PL,1,PST	n,y,a,a,n,e,e
h,a,a,t,$,V,PL,2,PST	h,a,a,t,t,t,a,n,i,i
h,a,a,t,$,V,SG,2,PRS	h,a,a,t,a,a, ,j,i,r,t,a,a
h,a,a,t,$,V,MASC,SG,3,PST	h,a,a,t,t,e,e
h,a,a,t,$,V,SG,1,PRS	h,a,a,t,a,a, ,j,i,r,a,a
h,a,a,t,$,V,FEM,SG,3,PRS	h,a,a,t,a,a, ,j,i,r,t,i,i
h,a,a,t,$,V,PL,2,PRS	h,a,a,t,a,a, ,j,i,r,t,u,u
h,a,a,t,$,V,SG,2,FUT	n,i, ,h,a,a,t,t,t,a,a
h,a,a,t,$,V,PL,3,FUT	n,i, ,h,a,a,t,t,a,n,i,i
h,a,a,t,$,V,PL,3,PRS	h,a,a,t,a,a, ,j,i,r,a,n,i,i
h,a,a,t,$,V,MASC,SG,3,PRS	h,a,a,t,a,a, ,j,i,r,a,a
h,a,a,t,$,V,SG,2,PST	h,a,a,t,t,t,e,e
h,a,a,t,$,V,PL,1,PST	h,a,a,t,n,e,e
h,a,a,t,$,V,MASC,SG,3,FUT	n,i, ,h,a,a,t,t,a,a
h,a,a,t,$,V,PL,3,PST	h,a,a,t,t,a,n,i,i
h,a,a,t,$,V,FEM,SG,3,PST	h,a,a,t,t,t,e,e
h,a,a,t,$,V,PL,2,FUT	n,i, ,h,a,a,t,t,t,u,u
i,l,a,a,l,$,V,PL,1,PST	i,l,a,a,l,n,e,e
i,l,a,a,l,$,V,MASC,SG,3,PST	i,l,a,a,l,t,e,e
i,l,a,a,l,$,V,PL,1,PRS	i,l,a,a,l,a,a, ,j,i,r,a,a
i,l,a,a,l,$,V,MASC,SG,3,FUT	n,i, ,i,l,a,a,l,t,a,a
i,l,a,a,l,$,V,PL,1,FUT	n,i, ,i,l,a,a,l,n,n,a,a
i,l,a,a,l,$,V,SG,2,FUT	n,i, ,i,l,a,a,l,t,t,a,a
i,l,a,a,l,$,V,FEM,SG,3,PRS	i,l,a,a,l,a,a, ,j,i,r,t,i,i
i,l,a,a,l,$,V,SG,2,PRS	i,l,a,a,l,a,a, ,j,i,r,t,a,a
i,l,a,a,l,$,V,NFIN	i,l,a,a,l,u,u
i,l,a,a,l,$,V,SG,1,PRS	i,l,a,a,l,a,a, ,j,i,r,a,a
i,l,a,a,l,$,V,SG,2,PST	i,l,a,a,l,t,t,e,e
i,l,a,a,l,$,V,SG,1,PST	i,l,a,a,l,d,h,e,e
i,l,a,a,l,$,V,PL,3,PST	i,l,a,a,l,t,a,n,i,i
i,l,a,a,l,$,V,MASC,SG,3,PRS	i,l,a,a,l,a,a, ,j,i,r,a,a
i,l,a,a,l,$,V,PL,3,FUT	n,i, ,i,l,a,a,l,t,a,n,i,i
i,l,a,a,l,$,V,FEM,SG,3,FUT	n,i, ,i,l,a,a,l,t,t,i,i
i,l,a,a,l,$,V,PL,2,PRS	i,l,a,a,l,a,a, ,j,i,r,t,u,u
i,l,a,a,l,$,V,PL,2,FUT	n,i, ,i,l,a,a,l,t,t,u,u
i,l,a,a,l,$,V,SG,1,FUT	n,i, ,i,l,a,a,l,d,h,a,a
i,l,a,a,l,$,V,FEM,SG,3,PST	i,l,a,a,l,t,t,e,e
i,l,a,a,l,$,V,PL,2,PST	i,l,a,a,l,t,t,a,n,i,i
i,l,a,a,l,$,V,PL,3,PRS	i,l,a,a,l,a,a, ,j,i,r,a,n,i,i
s,i,r,b,u,$,V,SG,2,PRS	s,i,r,b,u,a,a, ,j,i,r,t,a,a
s,i,r,b,u,$,V,FEM,SG,3,FUT	n,i, ,s,i,r,b,u,t,t,i,i
s,i,r,b,u,$,V,PL,3,FUT	n,i, ,s,i,r,b,u,t,a,n,i,i
s,i,r,b,u,$,V,SG,2,FUT	n,i, ,s,i,r,b,u,t,t,a,a
s,i,r,b,u,$,V,SG,1,FUT	n,i, ,s,i,r,b,u,d,h,a,a
s,i,r,b,u,$,V,FEM,SG,3,PRS	s,i,r,b,u,a,a, ,j,i,r,t,i,i
s,i,r,b,u,$,V,PL,1,FUT	n,i, ,s,i,r,b,u,n,n,a,a
s,i,r,b,u,$,V,MASC,SG,3,PRS	s,i,r,b,u,a,a, ,j,i,r,a,a
s,i,r,b,u,$,V,FEM,SG,3,PST	s,i,r,b,u,t,t,e,e
s,i,r,b,u,$,V,SG,1,PST	s,i,r,b,u,d,h,e,e
s,i,r,b,u,$,V,SG,2,PST	s,i,r,b,u,t,t,e,e
s,i,r,b,u,$,V,NFIN	s,i,r,b,u
s,i,r,b,u,$,V,MASC,SG,3,PST	s,i,r,b,u,t,e,e
s,i,r,b,u,$,V,PL,1,PRS	s,i,r,b,u,a,a, ,j,i,r,a,a
s,i,r,b,u,$,V,PL,2,PST	s,i,r,b,u,t,t,a,n,i,i
s,i,r,b,u,$,V,MASC,SG,3,FUT	n,i, ,s,i,r,b,u,t,a,a
s,i,r,b,u,$,V,PL,3,PRS	s,i,r,b,u,a,a, ,j,i,r,a,n,i,i
s,i,r,b,u,$,V,PL,3,PST	s,i,r,b,u,t,a,n,i,i
s,i,r,b,u,$,V,PL,2,FUT	n,i, ,s,i,r,b,u,t,t,u,u
s,i,r,b,u,$,V,SG,1,PRS	s,i,r,b,u,a,a, ,j,i,r,a,a
s,i,r,b,u,$,V,PL,1,PST	s,i,r,b,u,n,e,e
s,i,r,b,u,$,V,PL,2,PRS	s,i,r,b,u,a,a, ,j,i,r,t,u,u
b,a,r,s,i,i,s,$,V,PL,1,PST	b,a,r,s,i,i,s,n,e,e
b,a,r,s,i,i,s,$,V,PL,3,FUT	n,i, ,b,a,r,s,i,i,s,t,a,n,i,i
b,a,r,s,i,i,s,$,V,MASC,SG,3,FUT	n,i, ,b,a,r,s,i,i,s,t,a,a
b,a,r,s,i,i,s,$,V,PL,1,FUT	n,i, ,b,a,r,s,i,i,s,n,n,a,a
b,a,r,s,i,i,s,$,V,NFIN	b,a,r,s,i,i,s,u,u
b,a,r,s,i,i,s,$,V,FEM,SG,3,FUT	n,i, ,b,a,r,s,i,i,s,t,t,i,i
b,a,r,s,i,i,s,$,V,MASC,SG,3,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,a,a
b,a,r,s,i,i,s,$,V,MASC,SG,3,PST	b,a,r,s,i,i,s,t,e,e
b,a,r,s,i,i,s,$,V,PL,2,PST	b,a,r,s,i,i,s,t,t,a,n,i,i
b,a,r,s,i,i,s,$,V,SG,2,PST	b,a,r,s,i,i,s,t,t,e,e
b,a,r,s,i,i,s,$,V,PL,3,PST	b,a,r,s,i,i,s,t,a,n,i,i
b,a,r,s,i,i,s,$,V,PL,2,FUT	n,i, ,b,a,r,s,i,i,s,t,t,u,u
b,a,r,s,i,i,s,$,V,SG,1,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,a,a
b,a,r,s,i,i,s,$,V,SG,1,FUT	n,i, ,b,a,r,s,i,i,s,d,h,a,a
b,a,r,s,i,i,s,$,V,PL,1,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,a,a
b,a,r,s,i,i,s,$,V,SG,2,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,t,a,a
b,a,r,s,i,i,s,$,V,FEM,SG,3,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,t,i,i
b,a,r,s,i,i,s,$,V,PL,2,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,t,u,u
b,a,r,s,i,i,s,$,V,PL,3,PRS	b,a,r,s,i,i,s,a,a, ,j,i,r,a,n,i,i
b,a,r,s,i,i,s,$,V,FEM,SG,3,PST	b,a,r,s,i,i,s,t,t,e,e
b,a,r,s,i,i,s,$,V,SG,2,FUT	n,i, ,b,a,r,s,i,i,s,t,t,a,a
b,a,r,s,i,i,s,$,V,SG,1,PST	b,a,r,s,i,i,s,d,h,e,e
f,e,d,h,a,$,V,SG,1,PST	f,e,d,h,a,d,h,e,e
f,e,d,h,a,$,V,MASC,SG,3,PRS	f,e,d,h,a,a,a, ,j,i,r,a,a
f,e,d,h,a,$,V,PL,3,PST	f,e,d,h,a,t,a,n,i,i
f,e,d,h,a,$,V,MASC,SG,3,PST	f,e,d,h,a,t,e,e
f,e,d,h,a,$,V,PL,2,PST	f,e,d,h,a,t,t,a,n,i,i
f,e,d,h,a,$,V,SG,2,PST	f,e,d,h,a,t,t,e,e
f,e,d,h,a,$,V,FEM,SG,3,PRS	f,e,d,h,a,a,a, ,j,i,r,t,i,i
f,e,d,h,a,$,V,PL,2,FUT	n,i, ,f,e,d,h,a,t,t,u,u
f,e,d,h,a,$,V,FEM,SG,3,PST	f,e,d,h,a,t,t,e,e
f,e,d,h,a,$,V,PL,2,PRS	f,e,d,h,a,a,a, ,j,i,r,t,u,u
f,e,d,h,a,$,V,MASC,SG,3,FUT	n,i, ,f,e,d,h,a,t,a,a
f,e,d,h,a,$,V,PL,1,PST	f,e,d,h,a,n,e,e
f,e,d,h,a,$,V,PL,1,PRS	f,e,d,h,a,a,a, ,j,i,r,a,a
f,e,d,h,a,$,V,NFIN	f,e,d,h,a
f,e,d,h,a,$,V,FEM,SG,3,FUT	n,i, ,f,e,d,h,a,t,t,i,i
f,e,d,h,a,$,V,SG,2,PRS	f,e,d,h,a,a,a, ,j,i,r,t,a,a
f,e,d,h,a,$,V,PL,3,PRS	f,e,d,h,a,a,a, ,j,i,r,a,n,i,i
f,e,d,h,a,$,V,SG,1,FUT	n,i, ,f,e,d,h,a,d,h,a,a
f,e,d,h,a,$,V,SG,2,FUT	n,i, ,f,e,d,h,a,t,t,a,a
f,e,d,h,a,$,V,PL,3,FUT	n,i, ,f,e,d,h,a,t,a,n,i,i
f,e,d,h,a,$,V,PL,1,FUT	n,i, ,f,e,d,h,a,n,n,a,a
f,e,d,h,a,$,V,SG,1,PRS	f,e,d,h,a,a,a, ,j,i,r,a,a
f,u,u,d,h,$,V,PL,2,PRS	f,u,u,d,h,a,a, ,j,i,r,t,u,u
f,u,u,d,h,$,V,MASC,SG,3,PRS	f,u,u,d,h,a,a, ,j,i,r,a,a
f,u,u,d,h,$,V,NFIN	f,u,u,d,h,u,u
f,u,u,d,h,$,V,FEM,SG,3,PRS	f,u,u,d,h,a,a, ,j,i,r,t,i,i
f,u,u,d,h,$,V,FEM,SG,3,FUT	n,i, ,f,u,u,d,h,t,t,i,i
f,u,u,d,h,$,V,SG,2,PST	f,u,u,d,h,t,t,e,e
f,u,u,d,h,$,V,PL,3,PST	f,u,u,d,h,t,a,n,i,i
f,u,u,d,h,$,V,SG,2,PRS	f,u,u,d,h,a,a, ,j,i,r,t,a,a
f,u,u,d,h,$,V,FEM,SG,3,PST	f,u,u,d,h,t,t,e,e
f,u,u,d,h,$,V,PL,3,FUT	n,i, ,f,u,u,d,h,t,a,n,i,i
f,u,u,d,h,$,V,SG,2,FUT	n,i, ,f,u,u,d,h,t,t,a,a
f,u,u,d,h,$,V,MASC,SG,3,FUT	n,i, ,f,u,u,d,h,t,a,a
f,u,u,d,h,$,V,PL,1,PST	f,u,u,d,h,n,e,e
f,u,u,d,h,$,V,PL,1,PRS	f,u,u,d,h,a,a, ,j,i,r,a,a
f,u,u,d,h,$,V,PL,1,FUT	n,i, ,f,u,u,d,h,n,n,a,a
f,u,u,d,h,$,V,PL,2,FUT	n,i, ,f,u,u,d,h,t,t,u,u
f,u,u,d,h,$,V,PL,3,PRS	f,u,u,d,h,a,a, ,j,i,r,a,n,i,i
f,u,u,d,h,$,V,MASC,SG,3,PST	f,u,u,d,h,t,e,e
f,u,u,d,h,$,V,PL,2,PST	f,u,u,d,h,t,t,a,n,i,i
f,u,u,d,h,$,V,SG,1,PRS	f,u,u,d,h,a,a, ,j,i,r,a,a
f,u,u,d,h,$,V,SG,1,FUT	n,i, ,f,u,u,d,h,d,h,a,a
f,u,u,d,h,$,V,SG,1,PST	f,u,u,d,h,d,h,e,e
g,u,r,g,u,r,$,V,PL,1,FUT	n,i, ,g,u,r,g,u,r,n,n,a,a
g,u,r,g,u,r,$,V,FEM,SG,3,PRS	g,u,r,g,u,r,a,a, ,j,i,r,t,i,i
g,u,r,g,u,r,$,V,SG,1,PRS	g,u,r,g,u,r,a,a, ,j,i,r,a,a
g,u,r,g,u,r,$,V,PL,3,PRS	g,u,r,g,u,r,a,a, ,j,i,r,a,n,i,i
g,u,r,g,u,r,$,V,PL,2,PRS	g,u,r,g,u,r,a,a, ,j,i,r,t,u,u
g,u,r,g,u,r,$,V,FEM,SG,3,FUT	n,i, ,g,u,r,g,u,r,t,t,i,i
g,u,r,g,u,r,$,V,NFIN	g,u,r,g,u,r,u,u
g,u,r,g,u,r,$,V,MASC,SG,3,FUT	n,i, ,g,u,r,g,u,r,t,a,a
g,u,r,g,u,r,$,V,MASC,SG,3,PRS	g,u,r,g,u,r,a,a, ,j,i,r,a,a
g,u,r,g,u,r,$,V,FEM,SG,3,PST	g,u,r,g,u,r,t,t,e,e
g,u,r,g,u,r,$,V,SG,2,PRS	g,u,r,g,u,r,a,a, ,j,i,r,t,a,a
g,u,r,g,u,r,$,V,PL,3,PST	g,u,r,g,u,r,t,a,n,i,i
g,u,r,g,u,r,$,V,SG,2,PST	g,u,r,g,u,r,t,t,e,e
g,u,r,g,u,r,$,V,SG,1,PST	g,u,r,g,u,r,d,h,e,e
g,u,r,g,u,r,$,V,SG,1,FUT	n,i, ,g,u,r,g,u,r,d,h,a,a
g,u,r,g,u,r,$,V,PL,3,FUT	n,i, ,g,u,r,g,u,r,t,a,n,i,i
g,u,r,g,u,r,$,V,PL,2,PST	g,u,r,g,u,r,t,t,a,n,i,i
g,u,r,g,u,r,$,V,PL,2,FUT	n,i, ,g,u,r,g,u,r,t,t,u,u
g,u,r,g,u,r,$,V,PL,1,PRS	g,u,r,g,u,r,a,a, ,j,i,r,a,a
g,u,r,g,u,r,$,V,MASC,SG,3,PST	g,u,r,g,u,r,t,e,e
g,u,r,g,u,r,$,V,SG,2,FUT	n,i, ,g,u,r,g,u,r,t,t,a,a
g,u,r,g,u,r,$,V,PL,1,PST	g,u,r,g,u,r,n,e,e
d,h,a,n,d,h,a,m,$,V,PL,3,PST	d,h,a,n,d,h,a,m,t,a,n,i,i
d,h,a,n,d,h,a,m,$,V,MASC,SG,3,FUT	n,i, ,d,h,a,n,d,h,a,m,t,a,a
d,h,a,n,d,h,a,m,$,V,SG,1,PST	d,h,a,n,d,h,a,m,d,h,e,e
d,h,a,n,d,h,a,m,$,V,NFIN	d,h,a,n,d,h,a,m,u,u
d,h,a,n,d,h,a,m,$,V,SG,1,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,a,a
d,h,a,n,d,h,a,m,$,V,SG,1,FUT	n,i, ,d,h,a,n,d,h,a,m,d,h,a,a
d,h,a,n,d,h,a,m,$,V,MASC,SG,3,PST	d,h,a,n,d,h,a,m,t,e,e
d,h,a,n,d,h,a,m,$,V,PL,3,FUT	n,i, ,d,h,a,n,d,h,a,m,t,a,n,i,i
d,h,a,n,d,h,a,m,$,V,PL,1,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,a,a
d,h,a,n,d,h,a,m,$,V,PL,1,PST	d,h,a,n,d,h,a,m,n,e,e
d,h,a,n,d,h,a,m,$,V,PL,1,FUT	n,i, ,d,h,a,n,d,h,a,m,n,n,a,a
d,h,a,n,d,h,a,m,$,V,FEM,SG,3,FUT	n,i, ,d,h,a,n,d,h,a,m,t,t,i,i
d,h,a,n,d,h,a,m,$,V,FEM,SG,3,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,t,i,i
d,h,a,n,d,h,a,m,$,V,MASC,SG,3,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,a,a
d,h,a,n,d,h,a,m,$,V,FEM,SG,3,PST	d,h,a,n,d,h,a,m,t,t,e,e
d,h,a,n,d,h,a,m,$,V,SG,2,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,t,a,a
d,h,a,n,d,h,a,m,$,V,PL,3,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,a,n,i,i
d,h,a,n,d,h,a,m,$,V,SG,2,FUT	n,i, ,d,h,a,n,d,h,a,m,t,t,a,a
d,h,a,n,d,h,a,m,$,V,PL,2,FUT	n,i, ,d,h,a,n,d,h,a,m,t,t,u,u
d,h,a,n,d,h,a,m,$,V,SG,2,PST	d,h,a,n,d,h,a,m,t,t,e,e
d,h,a,n,d,h,a,m,$,V,PL,2,PRS	d,h,a,n,d,h,a,m,a,a, ,j,i,r,t,u,u
d,h,a,n,d,h,a,m,$,V,PL,2,PST	d,h,a,n,d,h,a,m,t,t,a,n,i,i
a,m,a,n,$,V,SG,2,PST	a,m,a,n,t,t,e,e
a,m,a,n,$,V,PL,1,PST	a,m,a,n,n,e,e
a,m,a,n,$,V,MASC,SG,3,PRS	a,m,a,n,a,a, ,j,i,r,a,a
a,m,a,n,$,V,PL,2,FUT	n,i, ,a,m,a,n,t,t,u,u
a,m,a,n,$,V,FEM,SG,3,FUT	n,i, ,a,m,a,n,t,t,i,i
a,m,a,n,$,V,SG,2,FUT	n,i, ,a,m,a,n,t,t,a,a
a,m,a,n,$,V,NFIN	a,m,a,n,u,u
a,m,a,n,$,V,PL,1,PRS	a,m,a,n,a,a, ,j,i,r,a,a
a,m,a,n,$,V,PL,2,PST	a,m,a,n,t,t,a,n,i,i
a,m,a,n,$,V,FEM,SG,3,PST	a,m,a,n,t,t,e,e
a,m,a,n,$,V,MASC,SG,3,PST	a,m,a,n,t,e,e
a,m,a,n,$,V,PL,1,FUT	n,i, ,a,m,a,n,n,n,a,a
a,m,a,n,$,V,PL,3,FUT	n,i, ,a,m,a,n,t,a,n,i,i
a,m,a,n,$,V,MASC,SG,3,FUT	n,i, ,a,m,a,n,t,a,a
a,m,a,n,$,V,PL,2,PRS	a,m,a,n,a,a, ,j,i,r,t,u,u
a,m,a,n,$,V,SG,1,PRS	a,m,a,n,a,a, ,j,i,r,a,a
a,m,a,n,$,V,SG,2,PRS	a,m,a,n,a,a, ,j,i,r,t,a,a
a,m,a,n,$,V,FEM,SG,3,PRS	a,m,a,n,a,a, ,j,i,r,t,i,i
a,m,a,n,$,V,SG,1,PST	a,m,a,n,d,h,e,e
a,m,a,n,$,V,PL,3,PST	a,m,a,n,t,a,n,i,i
a,m,a,n,$,V,SG,1,FUT	n,i, ,a,m,a,n,d,h,a,a
a,m,a,n,$,V,PL,3,PRS	a,m,a,n,a,a, ,j,i,r,a,n,i,i
j,a,a,l,a,l,a,$,V,SG,2,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,t,a,a
j,a,a,l,a,l,a,$,V,PL,1,PST	j,a,a,l,a,l,a,n,e,e
j,a,a,l,a,l,a,$,V,PL,3,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,a,n,i,i
