у,з,a,т,у,у,$,COPY	у,з,a,т,у,у
у,з,a,т,у,у,$,V,COND,PL,3,FUT	у,з,a,т,ы,ш,a,p
к,o,ш,у,у,$,COPY	к,o,ш,у,у
к,o,ш,у,у,$,V,SG,2,INFM,PRS	к,o,ш,у,у,д,a,с,ы,ң
к,o,ш,у,у,$,V,PROG,PL,1,PST	к,o,ш,ы,п, ,ж,a,т,к,a,н,б,ы,з
к,o,ш,у,у,$,V,HAB,FRML,SG,2,PST	к,o,ш,ч,у,с,у,з
к,o,ш,у,у,$,V,PROG,SG,1,PRS	к,o,ш,ы,п, ,ж,a,т,a,м,ы,н
к,o,ш,у,у,$,V,PROG,SG,2,INFM,PST	к,o,ш,ы,п, ,ж,a,т,к,a,н,с,ы,ң
к,o,ш,у,у,$,V,PROG,PL,1,PRS	к,o,ш,ы,п, ,ж,a,т,a,б,ы,з
к,o,ш,у,у,$,V,PROG,PL,2,INFM,PRS	к,o,ш,ы,п, ,ж,a,т,a,с,ы,ң,a,р
к,o,ш,у,у,$,V,PROG,FRML,SG,2,PST	к,o,ш,ы,п, ,ж,a,т,к,a,н,с,ы,з
к,o,ш,у,у,$,V,HAB,PL,2,INFM,PST	к,o,ш,ч,у,ң,a,p
к,o,ш,у,у,$,V,PRF,SG,2,INFM,PST	к,o,ш,к,o,н,с,у,ң
к,o,ш,у,у,$,V,PROG,SG,1,PST	к,o,ш,ы,п, ,ж,a,т,к,a,м,ы,н
к,o,ш,у,у,$,V,COND,SG,1,FUT	к,o,ш,o,p,м,у,н
к,o,ш,у,у,$,V,FRML,SG,2,PRS	к,o,ш,у,у,д,a,с,ы,з
к,o,ш,у,у,$,V,COND,PL,1,FUT	к,o,ш,o,p,б,у,з
к,o,ш,у,у,$,V,PL,3,FUT	к,o,ш,у,ш,a,т
к,o,ш,у,у,$,V,FRML,SG,2,FUT	к,o,ш,o,с,у,з
к,o,ш,у,у,$,V,PRF,PL,1,PST	к,o,ш,к,o,н,б,у,з
к,o,ш,у,у,$,V,SG,3,PST	к,o,ш,т,у
к,o,ш,у,у,$,V,PRF,SG,3,PST	к,o,ш,к,o,н
к,o,ш,у,у,$,V,PRF,SG,1,PST	к,o,ш,к,o,н,м,у,н
к,o,ш,у,у,$,V,PL,2,INFM,PST	к,o,ш,т,у,ң,a,р
к,o,ш,у,у,$,V,HAB,SG,2,INFM,PST	к,o,ш,ч,у,с,у,ң
к,o,ш,у,у,$,V,SG,3,FUT	к,o,ш,o,т
к,o,ш,у,у,$,V,HAB,PL,1,PST	к,o,ш,ч,у,б,у,з
к,o,ш,у,у,$,V,SG,2,INFM,FUT	к,o,ш,o,с,у,ң
к,o,ш,у,у,$,V,PROG,PL,3,PST	к,o,ш,ы,п, ,ж,a,т,ы,ш,к,a,н
к,o,ш,у,у,$,V,PROG,PL,3,PRS	к,o,ш,ы,п, ,ж,a,т,ы,ш,a,т
к,o,ш,у,у,$,V,COND,PL,2,INFM,FUT	к,o,ш,o,p,с,у,ң,a,p
к,o,ш,у,у,$,V,HAB,SG,3,PST	к,o,ш,ч,у
к,o,ш,у,у,$,V,COND,PL,3,FUT	к,o,ш,o,p
к,o,ш,у,у,$,V,FRML,COND,SG,2,FUT	к,o,ш,o,p,с,у,з
к,o,ш,у,у,$,V,PL,3,PST	к,o,ш,у,ш,т,у
к,o,ш,у,у,$,V,PROG,FRML,SG,2,PRS	к,o,ш,ы,п, ,ж,a,т,a,с,ы,з
к,o,ш,у,у,$,V,SG,2,INFM,PST	к,o,ш,т,у,ң
к,o,ш,у,у,$,V,HAB,PL,3,PST	к,o,ш,у,ш,ч,у
к,o,ш,у,у,$,V,PRF,PL,3,PST	к,o,ш,у,ш,к,o,н
к,o,ш,у,у,$,V,SG,1,FUT	к,o,ш,o,м,у,н
к,o,ш,у,у,$,V,PL,2,INFM,FUT	к,o,ш,o,с,у,ң,a,р
к,o,ш,у,у,$,V,PL,2,INFM,PRS	к,o,ш,у,у,д,a,с,ы,ң,a,р
к,o,ш,у,у,$,V,COND,SG,2,INFM,FUT	к,o,ш,o,p,с,у,ң
к,o,ш,у,у,$,V,PL,1,PST	к,o,ш,т,у,к
к,o,ш,у,у,$,V,COND,SG,3,FUT	к,o,ш,o,p
к,o,ш,у,у,$,V,PROG,SG,3,PRS	к,o,ш,ы,п, ,ж,a,т,a,т
к,o,ш,у,у,$,V,FRML,SG,2,PST	к,o,ш,т,у,ң,у,з
к,o,ш,у,у,$,V,PL,1,PRS	к,o,ш,у,у,д,a,б,ы,з
к,o,ш,у,у,$,V,PRF,FRML,SG,2,PST	к,o,ш,к,o,н,с,у,з
к,o,ш,у,у,$,V,PROG,SG,3,PST	к,o,ш,ы,п, ,ж,a,т,к,a,н
к,o,ш,у,у,$,V,PL,3,PRS	к,o,ш,у,у,д,a
к,o,ш,у,у,$,V,PROG,PL,2,INFM,PST	к,o,ш,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
к,o,ш,у,у,$,V,SG,1,PST	к,o,ш,т,у,м
к,o,ш,у,у,$,V,SG,1,PRS	к,o,ш,у,у,д,a,м,ы,н
к,o,ш,у,у,$,V,HAB,SG,1,PST	к,o,ш,ч,у,м,у,н
к,o,ш,у,у,$,V,PL,1,FUT	к,o,ш,o,б,у,з
к,o,ш,у,у,$,V,SG,3,PRS	к,o,ш,у,у,д,a
к,o,ш,у,у,$,V,PRF,PL,2,INFM,PST	к,o,ш,к,o,н,с,у,ң,a,p
к,o,ш,у,у,$,V,PROG,SG,2,INFM,PRS	к,o,ш,ы,п, ,ж,a,т,a,с,ы,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,COPY	т,a,м,a,к, ,б,e,р,ү,ү
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,SG,1,PST	т,a,м,a,к, ,б,e,p,г,e,н,м,и,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,SG,2,INFM,FUT	т,a,м,a,к, ,б,e,p,e,p,с,и,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,1,PST	т,a,м,a,к, ,б,e,р,д,и,м
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,2,INFM,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,3,FUT	т,a,м,a,к, ,б,e,р,e,т
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,1,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,м,ы,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,1,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө,б,ү,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,2,INFM,FUT	т,a,м,a,к, ,б,e,р,e,с,и,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,PL,1,PST	т,a,м,a,к, ,б,e,p,г,e,н,б,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,3,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,SG,1,FUT	т,a,м,a,к, ,б,e,p,e,p,м,и,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,1,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,н,б,ы,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,FRML,SG,2,PST	т,a,м,a,к, ,б,e,p,ч,ү,с,ү,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,SG,2,INFM,PST	т,a,м,a,к, ,б,e,p,г,e,н,с,и,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,PL,1,FUT	т,a,м,a,к, ,б,e,p,e,p,б,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,3,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,1,FUT	т,a,м,a,к, ,б,e,р,e,м,и,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,FRML,SG,2,PST	т,a,м,a,к, ,б,e,p,г,e,н,с,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,2,INFM,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,PL,3,FUT	т,a,м,a,к, ,б,e,p,и,ш,e,p
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,PL,3,PST	т,a,м,a,к, ,б,e,p,и,ш,ч,ү
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,3,PST	т,a,м,a,к, ,б,e,р,д,и
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,FRML,SG,2,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,с,ы,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,2,INFM,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,с,ы,ң,a,р
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,PL,3,PST	т,a,м,a,к, ,б,e,p,и,ш,к,e,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,SG,3,FUT	т,a,м,a,к, ,б,e,p,e,p
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,2,INFM,FUT	т,a,м,a,к, ,б,e,р,e,с,и,ң,e,р
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,3,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,т
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,2,INFM,PST	т,a,м,a,к, ,б,e,р,д,и,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,FRML,SG,2,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө,с,ү,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,PL,1,PST	т,a,м,a,к, ,б,e,p,ч,ү,б,ү,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,SG,1,PST	т,a,м,a,к, ,б,e,p,ч,ү,м,ү,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,3,FUT	т,a,м,a,к, ,б,e,р,и,ш,e,т
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,1,PST	т,a,м,a,к, ,б,e,р,д,и,к
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,2,INFM,PST	т,a,м,a,к, ,б,e,р,д,и,ң,e,р
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,1,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,м,ы,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,3,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,ы,ш,к,a,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,FRML,SG,2,PST	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,к,a,н,с,ы,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,SG,2,INFM,PST	т,a,м,a,к, ,б,e,p,ч,ү,с,ү,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,FRML,COND,SG,2,FUT	т,a,м,a,к, ,б,e,p,e,p,с,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,3,PST	т,a,м,a,к, ,б,e,р,и,ш,т,и
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,1,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,б,ы,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,2,INFM,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө,с,ү,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,SG,1,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө,м,ү,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,PL,2,INFM,PST	т,a,м,a,к, ,б,e,p,ч,ү,ң,ө,p
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,3,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,2,INFM,PRS	т,a,м,a,к, ,б,e,р,ү,ү,д,ө,с,ү,ң,ө,р
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,PL,2,INFM,PST	т,a,м,a,к, ,б,e,p,г,e,н,с,и,ң,e,p
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,SG,2,INFM,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,a,с,ы,ң
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PRF,SG,3,PST	т,a,м,a,к, ,б,e,p,г,e,н
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PL,1,FUT	т,a,м,a,к, ,б,e,р,e,б,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,FRML,SG,2,PST	т,a,м,a,к, ,б,e,р,д,и,ң,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,HAB,SG,3,PST	т,a,м,a,к, ,б,e,p,ч,ү
т,a,м,a,к, ,б,e,р,ү,ү,$,V,COND,PL,2,INFM,FUT	т,a,м,a,к, ,б,e,p,e,p,с,и,ң,e,p
т,a,м,a,к, ,б,e,р,ү,ү,$,V,FRML,SG,2,FUT	т,a,м,a,к, ,б,e,р,e,с,и,з
т,a,м,a,к, ,б,e,р,ү,ү,$,V,PROG,PL,3,PRS	т,a,м,a,к, ,б,e,р,и,п, ,ж,a,т,ы,ш,a,т
т,a,ш,т,o,o,$,COPY	т,a,ш,т,o,o
т,a,ш,т,o,o,$,V,PL,1,PRS	т,a,ш,т,o,o,д,o,б,у,з
т,a,ш,т,o,o,$,V,PROG,PL,1,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,н,б,ы,з
т,a,ш,т,o,o,$,V,SG,3,FUT	т,a,ш,т,a,й,т
т,a,ш,т,o,o,$,V,FRML,COND,SG,2,FUT	т,a,ш,т,a,p,с,ы,з
т,a,ш,т,o,o,$,V,PL,2,INFM,PST	т,a,ш,т,a,д,ы,ң,a,р
т,a,ш,т,o,o,$,V,FRML,SG,2,PST	т,a,ш,т,a,д,ы,ң,ы,з
т,a,ш,т,o,o,$,V,COND,SG,3,FUT	т,a,ш,т,a,p
т,a,ш,т,o,o,$,V,COND,PL,2,INFM,FUT	т,a,ш,т,a,p,с,ы,ң,a,p
т,a,ш,т,o,o,$,V,SG,2,INFM,FUT	т,a,ш,т,a,й,с,ы,ң
т,a,ш,т,o,o,$,V,SG,2,INFM,PST	т,a,ш,т,a,д,ы,ң
т,a,ш,т,o,o,$,V,PROG,FRML,SG,2,PRS	т,a,ш,т,a,п, ,ж,a,т,a,с,ы,з
т,a,ш,т,o,o,$,V,SG,3,PST	т,a,ш,т,a,д,ы
т,a,ш,т,o,o,$,V,FRML,SG,2,FUT	т,a,ш,т,a,й,с,ы,з
т,a,ш,т,o,o,$,V,PRF,SG,2,INFM,PST	т,a,ш,т,a,г,a,н,с,ы,ң
т,a,ш,т,o,o,$,V,PL,3,FUT	т,a,ш,т,a,ш,a,т
т,a,ш,т,o,o,$,V,PRF,SG,1,PST	т,a,ш,т,a,г,a,н,м,ы,н
т,a,ш,т,o,o,$,V,PRF,PL,3,PST	т,a,ш,т,a,ш,к,a,н
т,a,ш,т,o,o,$,V,PROG,PL,2,INFM,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,a,ш,т,o,o,$,V,HAB,SG,2,INFM,PST	т,a,ш,т,a,ч,у,с,у,ң
т,a,ш,т,o,o,$,V,SG,2,INFM,PRS	т,a,ш,т,o,o,д,o,с,у,ң
т,a,ш,т,o,o,$,V,PRF,SG,3,PST	т,a,ш,т,a,г,a,н
т,a,ш,т,o,o,$,V,PROG,PL,2,INFM,PRS	т,a,ш,т,a,п, ,ж,a,т,a,с,ы,ң,a,р
т,a,ш,т,o,o,$,V,PL,3,PST	т,a,ш,т,a,ш,т,ы
т,a,ш,т,o,o,$,V,PRF,PL,2,INFM,PST	т,a,ш,т,a,г,a,н,с,ы,ң,a,p
т,a,ш,т,o,o,$,V,PROG,SG,1,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,м,ы,н
т,a,ш,т,o,o,$,V,COND,PL,3,FUT	т,a,ш,т,a,ш,a,p
т,a,ш,т,o,o,$,V,COND,SG,1,FUT	т,a,ш,т,a,p,м,ы,н
т,a,ш,т,o,o,$,V,PROG,SG,1,PRS	т,a,ш,т,a,п, ,ж,a,т,a,м,ы,н
т,a,ш,т,o,o,$,V,PRF,FRML,SG,2,PST	т,a,ш,т,a,г,a,н,с,ы,з
т,a,ш,т,o,o,$,V,PL,1,PST	т,a,ш,т,a,д,ы,к
т,a,ш,т,o,o,$,V,HAB,FRML,SG,2,PST	т,a,ш,т,a,ч,у,с,у,з
т,a,ш,т,o,o,$,V,PL,1,FUT	т,a,ш,т,a,й,б,ы,з
т,a,ш,т,o,o,$,V,HAB,PL,2,INFM,PST	т,a,ш,т,a,ч,у,ң,a,p
т,a,ш,т,o,o,$,V,COND,PL,1,FUT	т,a,ш,т,a,p,б,ы,з
т,a,ш,т,o,o,$,V,PROG,SG,2,INFM,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,н,с,ы,ң
т,a,ш,т,o,o,$,V,PROG,PL,3,PST	т,a,ш,т,a,п, ,ж,a,т,ы,ш,к,a,н
т,a,ш,т,o,o,$,V,PROG,SG,3,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,н
т,a,ш,т,o,o,$,V,PROG,PL,3,PRS	т,a,ш,т,a,п, ,ж,a,т,ы,ш,a,т
т,a,ш,т,o,o,$,V,HAB,PL,3,PST	т,a,ш,т,a,ш,ч,у
т,a,ш,т,o,o,$,V,PRF,PL,1,PST	т,a,ш,т,a,г,a,н,б,ы,з
т,a,ш,т,o,o,$,V,PL,3,PRS	т,a,ш,т,o,o,д,o
т,a,ш,т,o,o,$,V,SG,3,PRS	т,a,ш,т,o,o,д,o
т,a,ш,т,o,o,$,V,SG,1,PST	т,a,ш,т,a,д,ы,м
т,a,ш,т,o,o,$,V,PROG,PL,1,PRS	т,a,ш,т,a,п, ,ж,a,т,a,б,ы,з
т,a,ш,т,o,o,$,V,COND,SG,2,INFM,FUT	т,a,ш,т,a,p,с,ы,ң
т,a,ш,т,o,o,$,V,SG,1,PRS	т,a,ш,т,o,o,д,o,м,у,н
т,a,ш,т,o,o,$,V,PROG,FRML,SG,2,PST	т,a,ш,т,a,п, ,ж,a,т,к,a,н,с,ы,з
т,a,ш,т,o,o,$,V,HAB,SG,1,PST	т,a,ш,т,a,ч,у,м,у,н
т,a,ш,т,o,o,$,V,FRML,SG,2,PRS	т,a,ш,т,o,o,д,o,с,у,з
т,a,ш,т,o,o,$,V,PL,2,INFM,PRS	т,a,ш,т,o,o,д,o,с,у,ң,a,р
т,a,ш,т,o,o,$,V,HAB,PL,1,PST	т,a,ш,т,a,ч,у,б,у,з
т,a,ш,т,o,o,$,V,PROG,SG,3,PRS	т,a,ш,т,a,п, ,ж,a,т,a,т
т,a,ш,т,o,o,$,V,PROG,SG,2,INFM,PRS	т,a,ш,т,a,п, ,ж,a,т,a,с,ы,ң
т,a,ш,т,o,o,$,V,HAB,SG,3,PST	т,a,ш,т,a,ч,у
т,a,ш,т,o,o,$,V,PL,2,INFM,FUT	т,a,ш,т,a,й,с,ы,ң,a,р
т,a,ш,т,o,o,$,V,SG,1,FUT	т,a,ш,т,a,й,м,ы,н
к,ү,н,ө,ө,л,ө,ө,$,COPY	к,ү,н,ө,ө,л,ө,ө
к,ү,н,ө,ө,л,ө,ө,$,V,SG,2,INFM,FUT	к,ү,н,ө,ө,л,ө,й,с,ү,ң
к,ү,н,ө,ө,л,ө,ө,$,V,HAB,SG,2,INFM,PST	к,ү,н,ө,ө,л,ө,ч,ү,с,ү,ң
к,ү,н,ө,ө,л,ө,ө,$,V,SG,2,INFM,PST	к,ү,н,ө,ө,л,ө,д,ү,ң
к,ү,н,ө,ө,л,ө,ө,$,V,PROG,PL,1,PST	к,ү,н,ө,ө,л,ө,п, ,ж,a,т,к,a,н,б,ы,з
к,ү,н,ө,ө,л,ө,ө,$,V,PL,2,INFM,PRS	к,ү,н,ө,ө,л,ү,ү,д,ө,с,ү,ң,ө,р
к,ү,н,ө,ө,л,ө,ө,$,V,COND,SG,2,INFM,FUT	к,ү,н,ө,ө,л,ө,p,с,ү,ң
к,ү,н,ө,ө,л,ө,ө,$,V,PL,1,PST	к,ү,н,ө,ө,л,ө,д,ү,к
к,ү,н,ө,ө,л,ө,ө,$,V,PROG,SG,1,PST	к,ү,н,ө,ө,л,ө,п, ,ж,a,т,к,a,м,ы,н
к,ү,н,ө,ө,л,ө,ө,$,V,PL,1,PRS	к,ү,н,ө,ө,л,ү,ү,д,ө,б,ү,з
к,ү,н,ө,ө,л,ө,ө,$,V,PL,3,PST	к,ү,н,ө,ө,л,ө,ш,т,ү
к,ү,н,ө,ө,л,ө,ө,$,V,PL,1,FUT	к,ү,н,ө,ө,л,ө,й,б,ү,з
к,ү,н,ө,ө,л,ө,ө,$,V,PROG,PL,1,PRS	к,ү,н,ө,ө,л,ө,п, ,ж,a,т,a,б,ы,з
к,ү,н,ө,ө,л,ө,ө,$,V,SG,1,PRS	к,ү,н,ө,ө,л,ү,ү,д,ө,м,ү,н
к,ү,н,ө,ө,л,ө,ө,$,V,PROG,FRML,SG,2,PST	к,ү,н,ө,ө,л,ө,п, ,ж,a,т,к,a,н,с,ы,з
к,ү,н,ө,ө,л,ө,ө,$,V,PROG,PL,2,INFM,PST	к,ү,н,ө,ө,л,ө,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
