s,e,k,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
d,o,n,h,a,$,V,PL,1,HOD	t,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,1,FUT	t,i,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,2,PST	m,a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,o,n,h,a
d,o,n,h,a,$,V,PL,1,PRS	t,i,n,o,d,o,n,h,a
d,o,n,h,a,$,V,SG,3,FUT	a,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,2,PRS	u,n,o,d,o,n,h,a
d,o,n,h,a,$,V,SG,1,PST	n,d,a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,o,n,h,a
d,o,n,h,a,$,V,PL,2,HOD	m,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,2,HOD	w,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,o,n,h,a
d,o,n,h,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,o,n,h,a
d,o,n,h,a,$,V,SG,3,HOD	a,d,o,n,h,a
d,o,n,h,a,$,V,SG,3,PST	a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,2,PST	w,a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,3,FUT	v,a,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,2,FUT	u,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,o,n,h,a
d,o,n,h,a,$,V,PL,2,PRS	m,u,n,o,d,o,n,h,a
d,o,n,h,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,o,n,h,a
u,r,a,y,a,$,V,SG,1,HOD	n,d,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,2,PRS	u,n,o,u,r,a,y,a
u,r,a,y,a,$,V,PL,3,FUT	v,a,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,1,FUT	t,i,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,1,HOD	t,a,u,r,a,y,a
u,r,a,y,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,PL,2,FUT	m,u,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,1,FUT	n,d,i,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,SG,3,HOD	a,u,r,a,y,a
u,r,a,y,a,$,V,SG,3,PST	a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,3,FUT	a,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,2,PRS	m,u,n,o,u,r,a,y,a
u,r,a,y,a,$,V,SG,1,PST	n,d,a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,2,PST	m,a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,SG,2,PST	w,a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,2,HOD	w,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,2,FUT	u,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,3,HOD	v,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,3,PRS	v,a,n,o,u,r,a,y,a
u,r,a,y,a,$,V,PL,3,PST	v,a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,SG,3,PRS	a,n,o,u,r,a,y,a
u,r,a,y,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,PL,2,HOD	m,a,u,r,a,y,a
u,r,a,y,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,u,r,a,y,a
u,r,a,y,a,$,V,PL,1,PST	t,a,k,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,1,PRS	t,i,n,o,u,r,a,y,a
u,r,a,y,a,$,V,SG,1,PRS	n,d,i,n,o,u,r,a,y,a
p,e,d,z,a,$,V,SG,2,PRS	u,n,o,p,e,d,z,a
p,e,d,z,a,$,V,SG,2,FUT	u,c,h,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,1,HOD	t,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,1,FUT	t,i,c,h,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,1,HOD	n,d,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,1,PRS	n,d,i,n,o,p,e,d,z,a
p,e,d,z,a,$,V,PL,1,PRS	t,i,n,o,p,e,d,z,a
p,e,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,PL,1,PST	t,a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,3,FUT	v,a,c,h,a,p,e,d,z,a
p,e,d,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,SG,3,HOD	a,p,e,d,z,a
p,e,d,z,a,$,V,PL,3,HOD	v,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,2,PST	w,a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,SG,3,PST	a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,PL,2,PRS	m,u,n,o,p,e,d,z,a
p,e,d,z,a,$,V,SG,2,HOD	w,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,2,HOD	m,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,3,PST	v,a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,3,PRS	v,a,n,o,p,e,d,z,a
p,e,d,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,e,d,z,a
p,e,d,z,a,$,V,PL,2,PST	m,a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,PL,2,FUT	m,u,c,h,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,3,PRS	a,n,o,p,e,d,z,a
p,e,d,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,1,PST	n,d,a,k,a,p,e,d,z,a
p,e,d,z,a,$,V,SG,3,FUT	a,c,h,a,p,e,d,z,a
t,a,r,i,s,a,$,V,PL,3,PRS	v,a,n,o,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,3,HOD	v,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,2,PST	w,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,1,HOD	t,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,2,HOD	w,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,2,HOD	m,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,3,FUT	a,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,2,FUT	u,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,2,PRS	u,n,o,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,3,PST	a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,3,HOD	a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,1,PST	t,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,2,PST	m,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,3,PST	v,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,2,PRS	m,u,n,o,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,1,HOD	n,d,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,1,PST	n,d,a,k,a,t,a,r,i,s,a
t,a,r,i,s,a,$,V,SG,3,PRS	a,n,o,t,a,r,i,s,a
t,a,r,i,s,a,$,V,PL,1,PRS	t,i,n,o,t,a,r,i,s,a
r,a,n,g,a,r,i,r,a,$,V,SG,3,FUT	a,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,2,PST	m,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,2,PST	w,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,3,PST	a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,1,PST	n,d,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,2,HOD	m,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,2,HOD	w,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,1,PRS	t,i,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,1,HOD	t,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,3,HOD	v,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,2,FUT	u,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,3,HOD	a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,2,PRS	u,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,2,PRS	m,u,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,1,PST	t,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,3,PRS	a,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,3,PRS	v,a,n,o,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,SG,1,HOD	n,d,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PL,3,PST	v,a,k,a,r,a,n,g,a,r,i,r,a
r,a,n,g,a,r,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,n,g,a,r,i,r,a
m,u,k,a,$,V,PL,3,FUT	v,a,c,h,a,m,u,k,a
m,u,k,a,$,V,SG,2,HOD	w,a,m,u,k,a
m,u,k,a,$,V,SG,1,PRS	n,d,i,n,o,m,u,k,a
m,u,k,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,m,u,k,a
m,u,k,a,$,V,PL,2,PRS	m,u,n,o,m,u,k,a
m,u,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,m,u,k,a
m,u,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,m,u,k,a
m,u,k,a,$,V,SG,2,PST	w,a,k,a,m,u,k,a
m,u,k,a,$,V,SG,2,PRS	u,n,o,m,u,k,a
m,u,k,a,$,V,SG,3,HOD	a,m,u,k,a
m,u,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,m,u,k,a
m,u,k,a,$,V,SG,3,PST	a,k,a,m,u,k,a
m,u,k,a,$,V,SG,2,FUT	u,c,h,a,m,u,k,a
m,u,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,m,u,k,a
m,u,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,m,u,k,a
m,u,k,a,$,V,PL,1,PRS	t,i,n,o,m,u,k,a
m,u,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,u,k,a
m,u,k,a,$,V,SG,1,PST	n,d,a,k,a,m,u,k,a
m,u,k,a,$,V,PL,3,PRS	v,a,n,o,m,u,k,a
m,u,k,a,$,V,PL,1,HOD	t,a,m,u,k,a
m,u,k,a,$,V,PL,2,HOD	m,a,m,u,k,a
m,u,k,a,$,V,SG,3,FUT	a,c,h,a,m,u,k,a
m,u,k,a,$,V,SG,3,PRS	a,n,o,m,u,k,a
m,u,k,a,$,V,PL,1,PST	t,a,k,a,m,u,k,a
m,u,k,a,$,V,PL,2,PST	m,a,k,a,m,u,k,a
m,u,k,a,$,V,SG,1,HOD	n,d,a,m,u,k,a
m,u,k,a,$,V,PL,2,FUT	m,u,c,h,a,m,u,k,a
m,u,k,a,$,V,PL,3,HOD	v,a,m,u,k,a
m,u,k,a,$,V,PL,1,FUT	t,i,c,h,a,m,u,k,a
m,u,k,a,$,V,PL,3,PST	v,a,k,a,m,u,k,a
w,o,n,a,$,V,SG,3,PRS	a,n,o,w,o,n,a
w,o,n,a,$,V,PL,1,FUT	t,i,c,h,a,w,o,n,a
w,o,n,a,$,V,PL,3,PRS	v,a,n,o,w,o,n,a
w,o,n,a,$,V,PL,2,FUT	m,u,c,h,a,w,o,n,a
w,o,n,a,$,V,SG,3,FUT	a,c,h,a,w,o,n,a
w,o,n,a,$,V,PL,2,PST	m,a,k,a,w,o,n,a
w,o,n,a,$,V,PL,3,FUT	v,a,c,h,a,w,o,n,a
w,o,n,a,$,V,PL,2,HOD	m,a,w,o,n,a
w,o,n,a,$,V,SG,2,FUT	u,c,h,a,w,o,n,a
w,o,n,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,w,o,n,a
w,o,n,a,$,V,PL,3,HOD	v,a,w,o,n,a
w,o,n,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,w,o,n,a
w,o,n,a,$,V,SG,1,PST	n,d,a,k,a,w,o,n,a
w,o,n,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,w,o,n,a
w,o,n,a,$,V,SG,1,HOD	n,d,a,w,o,n,a
w,o,n,a,$,V,SG,3,HOD	a,w,o,n,a
w,o,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,w,o,n,a
w,o,n,a,$,V,PL,1,PST	t,a,k,a,w,o,n,a
w,o,n,a,$,V,PL,1,HOD	t,a,w,o,n,a
w,o,n,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,w,o,n,a
w,o,n,a,$,V,PL,3,PST	v,a,k,a,w,o,n,a
w,o,n,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,w,o,n,a
w,o,n,a,$,V,SG,3,PST	a,k,a,w,o,n,a
w,o,n,a,$,V,SG,2,PRS	u,n,o,w,o,n,a
w,o,n,a,$,V,PL,1,PRS	t,i,n,o,w,o,n,a
w,o,n,a,$,V,SG,1,FUT	n,d,i,c,h,a,w,o,n,a
w,o,n,a,$,V,SG,1,PRS	n,d,i,n,o,w,o,n,a
w,o,n,a,$,V,SG,2,HOD	w,a,w,o,n,a
w,o,n,a,$,V,SG,2,PST	w,a,k,a,w,o,n,a
w,o,n,a,$,V,PL,2,PRS	m,u,n,o,w,o,n,a
d,z,o,k,a,$,V,SG,2,FUT	u,c,h,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,2,HOD	m,a,d,z,o,k,a
d,z,o,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,PL,3,PRS	v,a,n,o,d,z,o,k,a
d,z,o,k,a,$,V,PL,2,PRS	m,u,n,o,d,z,o,k,a
d,z,o,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,2,FUT	m,u,c,h,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,1,PST	n,d,a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,PL,1,PST	t,a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,3,HOD	v,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,1,HOD	n,d,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,1,HOD	t,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,3,FUT	a,c,h,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,2,PRS	u,n,o,d,z,o,k,a
d,z,o,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,PL,1,FUT	t,i,c,h,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,1,PRS	n,d,i,n,o,d,z,o,k,a
d,z,o,k,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,SG,3,HOD	a,d,z,o,k,a
d,z,o,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,SG,3,PRS	a,n,o,d,z,o,k,a
d,z,o,k,a,$,V,PL,2,PST	m,a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,1,PRS	t,i,n,o,d,z,o,k,a
d,z,o,k,a,$,V,PL,3,PST	v,a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,3,PST	a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,z,o,k,a
d,z,o,k,a,$,V,SG,2,PST	w,a,k,a,d,z,o,k,a
d,z,o,k,a,$,V,SG,2,HOD	w,a,d,z,o,k,a
d,z,o,k,a,$,V,PL,3,FUT	v,a,c,h,a,d,z,o,k,a
t,e,n,g,a,$,V,SG,2,HOD	w,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,1,PST	t,a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,3,PRS	v,a,n,o,t,e,n,g,a
t,e,n,g,a,$,V,SG,1,HOD	n,d,a,t,e,n,g,a
t,e,n,g,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,SG,1,PRS	n,d,i,n,o,t,e,n,g,a
t,e,n,g,a,$,V,PL,2,PST	m,a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,2,PRS	m,u,n,o,t,e,n,g,a
t,e,n,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,PL,1,HOD	t,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,3,HOD	v,a,t,e,n,g,a
t,e,n,g,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,PL,1,PRS	t,i,n,o,t,e,n,g,a
t,e,n,g,a,$,V,SG,2,PRS	u,n,o,t,e,n,g,a
t,e,n,g,a,$,V,SG,2,FUT	u,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,3,PST	v,a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,SG,3,FUT	a,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,SG,2,PST	w,a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,SG,3,PRS	a,n,o,t,e,n,g,a
t,e,n,g,a,$,V,PL,2,FUT	m,u,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,e,n,g,a
t,e,n,g,a,$,V,SG,3,PST	a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,1,FUT	t,i,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,2,HOD	m,a,t,e,n,g,a
t,e,n,g,a,$,V,SG,1,PST	n,d,a,k,a,t,e,n,g,a
t,e,n,g,a,$,V,PL,3,FUT	v,a,c,h,a,t,e,n,g,a
t,e,n,g,a,$,V,SG,3,HOD	a,t,e,n,g,a
t,a,u,r,a,$,V,SG,3,HOD	a,t,a,u,r,a
t,a,u,r,a,$,V,PL,2,HOD	m,a,t,a,u,r,a
t,a,u,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,2,FUT	u,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,1,HOD	n,d,a,t,a,u,r,a
t,a,u,r,a,$,V,PL,3,PRS	v,a,n,o,t,a,u,r,a
t,a,u,r,a,$,V,PL,3,PST	v,a,k,a,t,a,u,r,a
t,a,u,r,a,$,V,PL,1,PRS	t,i,n,o,t,a,u,r,a
t,a,u,r,a,$,V,PL,1,PST	t,a,k,a,t,a,u,r,a
t,a,u,r,a,$,V,PL,2,PRS	m,u,n,o,t,a,u,r,a
t,a,u,r,a,$,V,SG,3,FUT	a,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,1,PST	n,d,a,k,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,2,HOD	w,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,3,PRS	a,n,o,t,a,u,r,a
t,a,u,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,u,r,a
t,a,u,r,a,$,V,PL,1,HOD	t,a,t,a,u,r,a
t,a,u,r,a,$,V,PL,2,PST	m,a,k,a,t,a,u,r,a
t,a,u,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,u,r,a
t,a,u,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,u,r,a
t,a,u,r,a,$,V,SG,2,PST	w,a,k,a,t,a,u,r,a
t,a,u,r,a,$,V,SG,3,PST	a,k,a,t,a,u,r,a
